dataset,seed,method,status,fail_reason,base_f1,aug_f1,gain,aug_count,aug_ratio,actual_aug_ratio,source_space,label_mode,backbone,train_split_only,uses_external_library,library_name,budget_matched,selection_rule,best_val_f1,stop_epoch,warning_count,fallback_count,method_elapsed_sec,activation_policy,activation_scope,activation_topk,activation_tau,operator_name,dictionary_estimator,safe_generator,bridge_realizer,transport_error_fro_mean,transport_error_logeuc_mean,bridge_cond_A_mean,metric_preservation_error_mean,safe_radius_ratio_mean,manifold_margin_mean,gamma_requested_mean,gamma_used_mean,gamma_zero_rate,host_geom_cosine_mean,host_conflict_rate,candidate_total_count,aug_total_count,requested_k_dir,effective_k_dir,safe_clip_rate,template_usage_entropy,top_template_concentration,aug_valid_rate,candidate_audit_rows,candidate_audit_available,candidate_accept_rate,candidate_physics_ok,candidate_audit_path,z_displacement_norm_mean,template_response_abs_mean,gamma_requested_mean_audit,gamma_used_mean_audit,safe_radius_ratio_mean_audit,safe_clip_rate_audit,gamma_zero_rate_audit,manifold_margin_mean_audit,transport_error_logeuc_mean_audit,template_usage_entropy_audit,top_template_concentration_audit,selection_stage,selector_name,feasible_rate,selector_accept_rate,pre_filter_reject_count,post_bridge_reject_count,reject_reason_zero_gamma,reject_reason_safe_radius,reject_reason_zero_direction,reject_reason_zero_margin,reject_reason_bridge_fail,reject_reason_transport_error,relevance_score_mean,safe_balance_score_mean,fidelity_score_mean,variety_score_mean,fv_score_mean,feasible_rate_audit,selector_accept_rate_audit,relevance_score_mean_audit,safe_balance_score_mean_audit,fidelity_score_mean_audit,variety_score_mean_audit,fv_score_mean_audit,gamma_used_gt_requested_count,safe_radius_ratio_out_of_bounds_count,direction_bank_source,selected_template_entropy
atrialfibrillation,1,csta_topk_uniform_top5_ao_fisher,success,,0.2164502164502164,0.1082251082251082,-0.1082251082251082,120,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,ao_fisher_uniform_top5,0.5555555555555555,30,0,0,5.486837264965288,uniform_topk,single_anchor,5,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0001294054844567,0.0270726448790211,1.1115207163545373,0.159059456125829,0.2722070991522056,1.0436398830928968,0.1,0.1,0.0,0.0,0.0,120,120,10,3,0.0,0.0,0.0,1.0,120,True,1.0,True,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/csta_ao_pia_pilot7_v1/_csta_runs/csta_topk_uniform_top5_ao_fisher/atrialfibrillation/s1/candidate_audit/atrialfibrillation_s1_csta_topk_uniform_top5_ao_fisher_candidate_audit.csv.gz,0.1,,0.1,0.1,0.2722070991522056,0.0,0.0,1.0436398830928968,0.0270726448790211,1.0984039336249602,0.3416666666666667,response_only,topk_uniform_top5,1.0,1.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,ao_fisher,0.0
atrialfibrillation,1,csta_topk_uniform_top5_ao_contrastive,success,,0.2164502164502164,0.1082251082251082,-0.1082251082251082,120,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,ao_contrastive_uniform_top5,0.5555555555555555,30,0,0,5.123466114979237,uniform_topk,single_anchor,5,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0001295659158418,0.0270359257552267,1.109878070457733,0.1576059296518239,0.2722070991522056,1.0436398830928968,0.1,0.1,0.0,0.0,0.0,120,120,10,3,0.0,0.0,0.0,1.0,120,True,1.0,True,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/csta_ao_pia_pilot7_v1/_csta_runs/csta_topk_uniform_top5_ao_contrastive/atrialfibrillation/s1/candidate_audit/atrialfibrillation_s1_csta_topk_uniform_top5_ao_contrastive_candidate_audit.csv.gz,0.1,,0.1,0.1,0.2722070991522056,0.0,0.0,1.0436398830928968,0.0270359257552267,1.0926356953019256,0.3666666666666666,response_only,topk_uniform_top5,1.0,1.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,ao_contrastive,0.0
atrialfibrillation,2,csta_topk_uniform_top5_ao_fisher,success,,0.3205128205128205,0.199074074074074,-0.1214387464387465,120,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,ao_fisher_uniform_top5,1.0,30,0,0,5.227708440972492,uniform_topk,single_anchor,5,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0001291440274487,0.0331641830539196,1.088457787443224,0.1348274107005944,0.2631824863358961,1.033774431547862,0.1,0.1,0.0,0.0,0.0,120,120,10,3,0.0,0.0,0.0,1.0,120,True,1.0,True,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/csta_ao_pia_pilot7_v1/_csta_runs/csta_topk_uniform_top5_ao_fisher/atrialfibrillation/s2/candidate_audit/atrialfibrillation_s2_csta_topk_uniform_top5_ao_fisher_candidate_audit.csv.gz,0.0999999980131785,,0.1,0.1,0.2631824863358961,0.0,0.0,1.033774431547862,0.0331641830539196,1.0984039336249602,0.3416666666666667,response_only,topk_uniform_top5,1.0,1.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,ao_fisher,0.0
atrialfibrillation,2,csta_topk_uniform_top5_ao_contrastive,success,,0.3205128205128205,0.1111111111111111,-0.20940170940170938,120,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,ao_contrastive_uniform_top5,1.0,30,0,0,5.575569431995973,uniform_topk,single_anchor,5,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0001292278224508,0.0331752478041468,1.09124078524794,0.1381984175453529,0.263182491291113,1.033774431547862,0.1,0.1,0.0,0.0,0.0,120,120,10,3,0.0,0.0,0.0,1.0,120,True,1.0,True,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/csta_ao_pia_pilot7_v1/_csta_runs/csta_topk_uniform_top5_ao_contrastive/atrialfibrillation/s2/candidate_audit/atrialfibrillation_s2_csta_topk_uniform_top5_ao_contrastive_candidate_audit.csv.gz,0.1,,0.1,0.1,0.263182491291113,0.0,0.0,1.033774431547862,0.0331752478041468,1.094175236283966,0.3666666666666666,response_only,topk_uniform_top5,1.0,1.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,ao_contrastive,0.0
atrialfibrillation,3,csta_topk_uniform_top5_ao_fisher,success,,0.1666666666666666,0.2407407407407407,0.0740740740740741,120,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,ao_fisher_uniform_top5,1.0,15,0,0,4.69777001789771,uniform_topk,single_anchor,5,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0001294338718117,0.0323120831314604,1.117806898895196,0.1614939577451008,0.2728300048089753,0.8437962467856865,0.1,0.1,0.0,0.0,0.0,120,120,10,3,0.0,0.0,0.0,1.0,120,True,1.0,True,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/csta_ao_pia_pilot7_v1/_csta_runs/csta_topk_uniform_top5_ao_fisher/atrialfibrillation/s3/candidate_audit/atrialfibrillation_s3_csta_topk_uniform_top5_ao_fisher_candidate_audit.csv.gz,0.0999999976158142,,0.1,0.1,0.2728300048089753,0.0,0.0,0.8437962467856865,0.0323120831314604,1.0604377308985748,0.4,response_only,topk_uniform_top5,1.0,1.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,ao_fisher,0.0
atrialfibrillation,3,csta_topk_uniform_top5_ao_contrastive,success,,0.1666666666666666,0.3722943722943723,0.2056277056277057,120,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,ao_contrastive_uniform_top5,1.0,15,0,0,4.702584804035723,uniform_topk,single_anchor,5,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0001292567917573,0.0323930954382072,1.120556450971836,0.1639681395999068,0.2728300115496178,0.8437962467856865,0.1,0.1,0.0,0.0,0.0,120,120,10,3,0.0,0.0,0.0,1.0,120,True,1.0,True,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/csta_ao_pia_pilot7_v1/_csta_runs/csta_topk_uniform_top5_ao_contrastive/atrialfibrillation/s3/candidate_audit/atrialfibrillation_s3_csta_topk_uniform_top5_ao_contrastive_candidate_audit.csv.gz,0.1,,0.1,0.1,0.2728300115496178,0.0,0.0,0.8437962467856865,0.0323930954382072,1.0922118211983456,0.3833333333333333,response_only,topk_uniform_top5,1.0,1.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,ao_contrastive,0.0
ering,1,csta_topk_uniform_top5_ao_fisher,success,,0.5424850558740912,0.8182394314541939,0.27575437558010263,240,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,ao_fisher_uniform_top5,0.7777777777777777,20,0,0,4.86350165004842,uniform_topk,single_anchor,5,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0001811610511711,0.0013163652799333,1.0981535443283268,0.1456218246968511,0.2135878949081782,1.0850636769840405,0.1,0.1,0.0,0.0,0.0,240,240,10,10,0.0,0.0,0.0,1.0,240,True,1.0,True,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/csta_ao_pia_pilot7_v1/_csta_runs/csta_topk_uniform_top5_ao_fisher/ering/s1/candidate_audit/ering_s1_csta_topk_uniform_top5_ao_fisher_candidate_audit.csv.gz,0.099999999354283,,0.1,0.1,0.2135878949081782,0.0,0.0,1.0850636769840405,0.0013163652799333,2.2779579278192283,0.1333333333333333,response_only,topk_uniform_top5,1.0,1.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,ao_fisher,0.0
ering,1,csta_topk_uniform_top5_ao_contrastive,success,,0.5424850558740912,0.781277588878198,0.23879253300410674,240,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,ao_contrastive_uniform_top5,0.7777777777777777,30,0,0,5.155506754061207,uniform_topk,single_anchor,5,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0001813090669473,0.001317720243666,1.0974578726614437,0.1452607760659411,0.2135878920243078,1.0850636769840405,0.1,0.1,0.0,0.0,0.0,240,240,10,10,0.0,0.0,0.0,1.0,240,True,1.0,True,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/csta_ao_pia_pilot7_v1/_csta_runs/csta_topk_uniform_top5_ao_contrastive/ering/s1/candidate_audit/ering_s1_csta_topk_uniform_top5_ao_contrastive_candidate_audit.csv.gz,0.0999999980380137,,0.1,0.1,0.2135878920243078,0.0,0.0,1.0850636769840405,0.001317720243666,2.292671918788172,0.1208333333333333,response_only,topk_uniform_top5,1.0,1.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,ao_contrastive,0.0
ering,2,csta_topk_uniform_top5_ao_fisher,success,,0.848105426301868,0.8547814821544154,0.00667605585254738,240,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,ao_fisher_uniform_top5,1.0,21,0,0,5.051310797105543,uniform_topk,single_anchor,5,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0001811427599415,0.0013018716020031,1.0985861017427772,0.1453601597254379,0.2204065066930426,1.0484200830955133,0.1,0.1,0.0,0.0,0.0,240,240,10,10,0.0,0.0,0.0,1.0,240,True,1.0,True,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/csta_ao_pia_pilot7_v1/_csta_runs/csta_topk_uniform_top5_ao_fisher/ering/s2/candidate_audit/ering_s2_csta_topk_uniform_top5_ao_fisher_candidate_audit.csv.gz,0.0999999988327424,,0.1,0.1,0.2204065066930426,0.0,0.0,1.0484200830955133,0.0013018716020031,2.2897040373545443,0.1166666666666666,response_only,topk_uniform_top5,1.0,1.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,ao_fisher,0.0
ering,2,csta_topk_uniform_top5_ao_contrastive,success,,0.848105426301868,0.8605413354771506,0.012435909175282589,240,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,ao_contrastive_uniform_top5,1.0,30,0,0,5.538025951012969,uniform_topk,single_anchor,5,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0001813481596621,0.0013024481409098,1.0974471380049584,0.1440730106878974,0.2204065091685895,1.0484200830955133,0.1,0.1,0.0,0.0,0.0,240,240,10,10,0.0,0.0,0.0,1.0,240,True,1.0,True,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/csta_ao_pia_pilot7_v1/_csta_runs/csta_topk_uniform_top5_ao_contrastive/ering/s2/candidate_audit/ering_s2_csta_topk_uniform_top5_ao_contrastive_candidate_audit.csv.gz,0.1,,0.1,0.1,0.2204065091685895,0.0,0.0,1.0484200830955133,0.0013024481409098,2.278125527521217,0.1416666666666666,response_only,topk_uniform_top5,1.0,1.0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,ao_contrastive,0.0
