split,epoch,class_idx,committee_idx,sample_idx_in_batch,ridge_mode,support_mode,prototype_aggregation,mean_trace,condition_number,effective_ridge,weight_norm
train,1,0,-1,0,fixed,same_only,pooled,0.00041738239815458655,1598873.5,0.009999999776482582,4.992865562438965
train,1,0,-1,1,fixed,same_only,pooled,0.0004193704226054251,1516934.0,0.009999999776482582,4.993377685546875
train,1,0,-1,2,fixed,same_only,pooled,0.0004137149662710726,1483643.0,0.009999999776482582,4.981269359588623
train,1,0,-1,3,fixed,same_only,pooled,0.00042181031312793493,1642039.0,0.009999999776482582,4.976298809051514
train,1,0,-1,4,fixed,same_only,pooled,0.00041932452586479485,1615294.25,0.009999999776482582,4.950287342071533
train,1,0,-1,5,fixed,same_only,pooled,0.0004227898025419563,1640654.5,0.009999999776482582,4.987267971038818
train,1,0,-1,6,fixed,same_only,pooled,0.00041976236389018595,1552349.5,0.009999999776482582,4.9927287101745605
train,1,0,-1,7,fixed,same_only,pooled,0.00041922094533219934,1589012.125,0.009999999776482582,4.97967529296875
train,1,0,-1,8,fixed,same_only,pooled,0.00041478333878330886,1556757.25,0.009999999776482582,4.966351509094238
train,1,0,-1,9,fixed,same_only,pooled,0.0004181903786957264,1539813.875,0.009999999776482582,4.984289169311523
train,1,0,-1,10,fixed,same_only,pooled,0.00042019819375127554,1532752.0,0.009999999776482582,4.993563652038574
train,1,0,-1,11,fixed,same_only,pooled,0.0004200954281259328,1537402.125,0.009999999776482582,4.993468761444092
train,1,0,-1,12,fixed,same_only,pooled,0.00042296102037653327,1617529.75,0.009999999776482582,4.989701271057129
train,1,0,-1,13,fixed,same_only,pooled,0.0004180526302661747,1490787.125,0.009999999776482582,4.992205619812012
train,1,0,-1,14,fixed,same_only,pooled,0.0004207369638606906,1630282.625,0.009999999776482582,4.977626800537109
train,1,0,-1,15,fixed,same_only,pooled,0.000421562057454139,1615589.125,0.009999999776482582,4.979291915893555
train,1,0,-1,16,fixed,same_only,pooled,0.00042031859629787505,1590498.125,0.009999999776482582,4.9771504402160645
train,1,0,-1,17,fixed,same_only,pooled,0.000415508053265512,1554493.5,0.009999999776482582,4.968408584594727
train,1,0,-1,18,fixed,same_only,pooled,0.0004161605320405215,1801674.25,0.009999999776482582,4.9356231689453125
train,1,0,-1,19,fixed,same_only,pooled,0.0004168284358456731,1514790.5,0.009999999776482582,4.975724697113037
train,1,0,-1,20,fixed,same_only,pooled,0.0004198590759187937,1551018.125,0.009999999776482582,4.992544174194336
train,1,0,-1,21,fixed,same_only,pooled,0.0004203272401355207,1551488.875,0.009999999776482582,4.989958763122559
train,1,0,-1,22,fixed,same_only,pooled,0.0004235743544995785,1644661.25,0.009999999776482582,4.985589981079102
train,1,0,-1,23,fixed,same_only,pooled,0.0004166568396613002,1465696.25,0.009999999776482582,4.986508369445801
train,1,0,-1,24,fixed,same_only,pooled,0.00041998428059741855,1580695.25,0.009999999776482582,4.9861273765563965
train,1,0,-1,25,fixed,same_only,pooled,0.0004280854482203722,1772598.0,0.009999999776482582,4.972583770751953
train,1,0,-1,26,fixed,same_only,pooled,0.0004073072923347354,1639139.875,0.009999999776482582,4.9572014808654785
train,1,0,-1,27,fixed,same_only,pooled,0.0004205031436868012,1549615.5,0.009999999776482582,4.992115497589111
train,1,0,-1,28,fixed,same_only,pooled,0.00042718229815363884,1732357.75,0.009999999776482582,4.977193832397461
train,1,0,-1,29,fixed,same_only,pooled,0.0004198432434350252,1589680.25,0.009999999776482582,4.980813503265381
train,1,0,-1,30,fixed,same_only,pooled,0.00041746400529518723,1646638.25,0.009999999776482582,4.984201908111572
train,1,0,-1,31,fixed,same_only,pooled,0.00041051406878978014,1662116.875,0.009999999776482582,4.941622257232666
