dataset,seed,class_id,random_memory_id,trial_id,window_index,vector_norm
selfregulationscp1,1,0,0,selfregulationscp1_train_n00111,194,1.081467392785497
selfregulationscp1,1,0,1,selfregulationscp1_train_n00086,497,1.5045413154363811
selfregulationscp1,1,0,2,selfregulationscp1_train_n00047,715,1.748000244707766
selfregulationscp1,1,0,3,selfregulationscp1_train_n00036,567,0.5686574510885408
selfregulationscp1,1,1,0,selfregulationscp1_train_n00195,131,1.820967599835946
selfregulationscp1,1,1,1,selfregulationscp1_train_n00155,648,0.5123253049660008
selfregulationscp1,1,1,2,selfregulationscp1_train_n00187,618,1.3296441802798018
selfregulationscp1,1,1,3,selfregulationscp1_train_n00193,662,1.4237672868331845
