dataset,seed,stage,mode,within_prototype_compactness,between_prototype_separation,nearest_prototype_margin,temporal_assignment_stability,prototype_family_dispersion
fingermovements,1,before_fast,prototype_memory,7.814515932951579,4.530003098864807,0.13509121056001153,0.8982653539615566,4.849994607844528
fingermovements,1,after_f1_global,prototype_memory,7.8199033259355355,4.594117690876976,0.13491828880130488,0.8973277074542899,4.929301374381881
fingermovements,1,after_p1a_local,prototype_memory,7.849537687859737,4.538325987625669,0.13675486834907838,0.8989685888420067,4.861761341474826
natops,1,before_fast,prototype_memory,4.758645925542442,9.347560495450905,1.212169935540465,0.9893719806763287,8.7565885521043
natops,1,after_f1_global,prototype_memory,4.767897383725581,9.35438640417962,1.2098290499694258,0.9893719806763287,8.76259891172607
natops,1,after_p1a_local,prototype_memory,4.777284520344673,9.335713077251302,1.214735690829994,0.9893719806763287,8.743459720447493
basicmotions,1,before_fast,prototype_memory,1.7669884026951064,9.930416815609723,3.5154512429667375,0.96125,8.555141863628341
basicmotions,1,after_f1_global,prototype_memory,1.774153762773151,9.963837758636409,3.5178575500457168,0.9629166666666666,8.585386747393123
basicmotions,1,after_p1a_local,prototype_memory,1.7700134262570677,9.99521447608259,3.4907074817845256,0.9595833333333332,8.602236780787765
handmovementdirection,1,before_fast,prototype_memory,1.56909293877548,0.8373653340690788,0.009827454001208004,0.9785677083333333,0.8563240907511849
handmovementdirection,1,after_f1_global,prototype_memory,1.57030018588735,0.8425370271356822,0.007389685084439525,0.9770052083333333,0.8613085906271797
handmovementdirection,1,after_p1a_local,prototype_memory,1.5702145149001288,0.8451995312011696,0.007391246391711992,0.9776302083333335,0.8637164686684606
uwavegesturelibrary,1,before_fast,prototype_memory,2.3810481179497245,4.580963163778823,-0.12786225971556817,0.9812169312169312,4.546863592925119
uwavegesturelibrary,1,after_f1_global,prototype_memory,2.384975516277559,4.6140161622248845,-0.13454247366168462,0.9811287477954145,4.581921003503673
uwavegesturelibrary,1,after_p1a_local,prototype_memory,2.3797313407585428,4.594714662332352,-0.13131855784305302,0.9811287477954145,4.561224636985075
epilepsy,1,before_fast,prototype_memory,1.3201707756548913,4.55539362409827,0.9909586773180199,0.9847296494355319,4.5375640293834145
epilepsy,1,after_f1_global,prototype_memory,1.3393178560646346,4.796201424494348,0.9875486273861646,0.9853238265002972,4.806972057042431
epilepsy,1,after_p1a_local,prototype_memory,1.3391421090110212,4.797779785233094,0.987725879226528,0.9860368389780154,4.808317931123295
