split,epoch,class_idx,committee_idx,sample_idx_in_batch,ridge_mode,support_mode,prototype_aggregation,mean_trace,condition_number,effective_ridge,weight_norm
test,2,0,-1,63,trace_adaptive,same_only,pooled,0.000449989311164245,1879290.5,4.4998928387940396e-06,7.493529796600342
test,2,1,-1,0,trace_adaptive,same_only,pooled,0.0004957448109053075,5570150.0,4.957447799824877e-06,7.4690752029418945
test,2,1,-1,1,trace_adaptive,same_only,pooled,0.00046686737914569676,1890432.125,4.668673682317603e-06,7.595433235168457
test,2,1,-1,2,trace_adaptive,same_only,pooled,0.00046788621693849564,1873087.0,4.678861841966864e-06,7.595433712005615
test,2,1,-1,3,trace_adaptive,same_only,pooled,0.00048162793973460793,2994934.0,4.816279215447139e-06,7.594421863555908
test,2,1,-1,4,trace_adaptive,same_only,pooled,0.00047453393926844,2248781.25,4.7453390834562015e-06,7.595200538635254
test,2,1,-1,5,trace_adaptive,same_only,pooled,0.0004676060634665191,1859649.875,4.676060598285403e-06,7.595440864562988
test,2,1,-1,6,trace_adaptive,same_only,pooled,0.00048743843217380345,3779142.75,4.874384103459306e-06,7.592037677764893
test,2,1,-1,7,trace_adaptive,same_only,pooled,0.00046734046190977097,1880588.625,4.673404419008875e-06,7.595431327819824
test,2,1,-1,8,trace_adaptive,same_only,pooled,0.0004668750916607678,1874501.5,4.668750989367254e-06,7.59544038772583
test,2,1,-1,9,trace_adaptive,same_only,pooled,0.0004666823660954833,1891422.125,4.666823770094197e-06,7.59542989730835
test,2,1,-1,10,trace_adaptive,same_only,pooled,0.00047274091048166156,2036188.375,4.727408850158099e-06,7.5953192710876465
test,2,1,-1,11,trace_adaptive,same_only,pooled,0.0004670466878451407,1865767.125,4.670466751122149e-06,7.595440864562988
test,2,1,-1,12,trace_adaptive,same_only,pooled,0.00047797447768971324,2546277.0,4.7797448132769205e-06,7.595004081726074
test,2,1,-1,13,trace_adaptive,same_only,pooled,0.00047821435146033764,2623387.75,4.7821436055528466e-06,7.594968318939209
test,2,1,-1,14,trace_adaptive,same_only,pooled,0.00046950974501669407,1837153.875,4.695097231888212e-06,7.595431327819824
test,2,1,-1,15,trace_adaptive,same_only,pooled,0.0004964604158885777,6087502.5,4.964604158885777e-06,6.762928009033203
test,2,1,-1,16,trace_adaptive,same_only,pooled,0.0004673260264098644,1845093.5,4.673260264098644e-06,7.595451354980469
test,2,1,-1,17,trace_adaptive,same_only,pooled,0.0004695716197602451,1856188.875,4.695716143032769e-06,7.595409393310547
test,2,1,-1,18,trace_adaptive,same_only,pooled,0.0004911254509352148,4395080.5,4.91125456392183e-06,7.586976051330566
test,2,1,-1,19,trace_adaptive,same_only,pooled,0.00047292804811149836,2075200.875,4.729280590254348e-06,7.595306396484375
test,2,1,-1,20,trace_adaptive,same_only,pooled,0.0004937182529829443,4939974.0,4.937182438879972e-06,7.571484565734863
test,2,1,-1,21,trace_adaptive,same_only,pooled,0.0004894423764199018,4061818.25,4.89442345497082e-06,7.590287208557129
test,2,1,-1,22,trace_adaptive,same_only,pooled,0.00046669901348650455,1892797.5,4.666990207624622e-06,7.595431804656982
test,2,1,-1,23,trace_adaptive,same_only,pooled,0.0004949516151100397,5243206.0,4.949516096530715e-06,7.546480655670166
test,2,1,-1,24,trace_adaptive,same_only,pooled,0.00046903215115889907,1854018.375,4.690321475209203e-06,7.595418453216553
test,2,1,-1,25,trace_adaptive,same_only,pooled,0.00047490737051703036,2266473.25,4.749073468701681e-06,7.595182418823242
test,2,1,-1,26,trace_adaptive,same_only,pooled,0.00048487685853615403,3418244.75,4.8487686399312224e-06,7.59352445602417
test,2,1,-1,27,trace_adaptive,same_only,pooled,0.00047272516530938447,2091317.125,4.727251507574692e-06,7.595349311828613
test,2,1,-1,28,trace_adaptive,same_only,pooled,0.00046678015496581793,1876880.375,4.667801476898603e-06,7.595439434051514
test,2,1,-1,29,trace_adaptive,same_only,pooled,0.0004952358431182802,5637119.5,4.952358267473755e-06,7.57478666305542
test,2,1,-1,30,trace_adaptive,same_only,pooled,0.0004803576157428324,2842148.5,4.803575848200126e-06,7.594635963439941
test,2,1,-1,31,trace_adaptive,same_only,pooled,0.0004829357494600117,3095127.0,4.829357294511283e-06,7.594203472137451
test,2,1,-1,32,trace_adaptive,same_only,pooled,0.0004929244751110673,4766578.5,4.929244823870249e-06,7.578880310058594
test,2,1,-1,33,trace_adaptive,same_only,pooled,0.0004808679805137217,2922954.0,4.808679477719124e-06,7.594516754150391
test,2,1,-1,34,trace_adaptive,same_only,pooled,0.0004706849285867065,1872690.75,4.706849267677171e-06,7.595427989959717
test,2,1,-1,35,trace_adaptive,same_only,pooled,0.00048708636313676834,3740680.5,4.870863449468743e-06,7.592301368713379
test,2,1,-1,36,trace_adaptive,same_only,pooled,0.0004668760229833424,1856333.25,4.668760084314272e-06,7.595449447631836
test,2,1,-1,37,trace_adaptive,same_only,pooled,0.00046738062519580126,1850455.125,4.673805960919708e-06,7.5954508781433105
test,2,1,-1,38,trace_adaptive,same_only,pooled,0.00048675708239898086,3683893.5,4.867570623900974e-06,7.592472553253174
test,2,1,-1,39,trace_adaptive,same_only,pooled,0.00048628292279317975,3581297.0,4.862828973273281e-06,7.5929460525512695
test,2,1,-1,40,trace_adaptive,same_only,pooled,0.0004754014662466943,2305370.25,4.7540147534164134e-06,7.595168590545654
test,2,1,-1,41,trace_adaptive,same_only,pooled,0.0004674569354392588,1834143.75,4.6745690269744955e-06,7.595450401306152
test,2,1,-1,42,trace_adaptive,same_only,pooled,0.00048536693793721497,3487831.0,4.853669452131726e-06,7.5932111740112305
test,2,1,-1,43,trace_adaptive,same_only,pooled,0.00046700629172846675,1857258.25,4.6700629354745615e-06,7.595446586608887
test,2,1,-1,44,trace_adaptive,same_only,pooled,0.0004681168938986957,1820765.875,4.681168775277911e-06,7.595452785491943
test,2,1,-1,45,trace_adaptive,same_only,pooled,0.00048597974819131196,3587631.5,4.859797172684921e-06,7.592854976654053
test,2,1,-1,46,trace_adaptive,same_only,pooled,0.00047297391574829817,2052326.0,4.729738975584041e-06,7.5953264236450195
test,2,1,-1,47,trace_adaptive,same_only,pooled,0.0004665249725803733,1879626.125,4.665249434765428e-06,7.595437526702881
test,2,1,-1,48,trace_adaptive,same_only,pooled,0.00048267049714922905,3056991.75,4.826704753213562e-06,7.5943756103515625
test,2,1,-1,49,trace_adaptive,same_only,pooled,0.0004856866435147822,3559265.0,4.856866326008458e-06,7.59315299987793
test,2,1,-1,50,trace_adaptive,same_only,pooled,0.000494873384013772,5245101.5,4.94873393108719e-06,7.546108722686768
test,2,1,-1,51,trace_adaptive,same_only,pooled,0.0004727505729533732,2057742.125,4.727505711343838e-06,7.595335006713867
test,2,1,-1,52,trace_adaptive,same_only,pooled,0.00047234282828867435,2009497.0,4.723427991848439e-06,7.595376014709473
test,2,1,-1,53,trace_adaptive,same_only,pooled,0.00047266739420592785,2045056.25,4.7266739784390666e-06,7.595325946807861
test,2,1,-1,54,trace_adaptive,same_only,pooled,0.00046911652316339314,1861108.125,4.691165031545097e-06,7.595436096191406
test,2,1,-1,55,trace_adaptive,same_only,pooled,0.0004930343711748719,4800854.5,4.930343493469991e-06,7.5774664878845215
test,2,1,-1,56,trace_adaptive,same_only,pooled,0.00046838814159855247,1845827.0,4.6838813432259485e-06,7.595449447631836
test,2,1,-1,57,trace_adaptive,same_only,pooled,0.00048626901116222143,3584373.75,4.86268982058391e-06,7.59281587600708
test,2,1,-1,58,trace_adaptive,same_only,pooled,0.0004709347849711776,1870204.5,4.709347649622941e-06,7.595414638519287
test,2,1,-1,59,trace_adaptive,same_only,pooled,0.0004684176528826356,1877544.25,4.684176474256674e-06,7.595427989959717
test,2,1,-1,60,trace_adaptive,same_only,pooled,0.0004739754949696362,2152710.5,4.739754785987316e-06,7.595286846160889
test,2,1,-1,61,trace_adaptive,same_only,pooled,0.000477819237858057,2598534.5,4.778192305820994e-06,7.594910621643066
test,2,1,-1,62,trace_adaptive,same_only,pooled,0.00048149359645321965,2953973.25,4.81493589177262e-06,7.594374656677246
test,2,1,-1,63,trace_adaptive,same_only,pooled,0.00046703399857506156,1847633.75,4.670339876611251e-06,7.5954508781433105
test,2,0,-1,0,trace_adaptive,same_only,pooled,0.00044921343214809895,1838237.25,4.492134394240566e-06,7.493540287017822
test,2,0,-1,1,trace_adaptive,same_only,pooled,0.0004459153860807419,2269593.75,4.459153842617525e-06,7.493429660797119
test,2,0,-1,2,trace_adaptive,same_only,pooled,0.0004496951587498188,1883760.5,4.496951532928506e-06,7.493527889251709
test,2,0,-1,3,trace_adaptive,same_only,pooled,0.0004488286795094609,1844638.75,4.488286776904715e-06,7.4935407638549805
test,2,0,-1,4,trace_adaptive,same_only,pooled,0.00044961582170799375,1872460.75,4.496157998801209e-06,7.493533134460449
test,2,0,-1,5,trace_adaptive,same_only,pooled,0.0004500527575146407,1873143.375,4.500527666095877e-06,7.493532180786133
test,2,0,-1,6,trace_adaptive,same_only,pooled,0.0004483192169573158,1839778.375,4.483192242332734e-06,7.493546009063721
test,2,0,-1,7,trace_adaptive,same_only,pooled,0.0004485906392801553,1852079.25,4.485906174522825e-06,7.4935407638549805
test,2,0,-1,8,trace_adaptive,same_only,pooled,0.0004474748275242746,1957087.375,4.474748038774123e-06,7.4935221672058105
test,2,0,-1,9,trace_adaptive,same_only,pooled,0.00044991783215664327,1894780.625,4.499178430705797e-06,7.49352502822876
test,2,0,-1,10,trace_adaptive,same_only,pooled,0.00044474840979091823,2547209.25,4.447484116099076e-06,7.493246078491211
test,2,0,-1,11,trace_adaptive,same_only,pooled,0.00044626713497564197,2174387.0,4.462671313376632e-06,7.493465900421143
test,2,0,-1,12,trace_adaptive,same_only,pooled,0.0004499030183069408,1868350.625,4.499030183069408e-06,7.493533611297607
test,2,0,-1,13,trace_adaptive,same_only,pooled,0.00045000528916716576,1894556.375,4.500052909861552e-06,7.49352502822876
test,2,0,-1,14,trace_adaptive,same_only,pooled,0.00044548563892021775,2348859.25,4.454856480151648e-06,7.49338960647583
test,2,0,-1,15,trace_adaptive,same_only,pooled,0.00044557760702446103,2336516.25,4.45577597929514e-06,7.493390083312988
test,2,0,-1,16,trace_adaptive,same_only,pooled,0.00044551247265189886,2348834.0,4.455124781088671e-06,7.493391990661621
test,2,0,-1,17,trace_adaptive,same_only,pooled,0.0004445674130693078,2847886.25,4.445674221642548e-06,7.492793560028076
