dataset,seed,ray_id,anchor_index,direction_id,sign,feedback_weight_small,alignment_cosine_small,transport_error_logeuc_small,feedback_weight_mid,alignment_cosine_mid,transport_error_logeuc_mid,feedback_weight_edge,alignment_cosine_edge,transport_error_logeuc_edge
heartbeat,1,0,0,1,-1.0,0.4469745606184006,-0.044855449348688126,9.507170406429202,0.34644644134319746,-0.045184820890426636,9.500495621517821,0.3489208562033517,-0.04570645093917847,9.489785876387781
heartbeat,1,1,1,5,1.0,0.15974576386030426,0.016741877421736717,11.246726074121662,0.03110996077561544,0.016704335808753967,11.259016509338801,0.18381613721139728,0.01662726327776909,11.279445894723942
heartbeat,1,2,2,5,1.0,0.15651644145449004,0.011733450926840305,11.22324087634898,0.28614491862910135,0.01172123197466135,11.234350495398177,0.16781401013334593,0.011685114353895187,11.253155120009012
heartbeat,1,3,3,2,1.0,0.49700479209423065,0.0017754801083356142,10.122993385748863,0.5192208073355935,0.002015400677919388,10.23044417637166,0.4277685582637787,0.002402628306299448,10.403419132327995
heartbeat,1,4,4,4,-1.0,0.2238211002200842,-0.01154316309839487,10.033496832681854,0.26823508739471436,-0.011192952282726765,10.018278790750164,0.1930237769016198,-0.01066436618566513,9.99577370125118
heartbeat,1,5,5,2,1.0,0.3062956565991044,0.019705355167388916,11.09772669655456,0.27138867495315416,0.019837044179439545,11.221485950812742,0.3071013412305287,0.020038608461618423,11.422560936025796
heartbeat,1,6,6,2,1.0,0.4063536673784256,0.03322410583496094,9.335757811709936,0.40423203052745926,0.0331093966960907,9.431201803351215,0.3092028227531248,0.032919351011514664,9.584138487374046
heartbeat,1,7,7,3,-1.0,0.3771485149860382,0.005797682795673609,9.324558841478304,0.26298078056424856,0.006979772355407476,9.337637801922819,0.3204018345900944,0.008736524730920792,9.358411788157186
heartbeat,1,8,8,2,-1.0,0.5525053441524506,-0.008182713761925697,10.787778539633246,0.5315083165963491,-0.008510079234838486,10.6681867741161,0.5287076731522878,-0.009027031250298023,10.481503421259962
heartbeat,1,9,9,3,1.0,0.3260725185807262,-0.01761256530880928,9.687505779251563,0.3383950562112861,-0.018842965364456177,9.670851197663229,0.34268686396535486,-0.020934518426656723,9.644262173035834
heartbeat,1,10,10,0,-1.0,0.3931190085907777,-0.03878908231854439,9.906467018042102,0.4332396723330021,-0.03884474188089371,9.924172715745183,0.4469099927407045,-0.03893222287297249,9.952514390241241
heartbeat,1,11,11,0,1.0,0.44283630400896073,0.056401245296001434,4.905448045939721,0.42380445698897046,0.0560777373611927,4.899685808746151,0.337370596148751,0.05555318295955658,4.890423794573466
heartbeat,1,12,12,1,1.0,0.43922886848449705,0.0017467762809246778,9.765073085153514,0.39825549189533505,0.0016292179934680462,9.779367078672555,0.2929986650124192,0.0014391769655048847,9.802186924681106
heartbeat,1,13,13,2,1.0,0.49548855796456337,-0.003217177465558052,10.249705705762157,0.3595570979846848,-0.0030150467064231634,10.360845193433954,0.3903577342629433,-0.0026919464580714703,10.53980415590971
heartbeat,1,14,14,5,1.0,0.29313027393072844,0.0051976097747683525,10.016802857772236,0.23584646979967752,0.005340429954230785,10.035889816316086,0.16994636112617123,0.005563495215028524,10.066169770454788
heartbeat,1,15,15,4,1.0,0.5019099820743907,-0.03711536526679993,9.533608463710824,0.48063175529241564,-0.037823621183633804,9.522137813931119,0.6413709037005901,-0.03900913894176483,9.503777910857123
heartbeat,1,16,16,4,1.0,0.33315370697528124,0.04629698395729065,10.077623601427366,0.2624893739287342,0.04660004749894142,10.074343445063038,0.4061602564373364,0.04710289090871811,10.069427116739847
heartbeat,1,17,17,1,-1.0,0.34219744375773836,-0.02400958351790905,10.453049985953543,0.40293580293655396,-0.02404666692018509,10.429230645327586,0.398785028945316,-0.02410496026277542,10.391077590197742
heartbeat,1,18,18,3,-1.0,0.207381890155375,-0.009291154332458973,10.216845828443134,0.10532672889530659,-0.008249787613749504,10.231838881944663,0.20773013748905875,-0.006689990870654583,10.25586992911623
heartbeat,1,19,19,5,1.0,0.15949600521061155,0.015957143157720566,7.2385721465221105,0.21554912999272346,0.016022637486457825,7.257058348472064,0.21751588423337256,0.016108043491840363,7.2861457259599405
heartbeat,1,20,20,5,-1.0,0.21000332138501107,0.029697205871343613,9.776599464076517,0.21498561696757357,0.030027760192751884,9.766743274816344,0.14597433163887924,0.030490975826978683,9.75072553474084
heartbeat,1,21,21,1,-1.0,0.3515266180038452,-0.030425621196627617,9.826745374151217,0.43763365348180133,-0.030533142387866974,9.805810392831196,0.4133065541585286,-0.030702339485287666,9.772266994538832
heartbeat,1,22,22,5,1.0,0.15870174223726446,0.040267422795295715,10.712267709771949,0.1452018995769322,0.040348462760448456,10.728055410876912,0.15577305620536208,0.04043099284172058,10.75407639229967
heartbeat,1,23,23,4,1.0,0.6861156798326052,0.002866887953132391,10.980673025152276,0.6772782325744628,0.002364684361964464,10.98791046961404,0.6619548201560974,0.0015216716565191746,11.000622601881043
heartbeat,1,24,24,4,1.0,0.21720672522981962,-0.010997598990797997,11.208408034689397,0.40078140298525494,-0.010955621488392353,11.2205395018474,0.30107456631958485,-0.010881831869482994,11.241851580981992
heartbeat,1,25,25,2,-1.0,0.13890811937421355,0.013305417262017727,10.199939888979081,0.10729048167801618,0.01311859954148531,10.110895145794165,0.014816631205446486,0.01280894409865141,9.970100418280675
heartbeat,1,26,26,5,-1.0,0.4952095150947571,-0.008157730102539062,8.982039936654356,0.4846787303686142,-0.008290940895676613,8.964753527944202,0.46318069100379944,-0.008500415831804276,8.936672041225581
heartbeat,1,27,27,3,1.0,0.5531979352235794,-0.019987229257822037,10.454838295090852,0.6038183371225992,-0.02226179838180542,10.441358196943721,0.5975202222665151,-0.02607622928917408,10.419828102245637
heartbeat,1,28,28,1,1.0,0.22713630360085518,0.01927991770207882,8.347934315414681,0.1978379082866013,0.01939460262656212,8.34954482753702,0.19529384705755445,0.019579701125621796,8.352097233836943
heartbeat,1,29,29,5,1.0,0.22063110722228885,0.041762590408325195,9.62355885166008,0.2076264355952541,0.04171120375394821,9.647543906286417,0.20042556803673506,0.04156798869371414,9.685722831336504
heartbeat,1,30,30,2,-1.0,0.008580937956867273,0.004544791299849749,11.333129407571946,0.15259675156557934,0.004457691218703985,11.215758550081286,0.05477168167853961,0.004317303653806448,11.032977660487068
heartbeat,1,31,31,1,1.0,0.2830860423190253,0.03525110334157944,10.50553973411986,0.3366230338811874,0.03515186905860901,10.524995983684462,0.30574060454964636,0.03499104827642441,10.556062754257075
heartbeat,1,32,32,3,-1.0,0.45254137739539146,-0.08669702708721161,9.45252821575023,0.3659588436906536,-0.08306919038295746,9.466250545292597,0.35837555262777543,-0.07747006416320801,9.488234941673475
heartbeat,1,33,33,3,1.0,0.20315268337726594,0.007763537112623453,9.93162620436088,0.2344680821353739,0.008568242192268372,9.915867608651961,0.22241905993885464,0.009936334565281868,9.890670495814083
heartbeat,1,34,34,1,1.0,0.34331483766436577,0.008868005126714706,8.627288068671835,0.37344756722450256,0.008933892473578453,8.632032372058854,0.3755119064124301,0.009040030650794506,8.639555198980641
heartbeat,1,35,35,2,-1.0,0.1631346012058202,0.008003592491149902,11.007188060561777,0.11859022901626304,0.007881267927587032,10.88439319015684,0.16186631960445083,0.007685431744903326,10.693741661334062
