dataset,seed,status,algo,model,pipeline,base_f1,act_f1,gain,f1_gain_pct,base_stop_epoch,act_stop_epoch,base_best_val_f1,act_best_val_f1,transport_error_fro_mean,transport_error_logeuc_mean,bridge_cond_A_mean,metric_preservation_error_mean,safe_radius_ratio_mean,manifold_margin_mean,host_geom_cosine_mean,host_conflict_rate,candidate_total_count,aug_total_count,requested_k_dir,effective_k_dir,edit_mode,edit_basis,edit_alpha_scale,white_identity_error_mean,recolor_transport_error_logeuc_mean,recolor_transport_error_fro_mean,edit_energy_mean,edit_norm_mean,edit_alpha_mean,feedback_weight_mean,feedback_weight_std,last_orig_ce_loss,last_weighted_aug_ce_loss,last_aug_margin_mean
atrialfibrillation,1,success,lraes,resnet1d,mba_white_edit,0.21367521367521367,0.24338624338624337,0.029711029711029707,13.904755397336377,15,15,0.2222222222222222,0.5555555555555555,0.04338999201225773,0.5133431472457693,1.0808210963643972,0.0,0.9999999999899997,1.0436398830928968,0.0,0.0,12,12,10,9,line,whitened_pca,0.25,4.4763581512589894e-17,0.5133431472457693,0.04338999201225773,0.24999999999999015,6.319612329882268,6.319612329882269,0.8490834159155687,0.18831982392529872,0.03131860867142677,0.02110540121793747,4.714163780212402
atrialfibrillation,2,success,lraes,resnet1d,mba_white_edit,0.24019607843137256,0.32051282051282054,0.08031674208144798,33.437976659730914,15,15,0.5555555555555555,0.5555555555555555,0.043007861568476614,0.49113284570321986,1.0807680760969756,0.0,0.9999999999899997,1.0337744315478616,0.0,0.0,12,12,10,9,line,whitened_pca,0.25,4.822756880500336e-17,0.49113284570321986,0.043007861568476614,0.24999999999999015,6.319612329882268,6.319612329882269,0.8122048061754968,0.1973643014684654,0.034279510378837585,0.041057709604501724,4.018950939178467
atrialfibrillation,3,success,lraes,resnet1d,mba_white_edit,0.16666666666666666,0.16666666666666666,0.0,0.0,15,15,0.5555555555555555,0.5555555555555555,0.033047680069148495,0.5243104242284701,1.0814392942088196,0.0,0.9999999999899997,0.8437962467856867,0.0,0.0,12,12,10,9,line,whitened_pca,0.25,4.2227387124565386e-17,0.5243104242284701,0.033047680069148495,0.24999999999999015,6.319612329882269,6.319612329882269,0.8476567606131236,0.1817398094850938,0.016494544222950935,0.014366112649440765,4.777011871337891
