dataset,arm,n,mean_f1,std_f1,mean_gain,std_gain
articularywordrecognition,baseline_ce,3,0.9631069387938952,0.010056328605765413,0.0,0.0
articularywordrecognition,mba_core_lraes,3,0.9822884046710133,0.0038800216292834257,0.019181465877118,0.006933142508290712
articularywordrecognition,mba_feedback_lraes,3,0.9732329924503836,0.005824371706670293,0.010126053656488367,0.005817060674137857
articularywordrecognition,rc4_osf,3,0.9609087833261746,0.018171359570457592,-0.0021981554677207005,0.027540270266370032
atrialfibrillation,baseline_ce,3,0.23454323454323447,0.078502724418324,0.0,0.0
atrialfibrillation,mba_core_lraes,3,0.1706589706589706,0.04047132444799118,-0.0638842638842639,0.08831849952516697
atrialfibrillation,mba_feedback_lraes,3,0.2504162504162504,0.07782649516501848,0.01587301587301587,0.02749286996141074
atrialfibrillation,rc4_osf,3,0.2504162504162504,0.07782649516501848,0.01587301587301587,0.02749286996141074
basicmotions,baseline_ce,3,1.0,0.0,0.0,0.0
basicmotions,mba_core_lraes,3,1.0,0.0,0.0,0.0
basicmotions,mba_feedback_lraes,3,1.0,0.0,0.0,0.0
basicmotions,rc4_osf,3,1.0,0.0,0.0,0.0
cricket,baseline_ce,3,0.9906759906759909,0.008074828939714949,0.0,0.0
cricket,mba_core_lraes,3,0.9813843563843565,0.021311011073851138,-0.009291634291634232,0.01609358267845975
cricket,mba_feedback_lraes,3,0.9766899766899767,0.008074828939715157,-0.013986013986013934,0.013986013986014
cricket,rc4_osf,3,0.9813519813519814,0.008074828939715157,-0.0093240093240092,0.008074828939714939
epilepsy,baseline_ce,3,0.9584462387451697,0.022356162985632366,0.0,0.0
epilepsy,mba_core_lraes,3,0.978540586312359,0.00707331133270503,0.020094347567189332,0.02893134263927154
epilepsy,mba_feedback_lraes,3,0.976155274361639,0.008447906611902332,0.017709035616469176,0.030783010173174145
epilepsy,rc4_osf,3,0.9735124115619693,0.011253937722416705,0.015066172816799566,0.03329565134044944
ering,baseline_ce,3,0.7469214078445964,0.1770500945694436,0.0,0.0
ering,mba_core_lraes,3,0.7450199977352021,0.09519233807138629,-0.0019014101093943747,0.23107358645928378
ering,mba_feedback_lraes,3,0.7378245735260256,0.198518670570315,-0.009096834318570968,0.021661922664808868
ering,rc4_osf,3,0.7314554662813505,0.2187369406274322,-0.015465941563246067,0.04236930617067592
ethanolconcentration,baseline_ce,3,0.27915369510542803,0.022903519123516246,0.0,0.0
ethanolconcentration,mba_core_lraes,3,0.25292335102659563,0.02969738087080133,-0.026230344078832266,0.008065702141666619
ethanolconcentration,mba_feedback_lraes,3,0.2655923932267021,0.03818548719804416,-0.013561301878725868,0.01877641151004801
