dataset,seed,class_id,prototype_id,opp_class_id,opp_prototype_id,old_opp_class_id,old_opp_prototype_id,direction_norm,pair_distance,direction_cosine_to_old,direction_change_angle_proxy
selfregulationscp1,1,1,0,0,0,0,0,0.1374384102927494,0.1374384102927494,1.0,0.0
selfregulationscp1,1,1,1,0,1,0,1,0.08564741528948876,0.08564741528948876,0.9999999999999999,1.4901161193847656e-08
selfregulationscp1,1,1,2,0,2,0,2,0.17780604391337682,0.17780604391337682,1.0,0.0
selfregulationscp1,1,1,3,0,3,0,3,0.11535719427636115,0.11535719427636115,0.9999999999999999,1.4901161193847656e-08
selfregulationscp1,1,0,0,1,0,1,0,0.1374384102927494,0.1374384102927494,1.0,0.0
selfregulationscp1,1,0,1,1,1,1,1,0.08564741528948876,0.08564741528948876,0.9999999999999999,1.4901161193847656e-08
selfregulationscp1,1,0,2,1,2,1,2,0.17780604391337682,0.17780604391337682,1.0,0.0
selfregulationscp1,1,0,3,1,3,1,3,0.11535719427636115,0.11535719427636115,0.9999999999999999,1.4901161193847656e-08
