dataset,seed,class_id,prototype_id,prototype_member_count,anchor_count,base_between,candidate_between,delta_between,base_margin,candidate_margin,delta_margin,base_within,candidate_within,delta_within,accept_between,accept_margin,accept_within,final_accept
selfregulationscp1,1,1,0,20083,8,0.1374384102927494,0.04699380040628577,-0.09044460988646362,0.0034577018275398688,-0.0010529265131592055,-0.004510628340699074,0.787948715840661,0.79245934418136,0.004510628340699041,0,0,0,0
selfregulationscp1,1,1,1,14376,8,0.08564741528948874,0.07829463888575575,-0.007352776403732997,0.003924341244519235,-0.010047886660763504,-0.013972227905282738,0.9291114093508667,0.9430836372561495,0.013972227905282852,0,0,0,0
selfregulationscp1,1,1,2,15566,8,0.17780604391337684,0.07111651986416363,-0.10668952404921321,0.007578512155278562,0.005002509087080441,-0.00257600306819812,0.8752192808642943,0.8777952839324924,0.0025760030681980517,0,0,0,0
selfregulationscp1,1,1,3,21775,8,0.11535719427636115,0.18396995005506403,0.06861275577870288,0.0030984759581049706,-0.0010095927915283651,-0.004108068749633336,0.8080633966888402,0.8121714654384734,0.004108068749633209,1,0,0,0
selfregulationscp1,1,0,0,22789,8,0.1374384102927494,0.0739981833474028,-0.0634402269453466,0.008431183957488588,-0.0010212698351617236,-0.009452453792650313,0.7652914204960566,0.774743874288707,0.009452453792650362,0,0,0,0
selfregulationscp1,1,0,1,14827,8,0.08564741528948874,0.0707007814817852,-0.014946633807703544,0.001525870154703953,-0.0015064891340533448,-0.0030323592887572977,0.9175910565721265,0.9206234158608837,0.003032359288757225,0,0,0,0
selfregulationscp1,1,0,2,16841,8,0.17780604391337684,0.08791867162799058,-0.08988737228538626,0.0191543733605052,0.008308112881036861,-0.01084626047946834,0.8276348435967978,0.8384811040762662,0.01084626047946835,0,0,0,0
selfregulationscp1,1,0,3,18061,8,0.11535719427636115,0.04882835614559584,-0.06652883813076532,0.004064665681557354,-0.003115310658493011,-0.007179976340050366,0.8087564742563714,0.8159364505964216,0.007179976340050187,0,0,0,0
