dataset,seed,status,algo,model,pipeline,base_f1,act_f1,gain,f1_gain_pct,base_stop_epoch,act_stop_epoch,base_best_val_f1,act_best_val_f1,transport_error_fro_mean,transport_error_logeuc_mean,bridge_cond_A_mean,metric_preservation_error_mean,safe_radius_ratio_mean,manifold_margin_mean,host_geom_cosine_mean,host_conflict_rate,candidate_total_count,aug_total_count,requested_k_dir,effective_k_dir,direction_bank_source,zpia_z_dim,zpia_n_train,zpia_n_train_lt_z_dim,zpia_row_norm_min,zpia_row_norm_max,zpia_row_norm_mean,zpia_fallback_row_count,telm2_recon_last,telm2_recon_mean,telm2_recon_std,telm2_n_iters,telm2_c_repr,telm2_activation,telm2_bias_update_mode
atrialfibrillation,1,success,zpia,resnet1d,act,0.21367521367521367,0.26495726495726496,0.051282051282051294,23.999988768005263,15,15,0.2222222222222222,0.2222222222222222,0.00012836623807590427,0.027232374792941147,1.086836319523731,0.12515010392609527,0.9999999999899997,1.0436398830928968,0.0,0.0,12,12,10,10,zpia_telm2,3,12,False,0.9999999999999999,1.0,1.0,0,0.4780402884657121,0.4964101776980024,0.013568812289763796,3,1.0,sine,residual
atrialfibrillation,2,success,zpia,resnet1d,act,0.24019607843137256,0.24019607843137256,0.0,0.0,15,15,0.5555555555555555,0.16666666666666666,0.00012677182871004882,0.0331646258696613,1.0902395434648977,0.13048955344490076,0.9999999999899997,1.0337744315478616,0.0,0.0,12,12,10,10,zpia_telm2,3,12,False,1.0,1.0,1.0,0,0.5430417954751502,0.5774182954621443,0.03526120688154219,3,1.0,sine,residual
atrialfibrillation,3,success,zpia,resnet1d,act,0.16666666666666666,0.16666666666666666,0.0,0.0,15,15,0.5555555555555555,0.5555555555555555,0.00012515672772388437,0.03211470132890002,1.077840205113669,0.12221719117483941,0.9999999999899997,0.8437962467856867,0.0,0.0,12,12,10,10,zpia_telm2,3,12,False,0.9999999999999999,1.0,1.0,0,0.41075460286020254,0.4103549953532568,0.012181473901215904,3,1.0,sine,residual
