dataset,seed,class_id,prototype_id,opp_class_id,opp_prototype_id,direction_norm,pair_distance
selfregulationscp1,1,1,0,0,0,0.41407604128033526,0.41407604128033526
selfregulationscp1,1,1,1,0,1,0.5947394932736126,0.5947394932736126
selfregulationscp1,1,1,2,0,2,0.42544967214468943,0.42544967214468943
selfregulationscp1,1,1,3,0,3,0.39285524210351663,0.39285524210351663
selfregulationscp1,1,0,0,1,0,0.41407604128033526,0.41407604128033526
selfregulationscp1,1,0,1,1,1,0.5947394932736126,0.5947394932736126
selfregulationscp1,1,0,2,1,2,0.42544967214468943,0.42544967214468943
selfregulationscp1,1,0,3,1,3,0.39285524210351663,0.39285524210351663
