dataset,seed,status,fail_reason,requested_k_dir,effective_k_dir,num_classes,latent_dim,train_size,aug_total_count,algo,model,base_f1,act_f1,gain,f1_gain_pct,base_stop_epoch,act_stop_epoch,base_best_val_f1,act_best_val_f1
racketsports,1,success,,10,10,4,21,120,120,lraes,patchtst,0.7173918377733213,0.7142276707940183,-0.003164166979302996,-0.44106531070367244,30,37,0.8498168498168499,0.9100455465587045
racketsports,2,success,,10,10,4,21,120,120,lraes,patchtst,0.7567629173743924,0.6560416666666666,-0.10072125070772575,-13.309483734707408,63,18,0.8187229437229437,0.8189102564102565
racketsports,3,success,,10,10,4,21,120,120,lraes,patchtst,0.7070769056063174,0.7467257112184649,0.03964880561214745,5.607423986040766,41,60,0.764935064935065,0.7346132128740825
