dataset,dataset_role,seed,mode,trajectory_len_mean,step_change_mean,local_curvature_proxy,classwise_dispersion,transition_separation_proxy,continuity_distortion_ratio
selfregulationscp1,main,1,baseline,8.0,1.1183780129276104,1.6809517945816268,0.8313723802566528,0.08121607452630997,1.0
selfregulationscp1,main,1,t2a_default,8.0,1.1227439363204426,1.6847907924533483,0.8363214433193207,0.08134962618350983,1.0077427068087528
selfregulationscp1,main,1,t3_shared_rebasis,8.0,1.1226126200227595,1.6846765792785,0.8361383676528931,0.08139226585626602,1.007518777960809
selfregulationscp1,main,1,t4b_window_radial_gate,8.0,1.1233875251824583,1.6853173754701567,0.8370001316070557,0.08121117204427719,1.0088350356224145
selfregulationscp1,main,1,t4b_window_margin_gate,8.0,1.122790417564449,1.6848372618357341,0.8364193439483643,0.08133194595575333,1.0078201282278862
selfregulationscp1,main,1,t6a1_local_knn_margin_unified,8.0,1.1163808717539436,1.6789743370131442,0.8287242650985718,0.09126967191696167,1.0018782107143918
natops,anchor,1,t3_shared_rebasis,5.0,3.274394265369133,4.5782121071109065,6.4828150272369385,0.8628184795379639,1.0006977231210752
natops,anchor,1,t4b_window_margin_gate,5.0,3.2747366944948832,4.578506997338048,6.485690196355184,0.8627052903175354,1.0008622543288486
natops,anchor,1,t6a1_local_knn_margin_unified,5.0,3.278895182305194,4.588114152563379,6.428072214126587,0.8546484708786011,1.0001632819575246
