dataset,seed,arm,fit_window_count,fit_trial_count,operator_norm_mean,operator_norm_p95,operator_to_step_ratio_mean,local_step_distortion_ratio_mean,local_step_distortion_ratio_p95,operator_direction_stability,response_vs_margin_correlation,activation_coverage_ratio,preactivation_clip_rate,response_centering_std_after_fix,gate_saturation_ratio,geometry_coupling_mean,geometry_coupling_abs_mean,budget_scale_factor,applied_window_count_total,fit_mode,fit_target_mode,target_mode,response_stats_mode,template_count,template_readout_mode,weight_kernel_name,template_mean_direction_cosine,effective_sample_size,effective_sample_ratio,same_opp_count_ratio,same_opp_weight_mass_ratio
natops,1,c0_unweighted_a2r,192,58,0.0946138298902058,0.36734873984688216,0.07749250062375429,1.002418828518781,1.011248585039244,0.999999999999,0.1770049799548594,0.0002314814814814815,0.06631944444444444,0.11518836005459542,0.0,0.0,0.0,10.790218108999484,8640,unweighted,auto_associative,,fit_pool,1,mean_committee,identity,0.011061869863796732,192.0,1.0,0.0,0.0
natops,1,c3lr_r1_global_a2r,384,58,0.08556034096523378,0.32926566030039695,0.07159431060770945,1.0020264331429365,1.0088497984246938,0.999999999999,-0.06594285957205641,0.0045138888888888885,0.011689814814814814,0.24686622048845383,0.0011574074074074073,0.0,0.0,4.747745903114652,8640,bipolar_discriminative_weighted,hetero_associative_discriminative_linear_pm1,linear_pm1,deployment_train,1,mean_committee,bipolar_exp_relative_distance_over_median_minus_min,0.16240346776455747,263.61616911650464,0.6865004404075642,1.0,0.9999999998669424
natops,1,b3_r1_continuous_geom,384,58,0.08394168937695039,0.3350287177688803,0.07439497191807026,1.0020334671748439,1.0129315946609547,0.9403363191600944,-0.06594285957205641,0.0045138888888888885,0.011689814814814814,0.24686622048845383,0.0011574074074074073,0.09456223721921207,0.30976334894607377,17.332003383805375,8640,bipolar_discriminative_weighted,hetero_associative_discriminative_linear_pm1,linear_pm1,deployment_train,1,mean_committee,bipolar_exp_relative_distance_over_median_minus_min,0.16240346776455747,263.61616911650464,0.6865004404075642,1.0,0.9999999998669424
natops,1,c3lr_r4_global_a2r,384,58,0.09147292293910501,0.34819963234277357,0.07660159939983027,1.0022869137580162,1.0090764276952473,0.999999999999,-0.06181198789561836,0.001388888888888889,0.010532407407407407,0.1958754481822904,0.00011574074074074075,0.0,0.0,5.94003135597131,8640,bipolar_discriminative_weighted,hetero_associative_discriminative_linear_pm1,linear_pm1,deployment_train,4,mean_committee,bipolar_exp_relative_distance_over_median_minus_min,0.08608425128425212,263.61616911650464,0.6865004404075642,1.0,0.9999999998669424
natops,1,b3_r4_continuous_geom,384,58,0.09238805686975053,0.3669366014279538,0.07378680094052599,1.0016608743151105,1.0107450786961598,0.9433403066466965,-0.06181198789561836,0.001388888888888889,0.010532407407407407,0.1958754481822904,0.00011574074074074075,0.04145271172273092,0.26880204099325855,21.187791976573976,8640,bipolar_discriminative_weighted,hetero_associative_discriminative_linear_pm1,linear_pm1,deployment_train,4,mean_committee,bipolar_exp_relative_distance_over_median_minus_min,0.08608425128425212,263.61616911650464,0.6865004404075642,1.0,0.9999999998669424
natops,2,c0_unweighted_a2r,192,49,0.09585930719167982,0.3883851965056192,0.07886469372647077,1.0024515116896917,1.0116139781013638,0.999999999999,0.004320620279418709,0.0002314814814814815,0.07997685185185185,0.11141093686890734,0.0,0.0,0.0,11.3314069264307,8640,unweighted,auto_associative,,fit_pool,1,mean_committee,identity,0.009756340957164494,192.0,1.0,0.0,0.0
natops,2,c3lr_r1_global_a2r,384,49,0.09837156441635583,0.3941956650402535,0.07885663177214335,1.0032737970768617,1.0153770894407752,0.999999999999,0.08139923338040767,0.0,0.02349537037037037,0.10832703147052061,0.0,0.0,0.0,12.600220348552767,8640,bipolar_discriminative_weighted,hetero_associative_discriminative_linear_pm1,linear_pm1,deployment_train,1,mean_committee,bipolar_exp_relative_distance_over_median_minus_min,0.1676903857162387,279.87745762626037,0.7288475459017197,1.0,0.999999999918685
natops,2,b3_r1_continuous_geom,384,49,0.10241807855885184,0.5036817923654161,0.07936007741835517,1.0048259514712454,1.0201107803484328,0.928936686330338,0.08139923338040767,0.0,0.02349537037037037,0.10832703147052061,0.0,0.12995505436071653,0.23864988994064135,43.10124735826083,8640,bipolar_discriminative_weighted,hetero_associative_discriminative_linear_pm1,linear_pm1,deployment_train,1,mean_committee,bipolar_exp_relative_distance_over_median_minus_min,0.1676903857162387,279.87745762626037,0.7288475459017197,1.0,0.999999999918685
natops,2,c3lr_r4_global_a2r,384,49,0.0915812135493566,0.3345753860082728,0.07553627017062531,1.0023672135207486,1.0094050312917093,0.999999999999,-0.03812150437807536,0.0016203703703703703,0.015856481481481482,0.1755528759683257,0.0,0.0,0.0,6.806058131903856,8640,bipolar_discriminative_weighted,hetero_associative_discriminative_linear_pm1,linear_pm1,deployment_train,4,mean_committee,bipolar_exp_relative_distance_over_median_minus_min,-0.10882063471153135,279.87745762626037,0.7288475459017197,1.0,0.999999999918685
natops,2,b3_r4_continuous_geom,384,49,0.09297523619541058,0.4156153182977441,0.07348175834301059,1.0027543333240427,1.0123240750676668,0.9241893374011609,-0.03812150437807536,0.0016203703703703703,0.015856481481481482,0.1755528759683257,0.0,-0.0720747568514958,0.21502079128781965,27.256086853983376,8640,bipolar_discriminative_weighted,hetero_associative_discriminative_linear_pm1,linear_pm1,deployment_train,4,mean_committee,bipolar_exp_relative_distance_over_median_minus_min,-0.10882063471153135,279.87745762626037,0.7288475459017197,1.0,0.999999999918685
natops,3,c0_unweighted_a2r,192,53,0.09416008162812313,0.36041252218179176,0.07761792537671737,1.002336399480603,1.0107701156011804,0.999999999999,0.04873575103801421,0.0002314814814814815,0.030439814814814815,0.11316275528891732,0.0,0.0,0.0,10.795481772282592,8640,unweighted,auto_associative,,fit_pool,1,mean_committee,identity,-0.018916732996000347,192.0,1.0,0.0,0.0
natops,3,c3lr_r1_global_a2r,384,53,0.09299524673922063,0.3616231552658724,0.07608911852296836,1.0023520131247925,1.0103652866688024,0.999999999999,-0.03541042188178854,0.012037037037037037,0.016087962962962964,0.27856202865931334,0.0,0.0,0.0,4.498082530078807,8640,bipolar_discriminative_weighted,hetero_associative_discriminative_linear_pm1,linear_pm1,deployment_train,1,mean_committee,bipolar_exp_relative_distance_over_median_minus_min,-0.17533684694652862,272.08619374737816,0.7085577962171307,1.0,0.9999999999296213
natops,3,b3_r1_continuous_geom,384,53,0.09026523477770136,0.46584328375872325,0.07208105232357336,1.0028799766480916,1.0137842990447448,0.9229032062493477,-0.03541042188178854,0.012037037037037037,0.016087962962962964,0.27856202865931334,0.0,-0.12967594196887208,0.2224936319816493,17.625242548776967,8640,bipolar_discriminative_weighted,hetero_associative_discriminative_linear_pm1,linear_pm1,deployment_train,1,mean_committee,bipolar_exp_relative_distance_over_median_minus_min,-0.17533684694652862,272.08619374737816,0.7085577962171307,1.0,0.9999999999296213
