pair_id,same_class_id,same_prototype_id,opp_class_id,opp_prototype_id,center_dist,cos_c0,cos_c2,cos_c3,same_pool_count,opp_pool_count,same_weight_mass,opp_weight_mass,same_proto_effective_sample_size,opp_proto_effective_sample_size,same_weight_scale,opp_weight_scale
s0p0|o1p2,0,0,1,2,3.1743213081160464,-0.08368834295011193,-0.0092444493489176,0.5485386638279179,8,8,0.9999999970784692,0.9999999973236606,6.038935826679034,6.220829131261679,0.3033462426429461,0.08599013886349871
s0p1|o1p2,0,1,1,2,2.5960114029385815,0.11890955464493028,0.22936165556948862,0.5431017094003113,8,8,0.9999999971720734,0.9999999973236606,6.458130057678185,6.220829131261679,0.20782928890244,0.08599013886349871
s0p2|o2p1,0,2,2,1,4.084573750500893,0.030067632205698965,0.11507405187220014,0.5950969280048458,8,8,0.9999999974069876,0.9999999968965954,6.081731769147363,5.611990533457867,0.1683447196434038,0.11678517488366058
s0p3|o1p0,0,3,1,0,4.295541418085979,0.034270526685275,0.10867810885151442,0.5184453075193499,8,8,0.9999999971865927,0.9999999975469401,4.755382693038495,4.711495403009208,0.020387214971775425,0.10790774710226714
s1p0|o2p0,1,0,2,0,2.5863956785981874,-0.11482282136799023,-0.012278344075896005,0.3080624503951653,8,8,0.9999999975469401,0.9999999973351715,4.711495403009208,5.347332285069482,0.10790774710226714,0.025450409056012813
s1p1|o2p1,1,1,2,1,2.9287047152456673,0.11643889119464128,0.1871763805568187,0.3679979590104999,8,8,0.9999999972823276,0.9999999968965954,6.625479541604209,5.611990533457867,0.25024564133257465,0.11678517488366058
s1p2|o2p0,1,2,2,0,1.916672124905615,0.010864243453017713,0.0013132973466126493,0.1689193319966952,8,8,0.9999999973236606,0.9999999973351715,6.220829131261679,5.347332285069482,0.08599013886349871,0.025450409056012813
s1p3|o2p0,1,3,2,0,5.27280750065071,-0.12130980141300955,-0.1285230478096732,0.015185685428291297,8,8,0.999999996515417,0.9999999973351715,4.89500020341929,5.347332285069482,0.081273001699945,0.025450409056012813
s2p0|o1p2,2,0,1,2,1.916672124905615,-0.010864243453017713,-0.0013132973466126493,-0.1689193319966952,8,8,0.9999999973351715,0.9999999973236606,5.347332285069482,6.220829131261679,0.025450409056012813,0.08599013886349871
s2p1|o1p1,2,1,1,1,2.9287047152456673,-0.11643889119464128,-0.1871763805568187,-0.3679979590104999,8,8,0.9999999968965954,0.9999999972823276,5.611990533457867,6.625479541604209,0.11678517488366058,0.25024564133257465
s2p2|o1p0,2,2,1,0,4.928746062618025,-0.19839583211374542,-0.2393463959024785,-0.419367002573805,8,8,0.9999999975852014,0.9999999975469401,5.882805817348232,4.711495403009208,0.04735999333299601,0.10790774710226714
s2p3|o1p2,2,3,1,2,3.7148756340952156,-0.09158067860808924,-0.13719451728774068,-0.2983851234370774,8,8,0.9999999970063382,0.9999999973236606,5.512123499920595,6.220829131261679,0.10274564804561725,0.08599013886349871
s3p0|o4p0,3,0,4,0,3.7011771405705156,0.058556098034074404,0.05210000468984358,0.23532332382650575,8,8,0.9999999972524375,0.9999999975106177,4.982624970828496,6.0596002143665935,0.1992298674585813,0.2928912726693005
s3p1|o4p2,3,1,4,2,3.9406584626242602,0.08481132717857176,0.11546845416677237,-0.053157688678224305,8,8,0.9999999970481466,0.9999999974021149,5.280490683833545,5.446681134139727,0.03299980241172129,0.11377936832966284
s3p2|o4p1,3,2,4,1,3.2644678244534484,0.06166071441565626,0.07463091950039391,0.07069303080516098,8,8,0.9999999967976483,0.9999999972747686,4.8111888517455155,4.507184771867013,0.14964701561760485,0.06538706226849911
s3p3|o4p0,3,3,4,0,2.7548069823318024,0.1775096055293981,0.1532619708141527,0.1883054651267612,8,8,0.9999999975518918,0.9999999975106177,5.596544166677432,6.0596002143665935,0.12266938824924889,0.2928912726693005
s4p0|o3p3,4,0,3,3,2.7548069823318024,-0.1775096055293981,-0.1532619708141527,-0.1883054651267612,8,8,0.9999999975106177,0.9999999975518918,6.0596002143665935,5.596544166677432,0.2928912726693005,0.12266938824924889
s4p1|o3p2,4,1,3,2,3.2644678244534484,-0.06166071441565626,-0.07463091950039391,-0.07069303080516098,8,8,0.9999999972747686,0.9999999967976483,4.507184771867013,4.8111888517455155,0.06538706226849911,0.14964701561760485
s4p2|o3p1,4,2,3,1,3.9406584626242602,-0.08481132717857176,-0.11546845416677237,0.053157688678224305,8,8,0.9999999974021149,0.9999999970481466,5.446681134139727,5.280490683833545,0.11377936832966284,0.03299980241172129
s4p3|o3p3,4,3,3,3,5.957970464366738,0.24365323481211626,0.18967472677499456,-0.27472010534827396,8,8,0.9999999972537371,0.9999999975518918,5.788275376545725,5.596544166677432,0.34549406998747667,0.12266938824924889
s5p0|o3p3,5,0,3,3,6.243782217893354,0.15389250955956033,0.19126531771711425,0.40801560726237657,8,8,0.9999999972077014,0.9999999975518918,6.21711248734509,5.596544166677432,0.13031488618443277,0.12266938824924889
s5p1|o4p3,5,1,4,3,7.025283313704008,0.012623332081710228,0.08912296656776346,0.6852503067541333,8,8,0.9999999965541942,0.9999999972537371,4.82973517672737,5.788275376545725,0.11165241393286962,0.34549406998747667
s5p2|o4p2,5,2,4,2,5.972156280695784,0.20552116206134954,0.23330463621934988,0.3473867505845768,8,8,0.9999999968122917,0.9999999974021149,5.503808965847201,5.446681134139727,0.06151024324606791,0.11377936832966284
s5p3|o4p3,5,3,4,3,6.493983469013206,0.02074618698313358,0.09607055864906962,0.6085914696448316,8,8,0.999999997384025,0.9999999972537371,5.081156217535813,5.788275376545725,0.10217466546661846,0.34549406998747667
