arm,mean_f1_mean_over_datasets,mean_gain_vs_baseline,win_count_vs_mba_core_lraes,win_count_vs_rc4_osf,mean_delta_vs_mba_core_lraes,mean_delta_vs_rc4_osf
baseline_ce,0.671456492785836,0.0,4,8,-0.03291690372966636,-0.024302394342350497
mba_core_lraes,0.7043733965155023,0.03291690372966636,0,13,0.0,0.008614509387315861
mba_feedback_lraes,0.6926338819261485,0.02117738914031247,5,10,-0.01173951458935389,-0.003125005202038029
rc4_osf,0.6957588871281866,0.024302394342350497,5,0,-0.008614509387315861,0.0
mba_core_rc4_fused_concat,0.7164289385472165,0.04497244576138046,10,13,0.0120555420317141,0.020670051419029962
