dataset,seed,variant,variant_type,f1,delta_vs_frozen_main,delta_vs_continue_ce,delta_vs_mba,status,warmup_f1,base_f1,act_f1,selected_anchor_count,selected_positive_count,candidate_total_count,valid_candidate_count,hard_positive_score_mean,fidelity_score_mean,acl_last_ce_loss,acl_last_supcon_loss,selected_class_coverage_frac,hard_positive_score,alignment_cosine,entropy_shift,fidelity_score,safe_radius_ratio,alignment_norm_mean,entropy_norm_mean,safe_radius_ratio_mean,fidelity_score_mean_selected,dominant_metric,dominant_corr,dominance_gap,dominance_risk,source_dataset_dir,candidate_csv,selected_csv,arm_dir,audit_files_present,coverage_risk,is_reference,pipeline,selected_candidate_count,selected_class_missing_frac
atrialfibrillation,1,gcg_acl_frozen_main,acl,0.21645021645021645,0.0,0.01645021645021641,-0.10406260406260409,success,0.13095238095238096,0.20000000000000004,0.21645021645021645,12,12,48,48,0.8849206104738622,0.973696013886228,0.009788312949240208,1.947514533996582,1.0,0.8849206104738621,-0.10089715104550123,1.6987323760986328e-06,0.9736960138862278,0.9999999999989999,0.43559945211583423,0.3054261531093428,0.9999999999989999,0.9736960138862278,alignment_norm,0.9262257157699131,0.22549158096395816,False,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/acl_small_matrix_v1/gcg_acl_n4/atrialfibrillation,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/acl_small_matrix_v1/gcg_acl_n4/atrialfibrillation/audit/atrialfibrillation_s1_candidate_scores.csv,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/acl_small_matrix_v1/gcg_acl_n4/atrialfibrillation/audit/atrialfibrillation_s1_selected_positives.csv,gcg_acl_n4,True,False,False,gcg_acl,12,0.0
atrialfibrillation,1,gcg_acl_align1p0,acl,0.11616161616161617,-0.10028860028860027,-0.08383838383838386,-0.20435120435120435,success,0.16666666666666666,0.15584415584415584,0.11616161616161617,12,12,48,48,0.9736346632254884,0.9736346632264622,0.01083409320563078,1.9490840435028076,1.0,0.9736346632254883,-0.19238919594014683,-0.00016748905181884766,0.9736346632264621,0.9999999999989999,0.4558814276840173,0.3059221445192277,0.9999999999989999,0.9736346632264621,alignment_norm,0.9798030963493408,0.7958906811012376,True,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/acl_failure_review_v1/gcg_acl_align1p0/atrialfibrillation,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/acl_failure_review_v1/gcg_acl_align1p0/atrialfibrillation/audit/atrialfibrillation_s1_candidate_scores.csv,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/acl_failure_review_v1/gcg_acl_align1p0/atrialfibrillation/audit/atrialfibrillation_s1_selected_positives.csv,gcg_acl_align1p0,True,False,False,gcg_acl,12,0.0
atrialfibrillation,1,gcg_acl_loss0p1,acl,0.10683760683760683,-0.10961260961260962,-0.0931623931623932,-0.2136752136752137,success,0.21367521367521367,0.24338624338624337,0.10683760683760683,12,12,48,48,0.7771213431490093,0.9736300716122467,0.00838774535804987,1.948230504989624,1.0,0.7771213431490093,-0.12540414770289013,4.4405460357666016e-06,0.9736300716122467,0.9999999999989999,0.49218878839734614,0.34082290087686296,0.9999999999989999,0.9736300716122467,alignment_norm,0.8827700165216192,0.6589151241175388,False,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/acl_failure_review_v1/gcg_acl_loss0p1/atrialfibrillation,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/acl_failure_review_v1/gcg_acl_loss0p1/atrialfibrillation/audit/atrialfibrillation_s1_candidate_scores.csv,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/acl_failure_review_v1/gcg_acl_loss0p1/atrialfibrillation/audit/atrialfibrillation_s1_selected_positives.csv,gcg_acl_loss0p1,True,False,False,gcg_acl,12,0.0
atrialfibrillation,1,gcg_acl_temp0p05,acl,0.20000000000000004,-0.01645021645021641,0.0,-0.1205128205128205,success,0.14035087719298245,0.24019607843137256,0.20000000000000004,12,12,48,48,0.8219699420728043,0.9737888658802946,0.017222100868821144,1.9497053623199463,1.0,0.8219699420728043,-0.08998677033620577,-0.00018876294294993082,0.9737888658802946,0.9999999999989999,0.462458006564422,0.34822312569830444,0.9999999999989999,0.9737888658802946,alignment_norm,0.874851156941243,0.48202076319652426,False,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/acl_failure_review_v1/gcg_acl_temp0p05/atrialfibrillation,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/acl_failure_review_v1/gcg_acl_temp0p05/atrialfibrillation/audit/atrialfibrillation_s1_candidate_scores.csv,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/acl_failure_review_v1/gcg_acl_temp0p05/atrialfibrillation/audit/atrialfibrillation_s1_selected_positives.csv,gcg_acl_temp0p05,True,False,False,gcg_acl,12,0.0
atrialfibrillation,1,gcg_acl_temp0p10,acl,0.15584415584415584,-0.06060606060606061,-0.0441558441558442,-0.1646686646686647,success,0.20098039215686278,0.20000000000000004,0.15584415584415584,12,12,48,48,0.7998817015940892,0.9738976382968018,0.013241134583950043,1.948570966720581,1.0,0.7998817015940892,-0.13198248700549206,0.00030060609181722003,0.9738976382968019,0.9999999999989999,0.4912981403172322,0.3303203245202979,0.9999999999989999,0.9738976382968019,alignment_norm,0.8986555276225691,0.6144210789202329,False,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/acl_failure_review_v1/gcg_acl_temp0p10/atrialfibrillation,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/acl_failure_review_v1/gcg_acl_temp0p10/atrialfibrillation/audit/atrialfibrillation_s1_candidate_scores.csv,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/acl_failure_review_v1/gcg_acl_temp0p10/atrialfibrillation/audit/atrialfibrillation_s1_selected_positives.csv,gcg_acl_temp0p10,True,False,False,gcg_acl,12,0.0
atrialfibrillation,2,gcg_acl_frozen_main,acl,0.1574074074074074,0.0,-0.16310541310541313,-0.10925925925925925,success,0.16666666666666666,0.32051282051282054,0.1574074074074074,12,12,48,48,0.7749373861065904,0.9678177072809575,0.008556198328733444,1.9472097158432007,1.0,0.7749373861065905,-0.26212433104713756,0.00039157768090566,0.9678177072809574,0.9999999999989999,0.48039503177508314,0.37014579005713893,0.9999999999989999,0.9678177072809574,alignment_norm,0.8768493495541543,0.7738035778004374,False,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/acl_small_matrix_v1/gcg_acl_n4/atrialfibrillation,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/acl_small_matrix_v1/gcg_acl_n4/atrialfibrillation/audit/atrialfibrillation_s2_candidate_scores.csv,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/acl_small_matrix_v1/gcg_acl_n4/atrialfibrillation/audit/atrialfibrillation_s2_selected_positives.csv,gcg_acl_n4,True,False,False,gcg_acl,12,0.0
atrialfibrillation,2,gcg_acl_align1p0,acl,0.10683760683760683,-0.05056980056980058,-0.2136752136752137,-0.15982905982905982,success,0.16666666666666666,0.32051282051282054,0.10683760683760683,12,12,48,48,0.9678889411222457,0.9678889411232133,0.010596699081361294,1.9478505849838257,1.0,0.9678889411222455,-0.25984382443130016,0.00030388931433359784,0.9678889411232136,0.9999999999989999,0.5025775123741801,0.2823592985587767,0.9999999999989999,0.9678889411232136,alignment_norm,0.9777469047229483,0.807976011409225,True,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/acl_failure_review_v1/gcg_acl_align1p0/atrialfibrillation,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/acl_failure_review_v1/gcg_acl_align1p0/atrialfibrillation/audit/atrialfibrillation_s2_candidate_scores.csv,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/acl_failure_review_v1/gcg_acl_align1p0/atrialfibrillation/audit/atrialfibrillation_s2_selected_positives.csv,gcg_acl_align1p0,True,False,False,gcg_acl,12,0.0
atrialfibrillation,2,gcg_acl_loss0p1,acl,0.21645021645021645,0.059042809042809036,-0.10406260406260409,-0.050216450216450215,success,0.26666666666666666,0.32051282051282054,0.21645021645021645,12,12,48,48,0.8687694556518627,0.9676943935031636,0.01014083530753851,1.9478734731674194,1.0,0.8687694556518625,-0.19616969830046097,6.1194101969401044e-06,0.9676943935031634,0.9999999999989999,0.5162395524003263,0.3411855606047951,0.9991957517917159,0.9676943935031634,alignment_norm,0.9132807944601025,0.2466156063372995,False,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/acl_failure_review_v1/gcg_acl_loss0p1/atrialfibrillation,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/acl_failure_review_v1/gcg_acl_loss0p1/atrialfibrillation/audit/atrialfibrillation_s2_candidate_scores.csv,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/acl_failure_review_v1/gcg_acl_loss0p1/atrialfibrillation/audit/atrialfibrillation_s2_selected_positives.csv,gcg_acl_loss0p1,True,False,False,gcg_acl,12,0.0
atrialfibrillation,2,gcg_acl_temp0p05,acl,0.20000000000000004,0.042592592592592626,-0.1205128205128205,-0.06666666666666662,success,0.19907407407407407,0.26495726495726496,0.20000000000000004,12,12,48,48,0.7865173221278221,0.9675439470266256,0.013378772884607315,1.9496057033538818,1.0,0.7865173221278221,-0.18693903104091683,-4.162391026814778e-06,0.9675439470266257,0.9999999999989999,0.5307356150249694,0.3082290089004597,0.9999999999989999,0.9675439470266257,alignment_norm,0.8877904572130427,0.6678984237826131,False,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/acl_failure_review_v1/gcg_acl_temp0p05/atrialfibrillation,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/acl_failure_review_v1/gcg_acl_temp0p05/atrialfibrillation/audit/atrialfibrillation_s2_candidate_scores.csv,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/acl_failure_review_v1/gcg_acl_temp0p05/atrialfibrillation/audit/atrialfibrillation_s2_selected_positives.csv,gcg_acl_temp0p05,True,False,False,gcg_acl,12,0.0
atrialfibrillation,2,gcg_acl_temp0p10,acl,0.20346320346320346,0.046055796055796044,-0.11704961704961708,-0.0632034632034632,success,0.3246753246753247,0.32051282051282054,0.20346320346320346,12,12,48,48,0.8090546130034255,0.967967316307702,0.011184372007846832,1.9472072124481201,1.0,0.8090546130034255,-0.27593725733458996,-3.993511199951172e-06,0.967967316307702,0.9936904819021042,0.5280450871130281,0.34699964903705116,0.9984226204747759,0.967967316307702,alignment_norm,0.9167136826973912,0.5259790698415072,False,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/acl_failure_review_v1/gcg_acl_temp0p10/atrialfibrillation,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/acl_failure_review_v1/gcg_acl_temp0p10/atrialfibrillation/audit/atrialfibrillation_s2_candidate_scores.csv,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/acl_failure_review_v1/gcg_acl_temp0p10/atrialfibrillation/audit/atrialfibrillation_s2_selected_positives.csv,gcg_acl_temp0p10,True,False,False,gcg_acl,12,0.0
