anchor_index,tid,class_id,candidate_order,direction_id,sign,gamma_requested,gamma_used,direction_norm,safe_upper_bound,safe_radius_ratio,manifold_margin,edit_mode,edit_basis,edit_alpha_scale,edit_alpha,edit_norm,edit_energy,edit_basis_fro_norm,edit_status_code,transport_error_fro,transport_error_logeuc,recolor_transport_error_fro,recolor_transport_error_logeuc,bridge_cond_A,margin_aug
49,natops_train_0,3,0,5,1.0,0.1,0.1,1.0,3.1207551796996666,0.99999999999,6.241510359405575,line,whitened_pca,0.25,1.7677669529663689,1.7677669529663693,0.2499999999999647,1.0,1.0,2.999607167928567,1.01031302581873,2.999607167928567,1.01031302581873,1.1784524565604142,7.279239177703857
127,natops_train_10,5,0,8,-1.0,0.1,0.1,1.0,3.68939525035967,0.99999999999,7.37879050072672,line,whitened_pca,0.25,1.7677669529663689,1.7677669529663689,0.24999999999996464,1.0,1.0,3.4441045748724335,1.438530287796053,3.4441045748724335,1.438530287796053,1.2055962167193166,6.543262958526611
11,natops_train_100,5,0,7,-1.0,0.1,0.1,1.0,3.86034130662901,0.99999999999,7.720682613265741,line,whitened_pca,0.25,1.7677669529663689,1.7677669529663687,0.2499999999999646,1.0,1.0,3.4358920471897516,1.5769048486873511,3.4358920471897516,1.5769048486873511,1.2081190508676607,7.131356239318848
111,natops_train_101,3,0,0,-1.0,0.1,0.1,1.0,2.792949072101968,0.99999999999,5.585898144209523,line,whitened_pca,0.25,1.7677669529663689,1.767766952966369,0.24999999999996467,1.0,1.0,2.1526419259720972,0.9865840541936153,2.1526419259720972,0.9865840541936153,1.2913659993047755,4.954174041748047
143,natops_train_102,1,0,6,1.0,0.1,0.1,1.0,2.4256249110926844,0.99999999999,4.851249822190221,line,whitened_pca,0.25,1.7677669529663689,1.7677669529663693,0.2499999999999647,1.0,1.0,1.6832086205556096,4.789897616476646,1.6832086205556096,4.789897616476646,1.3050269169243067,3.007359504699707
95,natops_train_103,0,0,6,-1.0,0.1,0.1,1.0,2.373890014111715,0.99999999999,4.747780028228179,line,whitened_pca,0.25,1.7677669529663689,1.7677669529663689,0.24999999999996464,1.0,1.0,2.3877304916493585,4.3792841407695136,2.3877304916493585,4.3792841407695136,1.3227885540339008,2.6467299461364746
76,natops_train_104,1,0,1,1.0,0.1,0.1,1.0,2.31610784161473,0.99999999999,4.632215683234093,line,whitened_pca,0.25,1.7677669529663689,1.767766952966369,0.24999999999996467,0.9999999999999999,1.0,2.288804242467153,4.707381154530558,2.288804242467153,4.707381154530558,1.4930647617929858,1.6700690984725952
46,natops_train_105,1,0,6,-1.0,0.1,0.1,1.0,1.8685916950471948,0.99999999999,3.737183390098127,line,whitened_pca,0.25,1.7677669529663689,1.7677669529663689,0.24999999999996464,1.0,1.0,1.566611022418906,4.790872280355713,1.566611022418906,4.790872280355713,1.3112591148823685,5.668635845184326
5,natops_train_106,1,0,9,1.0,0.1,0.1,1.0,2.7337434955332967,0.99999999999,5.467486991072061,line,whitened_pca,0.25,1.7677669529663689,1.767766952966369,0.24999999999996467,1.0,1.0,1.844922501877309,4.257521329596083,1.844922501877309,4.257521329596083,1.4675645649301778,4.719786167144775
67,natops_train_108,4,0,2,-1.0,0.1,0.1,1.0,2.9619038556152817,0.99999999999,5.9238077112364875,line,whitened_pca,0.25,1.7677669529663689,1.7677669529663693,0.2499999999999647,1.0,1.0,2.339638836956868,1.0445180812371022,2.339638836956868,1.0445180812371022,1.1906316766420517,6.865881443023682
