method,n_datasets,mean_f1,mean_rank,win_count,mean_delta_vs_uniform_top5,win_count_vs_uniform_top5,mean_delta_vs_bank_random,win_count_vs_bank_random,mean_delta_vs_full_random,win_count_vs_full_random,mean_delta_vs_top1,win_count_vs_top1,mean_delta_vs_wdba,win_count_vs_wdba,mean_delta_vs_dba,win_count_vs_dba
wdba_sameclass,7,0.6679222249312299,3.7142857142857144,3,0.002680420456259301,3.0,0.014376388299248616,5.0,0.019792112167471152,3.0,0.01934348977082017,4.0,,,0.004613273026247073,4.0
csta_topk_uniform_top5,7,0.6652418044749704,2.857142857142857,2,,,0.011695967842989315,6.0,0.01711169171121185,5.0,0.01666306931456087,5.0,-0.002680420456259301,4.0,0.0019328525699877721,4.0
dba_sameclass,7,0.6633089519049827,3.7142857142857144,0,-0.0019328525699877721,3.0,0.009763115273001543,5.0,0.015178839141224079,4.0,0.014730216744573097,4.0,-0.004613273026247073,3.0,,
csta_template_random_within_bank,7,0.6535458366319812,4.857142857142857,0,-0.011695967842989315,1.0,,,0.005415723868222537,2.0,0.004967101471571553,5.0,-0.014376388299248616,2.0,-0.009763115273001543,2.0
csta_top1_current,7,0.6485787351604095,4.714285714285714,0,-0.01666306931456087,2.0,-0.004967101471571553,2.0,0.00044862239665098357,3.0,,,-0.01934348977082017,3.0,-0.014730216744573097,3.0
random_cov_state,7,0.6481301127637586,3.857142857142857,1,-0.01711169171121185,2.0,-0.005415723868222537,5.0,,,-0.00044862239665098357,4.0,-0.019792112167471152,4.0,-0.015178839141224079,3.0
pca_cov_state,7,0.6470301977697014,4.285714285714286,1,-0.018211606705269032,2.0,-0.006515638862279718,4.0,-0.0010999149940571812,3.0,-0.0015485373907081648,4.0,-0.020892027161528333,3.0,-0.01627875413528126,3.0
