dataset,method,macro_f1_mean,macro_f1_std,gain_mean,n_seeds,template_response_top1_mean_mean,template_response_top5_mean_mean,template_response_gap_top1_top5_mean_mean,template_response_entropy_mean_mean,template_response_abs_mean_mean,selected_template_entropy_mean,template_usage_entropy_mean,top_template_concentration_mean,gamma_requested_mean_mean,gamma_used_mean_mean,gamma_used_ratio_mean_mean,pre_safe_displacement_norm_mean_mean,post_safe_displacement_norm_mean_mean,z_displacement_norm_mean_mean,safe_clip_rate_mean,safe_radius_ratio_mean_mean,transport_error_logeuc_mean_mean,candidate_audit_rows_mean,candidate_audit_available_mean,candidate_physics_ok_mean,aug_valid_rate_mean
atrialfibrillation,csta_template_random_within_bank,0.22866762866762866,0.10664721144223155,-0.005875605875605862,3,1.1546499795937388,0.8667083685500622,0.2879416110436768,2.1051523209752423,0.541568436274331,1.7190861159214232,1.7190861159214232,0.25,0.10000000000000002,0.10000000000000002,1.0,0.09999999951407511,0.09999999962747093,0.09999999951407511,0.0,0.17960435513563447,0.030882839031923136,120.0,1.0,1.0,1.0
atrialfibrillation,csta_top1_current,0.17670847670847667,0.03028377264448496,-0.0578347578347578,3,1.1546499795937388,0.8667083685500622,0.2879416110436768,2.1051523209752423,1.1546499795937388,1.3269856950782397,1.3269856950782397,0.3888888888888889,0.10000000000000002,0.10000000000000002,1.0,0.10000000063290143,0.10000000273187953,0.10000000063290143,0.0,0.17960435728665167,0.030869528340321833,120.0,1.0,1.0,1.0
atrialfibrillation,csta_topk_uniform_top5,0.26854256854256847,0.10282668713089323,0.03399933399933403,3,1.1546499795937388,0.8667083685500622,0.2879416110436768,2.1051523209752423,0.7325001142774988,1.6951126098834415,1.6951126098834415,0.3055555555555555,0.10000000000000002,0.10000000000000002,1.0,0.09999999983321894,0.10000000024835264,0.09999999983321894,0.0,0.17960435569349997,0.030883898238377335,120.0,1.0,1.0,1.0
atrialfibrillation,pca_cov_state,0.11259666259666257,0.061079246178242896,-0.12194657194657192,3,,,,,,,,,,,,,,,,,0.030866432765554397,,,,
atrialfibrillation,random_cov_state,0.17222222222222217,0.10555555555555554,-0.06232101232101234,3,,,,,,,,,,,,,,,,,0.03086116741583313,,,,
ering,csta_template_random_within_bank,0.816695320414201,0.03346810058341903,0.06977391256960447,3,0.8972039231616828,0.593450963012902,0.30375296014878067,2.0443696787290455,0.4097060995648138,2.081316838841246,2.081316838841246,0.2083333333333333,0.10000000000000002,0.10000000000000002,1.0,0.09999999990422943,0.10000000097271466,0.09999999990422943,0.0,0.14417342605106478,0.0013230622708988668,240.0,1.0,1.0,1.0
ering,csta_top1_current,0.837231988455564,0.05806227356985866,0.09031058061096736,3,0.8972039231616828,0.593450963012902,0.30375296014878067,2.0443696787290455,0.8972039231616827,1.8338979181834583,1.8338979181834583,0.3194444444444444,0.10000000000000002,0.10000000000000002,1.0,0.09999999952855147,0.1000000013866358,0.09999999952855147,0.0,0.14417342543507436,0.0013230987498363998,240.0,1.0,1.0,1.0
ering,csta_topk_uniform_top5,0.8205151780046046,0.05623328413328154,0.07359377016000802,3,0.8972039231616828,0.593450963012902,0.30375296014878067,2.0443696787290455,0.5314154573555565,1.9836156303531973,1.9836156303531973,0.2638888888888889,0.10000000000000002,0.10000000000000002,1.0,0.09999999992043594,0.10000000128315555,0.09999999992043594,0.0,0.14417342594165528,0.0013230440131503,240.0,1.0,1.0,1.0
ering,pca_cov_state,0.8501776214953166,0.02146308879579797,0.10325621365072013,3,,,,,,,,,,,,,,,,,0.0013232698713241998,,,,
ering,random_cov_state,0.7878228568457231,0.10050334503549231,0.040901449001126605,3,,,,,,,,,,,,,,,,,0.0013229069595111333,,,,
