dataset,method,macro_f1_mean,macro_f1_std,gain_mean,n_seeds,template_response_top1_mean_mean,template_response_top5_mean_mean,template_response_gap_top1_top5_mean_mean,template_response_entropy_mean_mean,template_response_abs_mean_mean,selected_template_entropy_mean,template_usage_entropy_mean,top_template_concentration_mean,gamma_requested_mean_mean,gamma_used_mean_mean,gamma_used_ratio_mean_mean,pre_safe_displacement_norm_mean_mean,post_safe_displacement_norm_mean_mean,z_displacement_norm_mean_mean,safe_clip_rate_mean,safe_radius_ratio_mean_mean,transport_error_logeuc_mean_mean,candidate_audit_rows_mean,candidate_audit_available_mean,candidate_physics_ok_mean,aug_valid_rate_mean
handmovementdirection,csta_template_random_within_bank,0.2866219449577145,0.05261277827287705,0.07693067038969777,3,0.4195371276422118,0.28032532693174894,0.1392118007104629,2.030994685134855,0.19570552650915088,2.264335911167944,2.264335911167944,0.13541666666666666,0.09999999999999991,0.09999999999999991,1.0,0.09999999998718934,0.10000000121848034,0.09999999998718934,0.0,0.13735308878809627,1.1130270232162261e-07,1280.0,1.0,1.0,1.0
handmovementdirection,csta_top1_current,0.2754524178509126,0.02892505053709172,0.0657611432828959,3,0.4195371276422118,0.28032532693174894,0.1392118007104629,2.030994685134855,0.4195371276422118,2.1588021975120406,2.1588021975120406,0.1953125,0.09999999999999991,0.09999999999999991,1.0,0.099999999945582,0.10000000104385737,0.099999999945582,0.0,0.13735308871583113,1.1130219830468039e-07,1280.0,1.0,1.0,1.0
handmovementdirection,csta_topk_uniform_top5,0.2723931737766877,0.03121677247031496,0.062701899208671,3,0.4195371276422118,0.28032532693174894,0.1392118007104629,2.030994685134855,0.2791149628119555,2.2580422624471654,2.2580422624471654,0.14583333333333334,0.09999999999999991,0.09999999999999991,1.0,0.09999999996548899,0.10000000129609056,0.09999999996548899,0.0,0.13735308875579885,1.1130233977571253e-07,1280.0,1.0,1.0,1.0
handmovementdirection,pca_cov_state,0.2976569238271552,0.04837749046066795,0.08796564925913847,3,,,,,,,,,,,,,,,,,1.1130272240498528e-07,,,,
handmovementdirection,random_cov_state,0.2903481591789633,0.040230056358109334,0.08065688461094654,3,,,,,,,,,,,,,,,,,1.112941324221051e-07,,,,
handwriting,csta_template_random_within_bank,0.45697592654648433,0.012173055991929084,0.05687590885870797,3,0.5552548685881277,0.3731241901513746,0.18213067843675299,2.0452894385256832,0.26122814410180845,2.2634456395351794,2.2634456395351794,0.1333333333333333,0.10000000000000002,0.09602718259762888,0.9602718259762892,0.10000000001966457,0.09602718283939689,0.09602718261237268,0.17499999999999996,0.6514045032416039,0.0003226692322782,1200.0,1.0,1.0,1.0
handwriting,csta_top1_current,0.44727325899847886,0.009106916982308439,0.047173241310702434,3,0.5552548685881277,0.3731241901513746,0.18213067843675299,2.0452894385256832,0.5552548685881277,1.7264529059168134,1.7264529059168134,0.3138888888888889,0.10000000000000002,0.09602718260038418,0.9602718260038424,0.10000000014741468,0.09602718324297,0.09602718273877063,0.17499999999999996,0.6514045040218253,0.0003226096357509,1200.0,1.0,1.0,1.0
handwriting,csta_topk_uniform_top5,0.4680564886832321,0.011426032686779424,0.0679564709954557,3,0.5552548685881277,0.3731241901513746,0.18213067843675299,2.0452894385256832,0.37534481656259766,2.181205195183892,2.181205195183892,0.16388888888888883,0.10000000000000002,0.09602718261310533,0.9602718261310539,0.10000000004124297,0.09602718297392127,0.09602718264559347,0.17499999999999996,0.6514045036049999,0.00032264816800470003,1200.0,1.0,1.0,1.0
handwriting,pca_cov_state,0.4674405889172227,0.038831278159894116,0.06734057122944644,3,,,,,,,,,,,,,,,,,0.00032270689161973336,,,,
handwriting,random_cov_state,0.4643840351655004,0.015589582982105032,0.06428401747772407,3,,,,,,,,,,,,,,,,,0.0003227064440761,,,,
japanesevowels,csta_template_random_within_bank,0.9726782160838253,0.008876600963315766,0.006527257051446433,3,2.0925686016360507,1.5105936635200947,0.5819749381159559,2.0880751635335035,1.0666532142696201,2.2806960133695267,2.2806960133695267,0.1280864197530864,0.09999999999999991,0.09999999999999991,1.0,0.0999999999330084,0.1000000014901161,0.0999999999330084,0.0,0.0249543899027205,2.4500543517045004,2160.0,1.0,1.0,1.0
japanesevowels,csta_top1_current,0.97049413005379,0.010967015577437381,0.004343171021411134,3,2.0925686016360507,1.5105936635200947,0.5819749381159559,2.0880751635335035,2.0925686016360507,2.1684713288256625,2.1684713288256625,0.16358024691358022,0.09999999999999991,0.09999999999999991,1.0,0.09999999993282245,0.1000000014901161,0.09999999993282245,0.0,0.0249543899018931,2.4500543568700546,2160.0,1.0,1.0,1.0
japanesevowels,csta_topk_uniform_top5,0.9785341333074079,0.0069528804284001424,0.012383174275029033,3,2.0925686016360507,1.5105936635200947,0.5819749381159559,2.0880751635335035,1.5057879410843131,2.2713935434346926,2.2713935434346926,0.15123456790123457,0.09999999999999991,0.09999999999999991,1.0,0.09999999990052837,0.1000000014901161,0.09999999990052837,0.0,0.024954389895034266,2.4500527003241537,2160.0,1.0,1.0,1.0
japanesevowels,pca_cov_state,0.9701810617784151,0.008767104124671599,0.0040301027460364,3,,,,,,,,,,,,,,,,,2.45014976453226,,,,
japanesevowels,random_cov_state,0.9839705286795409,0.009416793921985411,0.017819569647161967,3,,,,,,,,,,,,,,,,,2.4500502719599986,,,,
natops,csta_template_random_within_bank,0.9312632489390053,0.02358337372866551,0.009620716655828998,3,3.560847061136253,2.4765756742620746,1.0842713868741782,2.0778548495901394,1.703324705128737,2.262704937073238,2.262704937073238,0.1319444444444444,0.10000000000000002,0.10000000000000002,1.0,0.0999999999933261,0.1000000014901161,0.0999999999933261,0.0,0.024511155143350467,2.915935234906621,1440.0,1.0,1.0,1.0
natops,csta_top1_current,0.9607853534384795,0.00026791583104566216,0.03914282115530317,3,3.560847061136253,2.4765756742620746,1.0842713868741782,2.0778548495901394,3.5608470611362537,1.174107516082038,1.174107516082038,0.6273148148148148,0.10000000000000002,0.10000000000000002,1.0,0.09999999999344522,0.1000000014901161,0.09999999999344522,0.0,0.02451115514449177,2.915936259471701,1440.0,1.0,1.0,1.0
natops,csta_topk_uniform_top5,0.9608696404345388,0.005711285449272913,0.039227108151362565,3,3.560847061136253,2.4765756742620746,1.0842713868741782,2.0778548495901394,2.4509958504249174,2.1752377404048526,2.1752377404048526,0.18518518518518515,0.10000000000000002,0.10000000000000002,1.0,0.09999999998603255,0.1000000014901161,0.09999999998603255,0.0,0.024511155140968632,2.9159347387602406,1440.0,1.0,1.0,1.0
natops,pca_cov_state,0.9512742307142527,0.023066197393943336,0.029631698431076398,3,,,,,,,,,,,,,,,,,2.916141518139097,,,,
natops,random_cov_state,0.9535241013126406,0.011625995422057398,0.031881569029464436,3,,,,,,,,,,,,,,,,,2.915779931550714,,,,
racketsports,csta_template_random_within_bank,0.8819185708150091,0.009152808122883034,0.0123110711429849,3,1.3022287913231312,0.8990227014054016,0.40320608991772966,2.0562419410651693,0.5905289887558611,2.2634456395351794,2.2634456395351794,0.1333333333333333,0.10000000000000002,0.10000000000000002,1.0,0.10000000004772658,0.1000000014901161,0.10000000004772658,0.0,0.06527445344702072,0.00012600869941486667,1200.0,1.0,1.0,1.0
racketsports,csta_top1_current,0.8721055206171656,0.020839551263019923,0.0024980209451413993,3,1.3022287913231312,0.8990227014054016,0.40320608991772966,2.0562419410651693,1.3022287913231312,2.157021774579576,2.157021774579576,0.20277777777777772,0.10000000000000002,0.10000000000000002,1.0,0.10000000002014574,0.1000000014901161,0.10000000002014574,0.0,0.06527445342642477,0.00012600803343646667,1200.0,1.0,1.0,1.0
racketsports,csta_topk_uniform_top5,0.8877814485757538,0.007457931092273792,0.0181739489037295,3,1.3022287913231312,0.8990227014054016,0.40320608991772966,2.0562419410651693,0.8901139254717457,2.2657073028711605,2.2657073028711605,0.14999999999999997,0.10000000000000002,0.10000000000000002,1.0,0.10000000000170405,0.1000000014901161,0.10000000000170405,0.0,0.06527445340659373,0.0001260060181049,1200.0,1.0,1.0,1.0
racketsports,pca_cov_state,0.8798842950588853,0.01991009129423339,0.010276795386861068,3,,,,,,,,,,,,,,,,,0.00012600400841873333,,,,
racketsports,random_cov_state,0.8846388859417199,0.012082812432002751,0.015031386269695699,3,,,,,,,,,,,,,,,,,0.00012601224544156667,,,,
