dataset,seed,mode,test_macro_f1,delta_vs_baseline,delta_vs_t2a_default,delta_vs_t3_shared_rebasis
natops,1,baseline,0.6856807630081206,0.0,-0.04784280091009274,-0.04784280091009274
natops,1,t2a_default,0.7335235639182134,0.04784280091009274,0.0,0.0
natops,1,t3_shared_rebasis,0.7335235639182134,0.04784280091009274,0.0,0.0
natops,1,t4a_class_conditioned_rebasis,0.7375113586898491,0.05183059568172843,0.003987794771635689,0.003987794771635689
selfregulationscp1,1,baseline,0.5144024276377217,0.0,-0.0475582781975441,-0.0475582781975441
selfregulationscp1,1,t2a_default,0.5619607058352658,0.0475582781975441,0.0,0.0
selfregulationscp1,1,t3_shared_rebasis,0.5619607058352658,0.0475582781975441,0.0,0.0
selfregulationscp1,1,t4a_class_conditioned_rebasis,0.5619607058352658,0.0475582781975441,0.0,0.0
