dataset,seed,arm,fit_window_count,fit_trial_count,accepted_window_ratio,shaped_window_ratio,operator_norm_mean,operator_norm_p95,operator_to_step_ratio_mean,local_step_distortion_ratio_mean,local_step_distortion_ratio_p95,operator_direction_stability,response_vs_margin_correlation,activation_coverage_ratio,applied_window_count_total,train_applied_window_count,val_applied_window_count,test_applied_window_count
natops,1,mean_centered,192,58,1.0,1.0,0.049338219607200716,0.09764296548396525,0.04543215797703653,0.9991268026674994,1.0028606539082283,0.8943874428233864,0.0,0.0,8640,3240,1080,4320
natops,1,single_template_pia,192,58,1.0,1.0,0.08557644264688284,0.16440499460730698,0.07819867037975223,1.0000962276803542,1.0024062162476555,0.9971014492743654,-0.22771723096302351,0.9958333333333333,8640,3240,1080,4320
