dataset,seed,status,algo,model,pipeline,base_f1,act_f1,gain,f1_gain_pct,base_stop_epoch,act_stop_epoch,base_best_val_f1,act_best_val_f1,transport_error_fro_mean,transport_error_logeuc_mean,bridge_cond_A_mean,metric_preservation_error_mean,safe_radius_ratio_mean,manifold_margin_mean,host_geom_cosine_mean,host_conflict_rate,candidate_total_count,aug_total_count,requested_k_dir,effective_k_dir,direction_bank_source,zpia_z_dim,zpia_n_train,zpia_n_train_lt_z_dim,zpia_row_norm_min,zpia_row_norm_max,zpia_row_norm_mean,zpia_fallback_row_count,telm2_recon_last,telm2_recon_mean,telm2_recon_std,telm2_n_iters,telm2_c_repr,telm2_activation,telm2_bias_update_mode,feedback_margin_temperature,aug_loss_weight,feedback_weight_mean,feedback_weight_std,last_orig_ce_loss,last_weighted_aug_ce_loss,last_aug_margin_mean
handwriting,1,success,zpia,resnet1d,mba_feedback,0.2647332101658577,0.29086084698864717,0.026127636822789457,9.86941794609083,15,15,0.2494047619047619,0.2569444444444444,0.0001563109650470833,0.00032272535697703994,1.0701919427331708,0.10616878009650485,0.8510652858164648,0.24298309895174477,0.0,0.0,120,120,10,10,zpia_telm2,6,120,False,0.9999999999999999,1.0,1.0,0,0.17700557476337964,0.37454843899461493,0.27276193054559067,3,1.0,sine,residual,1.0,1.0,0.6007626246950692,0.237879545170757,0.9374404549598694,0.5674004256725311,1.7899280190467834
handwriting,2,success,zpia,resnet1d,mba_feedback,0.235855843616036,0.2572901065312444,0.02143426291520839,9.087862102005158,15,15,0.22626262626262625,0.29325396825396827,0.00015691731408811412,0.00031999787606962297,1.0747356235691228,0.11091002960868798,0.8748595231437427,0.2591882417685239,0.0,0.0,120,120,10,10,zpia_telm2,6,120,False,0.9999999999999999,1.0,1.0,0,0.19180971208506917,0.4068697073242486,0.2564178798185317,3,1.0,sine,residual,1.0,1.0,0.5824236335853735,0.22773808407791593,0.9582071304321289,0.5854744613170624,1.6851863265037537
handwriting,3,success,zpia,resnet1d,mba_feedback,0.2518382860113333,0.23442070143524582,-0.01741758457608747,-6.9161754297868,15,15,0.19999999999999998,0.20575396825396827,0.000157152324547024,0.0003242990202455797,1.0714074285224833,0.1076290228434879,0.8676174587905521,0.2621793509247431,0.0,0.0,120,120,10,10,zpia_telm2,6,120,False,0.9999999999999999,1.0,1.0,0,0.23065109250463642,0.39651947101778484,0.2573934909405362,3,1.0,sine,residual,1.0,1.0,0.5855536614110073,0.2299699176684303,0.9903886318206787,0.5906756520271301,1.6235029101371765
