anchor_index,tid,tier_ratio,tier_label,cA_direction_id,cA_sign,cA_safe_upper_bound,cA_gamma_used,safe_radius_ratio_A,cDm_direction_id,cDm_sign,cDm_safe_upper_bound,cDm_gamma_used,safe_radius_ratio_Dm,safe_radius_ratio,y,cA_transport_error_logeuc,cA_transport_error_fro,cDm_transport_error_logeuc,cDm_transport_error_fro,dual_transport_error_logeuc
0,natops_train_114,0.25,small,8,-1.0,0.1,0.025,0.2499999999975,7,-1.0,0.05,0.0125,0.249999999995,0.24999999999625,4,5.63882874843178,0.00044208598678600967,5.412110449272653,0.00044068372806652594,5.525469598852217
0,natops_train_114,0.5,mid,8,-1.0,0.1,0.05,0.499999999995,7,-1.0,0.05,0.025,0.49999999999,0.4999999999925,4,5.6386566761828565,0.0004460775618040415,5.410984030513214,0.00044051903356368905,5.524820353348035
0,natops_train_114,0.9,edge,8,-1.0,0.1,0.09000000000000001,0.899999999991,7,-1.0,0.05,0.045000000000000005,0.8999999999820001,0.8999999999865,4,5.638348494482803,0.0004585746815151096,5.409192501952323,0.00044038031639288133,5.523770498217563
1,natops_train_31,0.25,small,8,1.0,0.1,0.025,0.2499999999975,9,1.0,0.05,0.0125,0.249999999995,0.24999999999625,4,5.82745566835612,0.00044284752764111836,5.616038686237699,0.0004414524160170677,5.72174717729691
1,natops_train_31,0.5,mid,8,1.0,0.1,0.05,0.499999999995,9,1.0,0.05,0.025,0.49999999999,0.4999999999925,4,5.827926413177237,0.0004483357276741714,5.6179539672656125,0.0004420363496877208,5.722940190221425
1,natops_train_31,0.9,edge,8,1.0,0.1,0.09000000000000001,0.899999999991,9,1.0,0.05,0.045000000000000005,0.8999999999820001,0.8999999999865,4,5.8279600209502584,0.0004648361693924308,5.621013674184082,0.0004430525595798776,5.724486847567171
2,natops_train_157,0.25,small,4,-1.0,0.1,0.025,0.2499999999975,5,-1.0,0.05,0.0125,0.249999999995,0.24999999999625,4,5.572091782655297,0.0004417614557673265,5.490680809297044,0.0004409046089294766,5.531386295976171
2,natops_train_157,0.5,mid,4,-1.0,0.1,0.05,0.499999999995,5,-1.0,0.05,0.025,0.49999999999,0.4999999999925,4,5.569757914308677,0.00044453726159632387,5.491406182978764,0.00044097355390753133,5.530582048643721
2,natops_train_157,0.9,edge,4,-1.0,0.1,0.09000000000000001,0.899999999991,5,-1.0,0.05,0.045000000000000005,0.8999999999820001,0.8999999999865,4,5.567377653452376,0.00045324862997401925,5.492526931220896,0.0004412285631748811,5.529952292336636
3,natops_train_130,0.25,small,9,1.0,0.1,0.025,0.2499999999975,2,1.0,0.05,0.0125,0.249999999995,0.24999999999625,0,5.689050025382233,0.00044227071834463994,5.877277688685269,0.0004409653931560317,5.783163857033751
3,natops_train_130,0.5,mid,9,1.0,0.1,0.05,0.499999999995,2,1.0,0.05,0.025,0.49999999999,0.4999999999925,0,5.6901862766529145,0.000446116169349841,5.878899338161454,0.00044104953008396435,5.784542807407185
3,natops_train_130,0.9,edge,9,1.0,0.1,0.09000000000000001,0.899999999991,2,1.0,0.05,0.045000000000000005,0.8999999999820001,0.8999999999865,0,5.691237428688108,0.0004578040269319011,5.881499191262887,0.0004412401010105432,5.786368309975497
4,natops_train_178,0.25,small,9,-1.0,0.1,0.025,0.2499999999975,5,1.0,0.05,0.0125,0.249999999995,0.24999999999625,3,5.644211429622024,0.0004421646974814032,5.411439496042986,0.00044096780905941816,5.527825462832505
4,natops_train_178,0.5,mid,9,-1.0,0.1,0.05,0.499999999995,5,1.0,0.05,0.025,0.49999999999,0.4999999999925,3,5.643137732084003,0.00044648123904494924,5.411597039742332,0.00044108737484823486,5.527367385913167
4,natops_train_178,0.9,edge,9,-1.0,0.1,0.09000000000000001,0.899999999991,5,1.0,0.05,0.045000000000000005,0.8999999999820001,0.8999999999865,3,5.639673322989178,0.00045968262429486417,5.411843397054706,0.0004414061859285185,5.525758360021942
5,natops_train_29,0.25,small,2,1.0,0.1,0.025,0.2499999999975,3,-1.0,0.05,0.0125,0.249999999995,0.24999999999625,4,5.511278951025176,0.0004431033371430701,5.350827339188523,0.000440853415265871,5.4310531451068496
5,natops_train_29,0.5,mid,2,1.0,0.1,0.05,0.499999999995,3,-1.0,0.05,0.025,0.49999999999,0.4999999999925,4,5.513896644539397,0.00044880529886223594,5.35004593247627,0.0004408580429638249,5.4319712885078335
5,natops_train_29,0.9,edge,2,1.0,0.1,0.09000000000000001,0.899999999991,3,-1.0,0.05,0.045000000000000005,0.8999999999820001,0.8999999999865,4,5.518193597824508,0.00046582707067839113,5.348798605950734,0.0004409893048340723,5.433496101887622
