dataset,seed,method,status,fail_reason,base_f1,aug_f1,gain,aug_count,aug_ratio,actual_aug_ratio,source_space,label_mode,backbone,train_split_only,uses_external_library,library_name,budget_matched,selection_rule,best_val_f1,stop_epoch,warning_count,fallback_count,method_elapsed_sec,activation_policy,activation_scope,activation_topk,activation_tau,operator_name,dictionary_estimator,safe_generator,bridge_realizer,transport_error_fro_mean,transport_error_logeuc_mean,bridge_cond_A_mean,metric_preservation_error_mean,safe_radius_ratio_mean,manifold_margin_mean,gamma_requested_mean,gamma_used_mean,gamma_zero_rate,host_geom_cosine_mean,host_conflict_rate,candidate_total_count,aug_total_count,requested_k_dir,effective_k_dir,safe_clip_rate,template_usage_entropy,top_template_concentration,direction_bank_source,utilization_mode,core_training_mode,aug_train_ratio,multi_template_pairs,template_selection,zpia_z_dim,zpia_n_train,zpia_n_train_lt_z_dim,zpia_row_norm_min,zpia_row_norm_max,zpia_row_norm_mean,zpia_fallback_row_count,telm2_recon_last,telm2_recon_mean,telm2_recon_std,selected_template_entropy
atrialfibrillation,3,csta_top1_current,success,,0.1666666666666666,0.2113997113997114,0.0447330447330447,120,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,anchor_top_response,0.5555555555555555,30,0,0,5.138728064979659,top1,single_anchor,1,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.000128253779762,0.0323802993285088,1.0684682505741128,0.1175789492057065,0.2728300149582497,0.8437962467856865,0.1,0.1,0.0,0.0,0.0,120,120,10,10,0.0,1.5454229031885935,0.25,zpia_top1_pool,core_concat,concat_all,10.0,1,anchor_top_abs_response,3,12,False,1.0,1.0,1.0,0,0.2480053213535128,0.2473399434098298,0.0043627584516276,1.5454229031885935
atrialfibrillation,3,csta_topk_softmax_tau_0.05,success,,0.1666666666666666,0.3111111111111111,0.1444444444444445,120,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,softmax_tau_0.05_response,1.0,15,0,0,4.684297361993231,softmax_topk,single_anchor,5,0.05,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0001282265704749,0.0323771923200914,1.0685204262591264,0.1147551629221556,0.2728300149271218,0.8437962467856865,0.1,0.1,0.0,0.0,0.0,120,120,10,10,0.0,1.6762349391287308,0.3333333333333333,zpia_top1_pool,core_concat,concat_all,10.0,1,anchor_top_abs_response,3,12,False,1.0,1.0,1.0,0,0.2480053213535128,0.2473399434098298,0.0043627584516276,1.6762349391287308
atrialfibrillation,3,csta_topk_softmax_tau_0.10,success,,0.1666666666666666,0.2407407407407407,0.0740740740740741,120,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,softmax_tau_0.10_response,1.0,15,0,0,5.2310430009965785,softmax_topk,single_anchor,5,0.1,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0001281927553817,0.0323775761160415,1.0648053987536406,0.1145314597515357,0.2728300141805647,0.8437962467856865,0.1,0.1,0.0,0.0,0.0,120,120,10,10,0.0,1.7481554572416758,0.25,zpia_top1_pool,core_concat,concat_all,10.0,1,anchor_top_abs_response,3,12,False,1.0,1.0,1.0,0,0.2480053213535128,0.2473399434098298,0.0043627584516276,1.7481554572416758
atrialfibrillation,3,csta_topk_softmax_tau_0.20,success,,0.1666666666666666,0.2169312169312169,0.0502645502645502,120,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,softmax_tau_0.20_response,0.5555555555555555,30,0,0,5.052088230004301,softmax_topk,single_anchor,5,0.2,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0001283069403483,0.0323781092718169,1.073649602241183,0.1177194452944548,0.2728300157087309,0.8437962467856865,0.1,0.1,0.0,0.0,0.0,120,120,10,10,0.0,1.5832584594144763,0.4166666666666667,zpia_top1_pool,core_concat,concat_all,10.0,1,anchor_top_abs_response,3,12,False,1.0,1.0,1.0,0,0.2480053213535128,0.2473399434098298,0.0043627584516276,1.5832584594144763
atrialfibrillation,3,csta_topk_uniform_top5,success,,0.1666666666666666,0.3722943722943723,0.2056277056277057,120,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,uniform_top5_response,1.0,15,0,0,4.628381121990969,uniform_topk,single_anchor,5,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0001282920427136,0.0323903005745582,1.0727612539847746,0.1144052453030838,0.27283001409108,0.8437962467856865,0.1,0.1,0.0,0.0,0.0,120,120,10,10,0.0,1.6609474332809178,0.25,zpia_top1_pool,core_concat,concat_all,10.0,1,anchor_top_abs_response,3,12,False,1.0,1.0,1.0,0,0.2480053213535128,0.2473399434098298,0.0043627584516276,1.6609474332809178
ering,1,csta_top1_current,success,,0.5424850558740912,0.7711330092133596,0.2286479533392683,240,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,anchor_top_response,0.7777777777777777,30,0,0,4.97265716700349,top1,single_anchor,1,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0001812670914784,0.0013172430640466,1.094065925962263,0.1455255968365865,0.2135878949450524,1.0850636769840405,0.1,0.1,0.0,0.0,0.0,240,240,10,10,0.0,2.094729047518648,0.1666666666666666,zpia_top1_pool,core_concat,concat_all,10.0,1,anchor_top_abs_response,10,24,False,1.0,1.0,1.0,0,0.323908626804241,0.3384924606380963,0.0053674422524026,2.094729047518648
ering,1,csta_topk_softmax_tau_0.05,success,,0.5424850558740912,0.7625009467937724,0.2200158909196812,240,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,softmax_tau_0.05_response,1.0,30,0,0,5.027657741011353,softmax_topk,single_anchor,5,0.05,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0001813057217803,0.0013172505045173,1.0960685433910309,0.1472072691603516,0.2135878943974549,1.0850636769840405,0.1,0.1,0.0,0.0,0.0,240,240,10,10,0.0,1.9574025114361344,0.25,zpia_top1_pool,core_concat,concat_all,10.0,1,anchor_top_abs_response,10,24,False,1.0,1.0,1.0,0,0.323908626804241,0.3384924606380963,0.0053674422524026,1.9574025114361344
ering,1,csta_topk_softmax_tau_0.10,success,,0.5424850558740912,0.7337224377653196,0.1912373818912284,240,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,softmax_tau_0.10_response,1.0,30,0,0,5.037625465978636,softmax_topk,single_anchor,5,0.1,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0001812766565029,0.0013172448697768,1.094651715880919,0.145917385558478,0.2135878940849508,1.0850636769840405,0.1,0.1,0.0,0.0,0.0,240,240,10,10,0.0,1.932716277569197,0.25,zpia_top1_pool,core_concat,concat_all,10.0,1,anchor_top_abs_response,10,24,False,1.0,1.0,1.0,0,0.323908626804241,0.3384924606380963,0.0053674422524026,1.932716277569197
ering,1,csta_topk_softmax_tau_0.20,success,,0.5424850558740912,0.7659313606807903,0.223446304806699,240,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,softmax_tau_0.20_response,0.7777777777777777,17,0,0,4.665210831008153,softmax_topk,single_anchor,5,0.2,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0001812046839482,0.0013173028802032,1.0909396574931085,0.1429317157194734,0.2135878939447132,1.0850636769840405,0.1,0.1,0.0,0.0,0.0,240,240,10,10,0.0,1.6786567098636458,0.2916666666666667,zpia_top1_pool,core_concat,concat_all,10.0,1,anchor_top_abs_response,10,24,False,1.0,1.0,1.0,0,0.323908626804241,0.3384924606380963,0.0053674422524026,1.6786567098636458
ering,1,csta_topk_uniform_top5,success,,0.5424850558740912,0.7580623914313596,0.2155773355572683,240,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,uniform_top5_response,0.7777777777777778,30,0,0,4.977658102987334,uniform_topk,single_anchor,5,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0001813588700088,0.0013170723671426,1.100166125799536,0.1495433511972191,0.2135878948785501,1.0850636769840405,0.1,0.1,0.0,0.0,0.0,240,240,10,10,0.0,2.037712826860868,0.2083333333333333,zpia_top1_pool,core_concat,concat_all,10.0,1,anchor_top_abs_response,10,24,False,1.0,1.0,1.0,0,0.323908626804241,0.3384924606380963,0.0053674422524026,2.037712826860868
ering,2,csta_top1_current,success,,0.848105426301868,0.8605644147623157,0.0124589884604476,240,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,anchor_top_response,1.0,30,0,0,5.083720725000603,top1,single_anchor,1,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0001810206866467,0.0013015360013023,1.0859852081928494,0.1349024687654004,0.2204065076470817,1.0484200830955133,0.1,0.1,0.0,0.0,0.0,240,240,10,10,0.0,1.672221458469453,0.375,zpia_top1_pool,core_concat,concat_all,10.0,1,anchor_top_abs_response,10,24,False,1.0,1.0,1.0,0,0.3222339555125668,0.3261402467539024,0.0143436075719679,1.672221458469453
ering,2,csta_topk_softmax_tau_0.05,success,,0.848105426301868,0.8663868397454899,0.0182814134436218,240,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,softmax_tau_0.05_response,1.0,30,0,0,5.072839358006604,softmax_topk,single_anchor,5,0.05,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0001810321607268,0.0013015513592524,1.086591918218041,0.1353632101926487,0.2204065077921271,1.0484200830955133,0.1,0.1,0.0,0.0,0.0,240,240,10,10,0.0,1.759429482430211,0.3333333333333333,zpia_top1_pool,core_concat,concat_all,10.0,1,anchor_top_abs_response,10,24,False,1.0,1.0,1.0,0,0.3222339555125668,0.3261402467539024,0.0143436075719679,1.759429482430211
