dataset,phase1_no_aug,phase1_top1,sampling_top1,top1_delta_sampling_minus_phase1
atrialfibrillation,0.23454323454323453,0.17670847670847667,0.17670847670847667,0.0
ering,0.7469214078445964,0.837231988455564,0.837231988455564,0.0
handmovementdirection,0.2096912745680167,0.2754524178509126,0.2754524178509126,0.0
handwriting,0.4001000176877763,0.46049183816916345,0.46049183816916345,0.0
japanesevowels,0.9661509590323788,0.97049413005379,0.97049413005379,0.0
natops,0.9216425322831762,0.9607853534384794,0.9607853534384794,0.0
racketsports,0.8696074996720243,0.8721055206171657,0.8721055206171657,0.0
