method,n_datasets,mean_f1,mean_rank,win_count
raw_aug_jitter,7,0.6616569891263591,3.7142857142857144,1
dba_sameclass,7,0.6633089519049827,4.0,2
raw_aug_timewarp,7,0.660861040401209,4.428571428571429,0
random_cov_state,7,0.6481301127637586,4.571428571428571,1
csta_top1_current,7,0.6504671036133646,5.285714285714286,0
pca_cov_state,7,0.6470301977697016,5.571428571428571,1
csta_group_template_top,7,0.640786282166905,5.714285714285714,1
raw_mixup,7,0.6215713496243737,6.714285714285714,1
raw_aug_scaling,7,0.6274711300259364,8.0,0
no_aug,7,0.6212367036616004,8.928571428571429,0
raw_smote_flatten_balanced,7,0.622857236600887,9.071428571428571,0
