dataset,seed,method,status,fail_reason,base_f1,aug_f1,gain,aug_count,aug_ratio,actual_aug_ratio,source_space,label_mode,backbone,train_split_only,uses_external_library,library_name,budget_matched,selection_rule,best_val_f1,stop_epoch,warning_count,scaling_low,scaling_high,mixup_alpha,dba_k,dba_max_iter,smote_k_neighbors,transport_error_logeuc_mean,pca_n_components,pca_explained_variance_ratio_sum
atrialfibrillation,3,raw_aug_timewarp,success,,0.16666666666666666,0.32051282051282054,0.15384615384615388,120,10.0,10.0,raw_time,hard,resnet1d,True,True,tsaug,True,repeat_train_anchors_timewarp,1.0,19,0,,,,,,,,,
atrialfibrillation,3,raw_mixup,success,,0.16666666666666666,0.12535612535612536,-0.04131054131054129,120,10.0,10.0,raw_mixup,soft,resnet1d,True,False,none,True,train_split_random_pair_beta,0.5555555555555555,30,0,,,0.4,,,,,,
atrialfibrillation,3,dba_sameclass,success,,0.16666666666666666,0.19907407407407407,0.03240740740740741,120,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_dba,1.0,18,120,,,,5.0,5.0,,,,
atrialfibrillation,3,raw_smote_flatten_balanced,success,,0.16666666666666666,0.16666666666666666,0.0,0,0.0,0.0,flattened_raw,hard,resnet1d,True,True,imbalanced-learn,False,class_balancing_smote_auto,0.5555555555555555,30,0,,,,,,3.0,,,
atrialfibrillation,3,random_cov_state,success,,0.16666666666666666,0.20000000000000004,0.03333333333333338,120,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,random_unit_z_direction,1.0,19,0,,,,,,,0.032393829334275696,,
atrialfibrillation,3,pca_cov_state,success,,0.16666666666666666,0.044444444444444446,-0.1222222222222222,120,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,pca_top_z_direction,0.5555555555555555,30,0,,,,,,,0.03237907480273593,3.0,0.9999999403953552
atrialfibrillation,3,csta_top1_current,success,,0.1666666666666666,0.2113997113997114,0.04473304473304479,120,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,anchor_top_response,0.5555555555555555,30,0,,,,,,,,,
atrialfibrillation,3,csta_group_template_top,success,,0.1666666666666666,0.1568627450980392,-0.009803921568627388,120,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,group_center_top_response,1.0,15,0,,,,,,,,,
ering,1,no_aug,success,,0.5424850558740912,0.5424850558740912,0.0,0,0.0,0.0,none,hard,resnet1d,True,False,none,True,none,0.7777777777777777,24,0,,,,,,,,,
ering,1,raw_aug_jitter,success,,0.5424850558740912,0.7634118204002753,0.2209267645261841,240,10.0,10.0,raw_time,hard,resnet1d,True,True,tsaug,True,repeat_train_anchors_addnoise,0.7777777777777777,30,0,,,,,,,,,
ering,1,raw_aug_scaling,success,,0.5424850558740912,0.7149501676230411,0.17246511174894985,240,10.0,10.0,raw_time,hard,resnet1d,True,False,none,True,repeat_train_anchors_amplitude_uniform,1.0,27,0,0.8,1.2,,,,,,,
ering,1,raw_aug_timewarp,success,,0.5424850558740912,0.7706434106730136,0.22815835479892232,240,10.0,10.0,raw_time,hard,resnet1d,True,True,tsaug,True,repeat_train_anchors_timewarp,0.7777777777777777,30,0,,,,,,,,,
ering,1,raw_mixup,success,,0.5424850558740912,0.8101994220407737,0.2677143661666824,240,10.0,10.0,raw_mixup,soft,resnet1d,True,False,none,True,train_split_random_pair_beta,0.7777777777777778,16,0,,,0.4,,,,,,
ering,1,dba_sameclass,success,,0.5424850558740912,0.7927301429866159,0.2502450871125247,240,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_dba,0.7777777777777777,26,240,,,,5.0,5.0,,,,
ering,1,raw_smote_flatten_balanced,success,,0.5424850558740912,0.5424850558740912,0.0,0,0.0,0.0,flattened_raw,hard,resnet1d,True,True,imbalanced-learn,False,class_balancing_smote_auto,0.7777777777777777,24,0,,,,,,3.0,,,
