dataset,seed,mode,test_macro_f1,delta_vs_baseline,delta_vs_t2a_default,delta_vs_t3_shared_rebasis,delta_vs_t4b_window_radial_gate,delta_vs_t6b_reference
selfregulationscp1,1,baseline,0.5144024276377217,0.0,-0.0475582781975441,-0.0475582781975441,-0.06562623934746703,-0.079283843673152
selfregulationscp1,1,t2a_default,0.5619607058352658,0.0475582781975441,0.0,0.0,-0.01806796114992293,-0.0317255654756079
selfregulationscp1,1,t3_shared_rebasis,0.5619607058352658,0.0475582781975441,0.0,0.0,-0.01806796114992293,-0.0317255654756079
selfregulationscp1,1,t4b_window_radial_gate,0.5800286669851887,0.06562623934746703,0.01806796114992293,0.01806796114992293,0.0,-0.013657604325684969
selfregulationscp1,1,t7a_class_conditioned_rebasis,0.5657114624505929,0.05130903481287119,0.003750756615327089,0.003750756615327089,-0.01431720453459584,-0.02797480886028081
natops,1,baseline,0.6856807630081206,0.0,-0.04784280091009274,-0.04784280091009274,-0.04800248568281629,-0.04091151925155467
natops,1,t2a_default,0.7335235639182134,0.04784280091009274,0.0,0.0,-0.0001596847727235451,0.006931281658538069
natops,1,t3_shared_rebasis,0.7335235639182134,0.04784280091009274,0.0,0.0,-0.0001596847727235451,0.006931281658538069
natops,1,t4b_window_radial_gate,0.7336832486909369,0.04800248568281629,0.0001596847727235451,0.0001596847727235451,0.0,0.007090966431261614
natops,1,t7a_class_conditioned_rebasis,0.7335235639182134,0.04784280091009274,0.0,0.0,-0.0001596847727235451,0.006931281658538069
