dataset,seed,arm,terminal,train_macro_f1,val_macro_f1,test_macro_f1,delta_vs_no_shaping,delta_vs_c0
natops,1,baseline_0,dynamic_gru,1.0,0.9790849673202615,0.8286955114786415,0.0,0.00556692242369361
natops,1,mean_centered,dynamic_gru,1.0,0.9361111111111112,0.7836666189541989,-0.04502889252444264,-0.03946197010074903
natops,1,c0_unweighted_a2r,dynamic_gru,1.0,0.9790849673202615,0.8231285890549479,-0.00556692242369361,0.0
natops,1,c1_mean_dist_weighted_a2r,dynamic_gru,1.0,0.9361111111111112,0.7891310998285158,-0.0395644116501257,-0.03399748922643209
natops,1,c2_median_min_weighted_a2r,dynamic_gru,1.0,0.9361111111111112,0.7891310998285158,-0.0395644116501257,-0.03399748922643209
