dataset,seed,arm,direction,utilization,f1,base_f1,act_f1,gain,source_result_arm,transport_error_logeuc_mean,safe_radius_ratio_mean,candidate_total_count,aug_total_count,direction_bank_source,feedback_weight_mean,feedback_weight_std,last_weighted_aug_ce_loss,last_aug_margin_mean,zpia_row_norm_mean,telm2_recon_last,core_zpia_vs_core_lraes,feedback_zpia_vs_feedback_lraes,lraes_feedback_vs_lraes_core,zpia_feedback_vs_zpia_core,zpia_core_vs_baseline
atrialfibrillation,1,baseline_ce,none,core_ce_only,0.2136752136752136,0.2136752136752136,0.2136752136752136,0.0,mba_feedback_lraes,,,,,,,,,,,,0.11680911680911679,-0.07037037037037042,0.162962962962963,-0.024216524216524205,0.051282051282051294
atrialfibrillation,2,baseline_ce,none,core_ce_only,0.2401960784313725,0.2401960784313725,0.2401960784313725,0.0,mba_feedback_lraes,,,,,,,,,,,,0.0,-0.0008880008880008949,0.024761186525892404,0.02387318563789151,0.0
atrialfibrillation,3,baseline_ce,none,core_ce_only,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.0,mba_feedback_lraes,,,,,,,,,,,,0.0,0.0,0.07671957671957669,0.07671957671957669,0.0
atrialfibrillation,1,mba_core_lraes,lraes,mba_core_ce_mix,0.1481481481481481,0.2136752136752136,0.1481481481481481,-0.0655270655270655,mba_core_lraes,0.0271410219340568,0.9999999999899996,12.0,12.0,lraes,,,,,,,0.11680911680911679,-0.07037037037037042,0.162962962962963,-0.024216524216524205,0.051282051282051294
atrialfibrillation,2,mba_core_lraes,lraes,mba_core_ce_mix,0.2401960784313725,0.2401960784313725,0.2401960784313725,0.0,mba_core_lraes,0.0330612696597585,0.9999999999899996,12.0,12.0,lraes,,,,,,,0.0,-0.0008880008880008949,0.024761186525892404,0.02387318563789151,0.0
atrialfibrillation,3,mba_core_lraes,lraes,mba_core_ce_mix,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.0,mba_core_lraes,0.0325316968275679,0.9999999999899996,12.0,12.0,lraes,,,,,,,0.0,0.0,0.07671957671957669,0.07671957671957669,0.0
atrialfibrillation,1,mba_core_zpia,zpia,mba_core_ce_mix,0.2649572649572649,0.2136752136752136,0.2649572649572649,0.0512820512820512,mba_core_zpia,0.0272323747929411,0.9999999999899996,12.0,12.0,zpia_telm2,,,,,1.0,0.4780402884657121,0.11680911680911679,-0.07037037037037042,0.162962962962963,-0.024216524216524205,0.051282051282051294
atrialfibrillation,2,mba_core_zpia,zpia,mba_core_ce_mix,0.2401960784313725,0.2401960784313725,0.2401960784313725,0.0,mba_core_zpia,0.0331646258696613,0.9999999999899996,12.0,12.0,zpia_telm2,,,,,1.0,0.5430417954751502,0.0,-0.0008880008880008949,0.024761186525892404,0.02387318563789151,0.0
atrialfibrillation,3,mba_core_zpia,zpia,mba_core_ce_mix,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.0,mba_core_zpia,0.0321147013289,0.9999999999899996,12.0,12.0,zpia_telm2,,,,,1.0,0.4107546028602025,0.0,0.0,0.07671957671957669,0.07671957671957669,0.0
atrialfibrillation,1,mba_feedback_lraes,lraes,mba_feedback_weighted_ce,0.3111111111111111,0.2136752136752136,0.3111111111111111,0.0974358974358974,mba_feedback_lraes,0.0272193201678314,0.9999999999899996,12.0,12.0,lraes,0.839520698123508,0.1888302687917996,0.0224981512874364,4.538788318634033,,,0.11680911680911679,-0.07037037037037042,0.162962962962963,-0.024216524216524205,0.051282051282051294
atrialfibrillation,2,mba_feedback_lraes,lraes,mba_feedback_weighted_ce,0.2649572649572649,0.2401960784313725,0.2649572649572649,0.0247611865258924,mba_feedback_lraes,0.0333055560506802,0.9999999999899996,12.0,12.0,lraes,0.8266830643018087,0.1914728435760991,0.0264563076198101,4.325337886810303,,,0.0,-0.0008880008880008949,0.024761186525892404,0.02387318563789151,0.0
atrialfibrillation,3,mba_feedback_lraes,lraes,mba_feedback_weighted_ce,0.2433862433862433,0.1666666666666666,0.2433862433862433,0.0767195767195767,mba_feedback_lraes,0.0325589154643142,0.9999999999899996,12.0,12.0,lraes,0.8562025310264694,0.1716491909394007,0.0195860508829355,4.607771396636963,,,0.0,0.0,0.07671957671957669,0.07671957671957669,0.0
atrialfibrillation,1,mba_feedback_zpia,zpia,mba_feedback_weighted_ce,0.2407407407407407,0.2136752136752136,0.2407407407407407,0.027065527065527,mba_feedback_zpia,0.0267580385877168,0.9999999999899996,12.0,12.0,zpia_telm2,0.8409690663218499,0.1882282486890066,0.0203412361443042,4.5180439949035645,1.0,0.4780402884657121,0.11680911680911679,-0.07037037037037042,0.162962962962963,-0.024216524216524205,0.051282051282051294
atrialfibrillation,2,mba_feedback_zpia,zpia,mba_feedback_weighted_ce,0.264069264069264,0.2401960784313725,0.264069264069264,0.0238731856378915,mba_feedback_zpia,0.0329536084496822,0.9999999999899996,12.0,12.0,zpia_telm2,0.8254808411002159,0.1925747061254381,0.0344656631350517,4.245585441589356,1.0,0.5430417954751502,0.0,-0.0008880008880008949,0.024761186525892404,0.02387318563789151,0.0
atrialfibrillation,3,mba_feedback_zpia,zpia,mba_feedback_weighted_ce,0.2433862433862433,0.1666666666666666,0.2433862433862433,0.0767195767195767,mba_feedback_zpia,0.0324132771785191,0.9999999999899996,12.0,12.0,zpia_telm2,0.8573955519331826,0.1721251800639091,0.0163713917136192,4.638672828674316,1.0,0.4107546028602025,0.0,0.0,0.07671957671957669,0.07671957671957669,0.0
handwriting,1,baseline_ce,none,core_ce_only,0.2647332101658577,0.2647332101658577,0.2647332101658577,0.0,mba_feedback_lraes,,,,,,,,,,,,-0.10401147721944537,0.01961008915251844,-0.1696706968069519,-0.046049130434988095,0.0721767672577775
handwriting,2,baseline_ce,none,core_ce_only,0.235855843616036,0.235855843616036,0.235855843616036,0.0,mba_feedback_lraes,,,,,,,,,,,,0.07032623418596007,-0.021208465454350678,-0.09270573472029903,-0.18424043436060977,0.20567469727581816
handwriting,3,baseline_ce,none,core_ce_only,0.2518382860113333,0.2518382860113333,0.2518382860113333,0.0,mba_feedback_lraes,,,,,,,,,,,,-0.06248842417326911,0.026708085822890387,-0.1910420459846914,-0.10184553598853191,0.08442795141244441
handwriting,1,mba_core_lraes,lraes,mba_core_ce_mix,0.4409214546430806,0.2647332101658577,0.4409214546430806,0.1761882444772229,mba_core_lraes,0.0003243467872404,0.8510652870467545,120.0,120.0,lraes,,,,,,,-0.10401147721944537,0.01961008915251844,-0.1696706968069519,-0.046049130434988095,0.0721767672577775
handwriting,2,mba_core_lraes,lraes,mba_core_ce_mix,0.3712043067058941,0.235855843616036,0.3712043067058941,0.1353484630898581,mba_core_lraes,0.0003194410324295,0.8748595256426384,120.0,120.0,lraes,,,,,,,0.07032623418596007,-0.021208465454350678,-0.09270573472029903,-0.18424043436060977,0.20567469727581816
handwriting,3,mba_core_lraes,lraes,mba_core_ce_mix,0.3987546615970468,0.2518382860113333,0.3987546615970468,0.1469163755857135,mba_core_lraes,0.0003250355355428,0.867617465837255,120.0,120.0,lraes,,,,,,,-0.06248842417326911,0.026708085822890387,-0.1910420459846914,-0.10184553598853191,0.08442795141244441
handwriting,1,mba_core_zpia,zpia,mba_core_ce_mix,0.3369099774236352,0.2647332101658577,0.3369099774236352,0.0721767672577775,mba_core_zpia,0.0003232445079276,0.8510652844482895,120.0,120.0,zpia_telm2,,,,,1.0,0.1770055747633796,-0.10401147721944537,0.01961008915251844,-0.1696706968069519,-0.046049130434988095,0.0721767672577775
handwriting,2,mba_core_zpia,zpia,mba_core_ce_mix,0.4415305408918542,0.235855843616036,0.4415305408918542,0.2056746972758182,mba_core_zpia,0.0003195011442546,0.8748595231437427,120.0,120.0,zpia_telm2,,,,,1.0,0.1918097120850691,0.07032623418596007,-0.021208465454350678,-0.09270573472029903,-0.18424043436060977,0.20567469727581816
handwriting,3,mba_core_zpia,zpia,mba_core_ce_mix,0.3362662374237777,0.2518382860113333,0.3362662374237777,0.0844279514124444,mba_core_zpia,0.0003247051096497,0.8676174586492559,120.0,120.0,zpia_telm2,,,,,1.0,0.2306510925046364,-0.06248842417326911,0.026708085822890387,-0.1910420459846914,-0.10184553598853191,0.08442795141244441
handwriting,1,mba_feedback_lraes,lraes,mba_feedback_weighted_ce,0.2712507578361287,0.2647332101658577,0.2712507578361287,0.0065175476702709,mba_feedback_lraes,0.0003240592319041,0.8510652872284485,120.0,120.0,lraes,0.602060483838949,0.2371212561068354,0.5699564516544342,1.8397218585014343,,,-0.10401147721944537,0.01961008915251844,-0.1696706968069519,-0.046049130434988095,0.0721767672577775
handwriting,2,mba_feedback_lraes,lraes,mba_feedback_weighted_ce,0.2784985719855951,0.235855843616036,0.2784985719855951,0.042642728369559,mba_feedback_lraes,0.0003206693643335,0.8748595268574775,120.0,120.0,lraes,0.5862447625564204,0.2301370791951121,0.5768240392208099,1.732484519481659,,,0.07032623418596007,-0.021208465454350678,-0.09270573472029903,-0.18424043436060977,0.20567469727581816
handwriting,3,mba_feedback_lraes,lraes,mba_feedback_weighted_ce,0.2077126156123554,0.2518382860113333,0.2077126156123554,-0.0441256703989778,mba_feedback_lraes,0.0003240068520925,0.867617464781641,120.0,120.0,lraes,0.5872010669029422,0.2286100176119793,0.58524489402771,1.6371760964393616,,,-0.06248842417326911,0.026708085822890387,-0.1910420459846914,-0.10184553598853191,0.08442795141244441
handwriting,1,mba_feedback_zpia,zpia,mba_feedback_weighted_ce,0.2908608469886471,0.2647332101658577,0.2908608469886471,0.0261276368227894,mba_feedback_zpia,0.000322725356977,0.8510652858164648,120.0,120.0,zpia_telm2,0.6007626246950692,0.237879545170757,0.5674004256725311,1.7899280190467834,1.0,0.1770055747633796,-0.10401147721944537,0.01961008915251844,-0.1696706968069519,-0.046049130434988095,0.0721767672577775
