dataset,lraes_core,lraes_feedback,zpia_core,zpia_feedback,best_arm,core_zpia_vs_core_lraes,feedback_zpia_vs_feedback_lraes,lraes_feedback_vs_lraes_core,zpia_feedback_vs_zpia_core
atrialfibrillation,0.18500363108206241,0.27315153981820645,0.223940003351768,0.24939874939874931,mba_feedback_lraes,0.03893637226970559,-0.02375279041945713,0.08814790873614403,0.025458746046981312
handwriting,0.4036268076486738,0.2524873151446931,0.3715689185797557,0.2608572183183791,mba_core_lraes,-0.0320578890689181,0.008369903173686022,-0.15113949250398073,-0.11071170026137661
natops,0.9237399362200415,0.9370039470129793,0.9361324195546005,0.9387303166218571,mba_feedback_zpia,0.012392483334559001,0.0017263696088778424,0.01326401079293782,0.0025978970672566604
