dataset,seed,status,algo,model,pipeline,base_f1,act_f1,gain,f1_gain_pct,base_stop_epoch,act_stop_epoch,base_best_val_f1,act_best_val_f1,transport_error_fro_mean,transport_error_logeuc_mean,bridge_cond_A_mean,metric_preservation_error_mean,safe_radius_ratio_mean,manifold_margin_mean,host_geom_cosine_mean,host_conflict_rate,candidate_total_count,aug_total_count,requested_k_dir,effective_k_dir,direction_bank_source,result_arm,zpia_z_dim,zpia_n_train,zpia_n_train_lt_z_dim,zpia_row_norm_min,zpia_row_norm_max,zpia_row_norm_mean,zpia_fallback_row_count,telm2_recon_last,telm2_recon_mean,telm2_recon_std,telm2_n_iters,telm2_c_repr,telm2_activation,telm2_bias_update_mode,feedback_margin_temperature,aug_loss_weight,feedback_weight_mean,feedback_weight_std,last_orig_ce_loss,last_weighted_aug_ce_loss,last_aug_margin_mean
atrialfibrillation,1,success,lraes,resnet1d,act,0.2136752136752136,0.1481481481481481,-0.0655270655270655,-30.66665231467338,15,15,0.2222222222222222,0.2222222222222222,0.0001286626426505,0.0271410219340568,1.0875955872194434,0.1393040865993448,0.9999999999899996,1.0436398830928968,0.0,0.0,12,12,10,9,lraes,mba_core_lraes,,,,,,,,,,,,,,,,,,,,,
atrialfibrillation,2,success,lraes,resnet1d,act,0.2401960784313725,0.2401960784313725,0.0,0.0,15,15,0.5555555555555555,0.5555555555555555,0.0001278305810888,0.0330612696597585,1.0762513349219878,0.1224981048179804,0.9999999999899996,1.0337744315478616,0.0,0.0,12,12,10,9,lraes,mba_core_lraes,,,,,,,,,,,,,,,,,,,,,
atrialfibrillation,3,success,lraes,resnet1d,act,0.1666666666666666,0.1666666666666666,0.0,0.0,15,15,0.5555555555555555,0.5555555555555555,0.000128953087307,0.0325316968275679,1.0769594629072867,0.1242139429436418,0.9999999999899996,0.8437962467856867,0.0,0.0,12,12,10,9,lraes,mba_core_lraes,,,,,,,,,,,,,,,,,,,,,
handwriting,1,success,lraes,resnet1d,act,0.2647332101658577,0.4409214546430806,0.1761882444772229,66.55310749026613,15,15,0.2494047619047619,0.2930555555555555,0.0001569799485596,0.0003243467872404,1.0791974209731106,0.1154928818978484,0.8510652870467545,0.2429830989517447,0.0,0.0,120,120,10,10,lraes,mba_core_lraes,,,,,,,,,,,,,,,,,,,,,
handwriting,2,success,lraes,resnet1d,act,0.235855843616036,0.3712043067058941,0.1353484630898581,57.38607262329584,15,15,0.2262626262626262,0.3827380952380952,0.0001567128988155,0.0003194410324295,1.0813112206177289,0.1186697281905948,0.8748595256426384,0.2591882417685239,0.0,0.0,120,120,10,10,lraes,mba_core_lraes,,,,,,,,,,,,,,,,,,,,,
handwriting,3,success,lraes,resnet1d,act,0.2518382860113333,0.3987546615970468,0.1469163755857135,58.337562399682,15,15,0.1999999999999999,0.2652777777777778,0.0001571706583122,0.0003250355355428,1.0829551864782023,0.1193231145608853,0.867617465837255,0.2621793509247431,0.0,0.0,120,120,10,10,lraes,mba_core_lraes,,,,,,,,,,,,,,,,,,,,,
natops,1,success,lraes,resnet1d,act,0.9373000436629222,0.932213984205278,-0.005086059457644,-0.5426286864491452,15,15,0.972027972027972,0.9442501942501944,0.0004454072847582,2.9117433656524145,1.2678927107774618,0.4014608265553512,0.99999999999,5.820767164174551,0.0,0.0,144,144,10,10,lraes,mba_core_lraes,,,,,,,,,,,,,,,,,,,,,
natops,2,success,lraes,resnet1d,act,0.94962180852706,0.950037264852595,0.0004154563255349,0.0437496567638561,15,15,0.9444444444444444,0.972027972027972,0.0004451966676443,2.9147330765041493,1.280040296176968,0.4139877208634041,0.99999999999,5.7362806886113855,0.0,0.0,144,144,10,10,lraes,mba_core_lraes,,,,,,,,,,,,,,,,,,,,,
natops,3,success,lraes,resnet1d,act,0.8780165897375874,0.8889685596022514,0.0109519698646639,1.247353267047483,15,15,0.945887445887446,0.945887445887446,0.000445162811166,2.922072582397758,1.2816898898438918,0.4151811859208174,0.99999999999,5.643837013582446,0.0,0.0,144,144,10,10,lraes,mba_core_lraes,,,,,,,,,,,,,,,,,,,,,
atrialfibrillation,1,success,zpia,resnet1d,act,0.2136752136752136,0.2649572649572649,0.0512820512820512,23.999988768005263,15,15,0.2222222222222222,0.2222222222222222,0.0001283662380759,0.0272323747929411,1.086836319523731,0.1251501039260952,0.9999999999899996,1.0436398830928968,0.0,0.0,12,12,10,10,zpia_telm2,mba_core_zpia,3.0,12.0,False,1.0,1.0,1.0,0.0,0.4780402884657121,0.4964101776980024,0.0135688122897637,3.0,1.0,sine,residual,,,,,,,
atrialfibrillation,2,success,zpia,resnet1d,act,0.2401960784313725,0.2401960784313725,0.0,0.0,15,15,0.5555555555555555,0.1666666666666666,0.00012677182871,0.0331646258696613,1.0902395434648977,0.1304895534449007,0.9999999999899996,1.0337744315478616,0.0,0.0,12,12,10,10,zpia_telm2,mba_core_zpia,3.0,12.0,False,1.0,1.0,1.0,0.0,0.5430417954751502,0.5774182954621443,0.0352612068815421,3.0,1.0,sine,residual,,,,,,,
atrialfibrillation,3,success,zpia,resnet1d,act,0.1666666666666666,0.1666666666666666,0.0,0.0,15,15,0.5555555555555555,0.5555555555555555,0.0001251567277238,0.0321147013289,1.077840205113669,0.1222171911748394,0.9999999999899996,0.8437962467856867,0.0,0.0,12,12,10,10,zpia_telm2,mba_core_zpia,3.0,12.0,False,1.0,1.0,1.0,0.0,0.4107546028602025,0.4103549953532568,0.0121814739012159,3.0,1.0,sine,residual,,,,,,,
handwriting,1,success,zpia,resnet1d,act,0.2647332101658577,0.3369099774236352,0.0721767672577775,27.263953755029213,15,15,0.2494047619047619,0.2799603174603174,0.0001569706236843,0.0003232445079276,1.0693299842380268,0.1055402774806588,0.8510652844482895,0.2429830989517447,0.0,0.0,120,120,10,10,zpia_telm2,mba_core_zpia,6.0,120.0,False,1.0,1.0,1.0,0.0,0.1770055747633796,0.3745484389946149,0.2727619305455906,3.0,1.0,sine,residual,,,,,,,
handwriting,2,success,zpia,resnet1d,act,0.235855843616036,0.4415305408918542,0.2056746972758182,87.20352522073743,15,15,0.2262626262626262,0.3916666666666666,0.0001569394050241,0.0003195011442546,1.0722578592825391,0.1094351531597623,0.8748595231437427,0.2591882417685239,0.0,0.0,120,120,10,10,zpia_telm2,mba_core_zpia,6.0,120.0,False,1.0,1.0,1.0,0.0,0.1918097120850691,0.4068697073242486,0.2564178798185317,3.0,1.0,sine,residual,,,,,,,
handwriting,3,success,zpia,resnet1d,act,0.2518382860113333,0.3362662374237777,0.0844279514124444,33.52465553390459,15,15,0.1999999999999999,0.3057539682539683,0.0001566705600973,0.0003247051096497,1.0732487307501877,0.1090812124488052,0.8676174586492559,0.2621793509247431,0.0,0.0,120,120,10,10,zpia_telm2,mba_core_zpia,6.0,120.0,False,1.0,1.0,1.0,0.0,0.2306510925046364,0.3965194710177848,0.2573934909405362,3.0,1.0,sine,residual,,,,,,,
