dataset,seed,arm,f1,status,warmup_f1,base_f1,act_f1,selected_anchor_count,selected_positive_count,candidate_total_count,hard_positive_score_mean,fidelity_score_mean,acl_last_ce_loss,acl_last_supcon_loss,selected_class_coverage_frac,selected_class_missing_frac,coverage_risk,dominant_metric,dominant_corr,dominance_gap,dominance_risk,supcon_active,source_arm_dir,audit_files_present,candidate_csv,pipeline,selected_csv
atrialfibrillation,1,mba,0.32051282051282054,success,,0.26666666666666666,0.32051282051282054,0,0,0,0.0,0.0,0.0,0.0,,,,,,,,,mba,,,mba,
atrialfibrillation,1,continue_ce,0.20000000000000004,success,0.13095238095238096,0.20000000000000004,0.21645021645021645,12,12,48,0.8849206104738622,0.973696013886228,,,1.0,0.0,False,alignment_norm,0.9262257157699131,0.22549158096395816,False,,gcg_acl_n4,True,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/acl_small_matrix_v1/gcg_acl_n4/atrialfibrillation/audit/atrialfibrillation_s1_candidate_scores.csv,gcg_acl,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/acl_small_matrix_v1/gcg_acl_n4/atrialfibrillation/audit/atrialfibrillation_s1_selected_positives.csv
atrialfibrillation,1,gcg_acl,0.21645021645021645,success,0.13095238095238096,0.20000000000000004,0.21645021645021645,12,12,48,0.8849206104738622,0.973696013886228,0.009788312949240208,1.947514533996582,1.0,0.0,False,alignment_norm,0.9262257157699131,0.22549158096395816,False,True,gcg_acl_n4,True,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/acl_small_matrix_v1/gcg_acl_n4/atrialfibrillation/audit/atrialfibrillation_s1_candidate_scores.csv,gcg_acl,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/acl_small_matrix_v1/gcg_acl_n4/atrialfibrillation/audit/atrialfibrillation_s1_selected_positives.csv
atrialfibrillation,1,gcg_acl_n8,0.10683760683760683,success,0.16666666666666666,0.26495726495726496,0.10683760683760683,12,12,96,0.8133752756185545,0.9739324676588872,0.012752510607242584,1.9511916637420654,1.0,0.0,False,alignment_norm,0.90806307382149,0.5396276173785863,False,True,gcg_acl_n8,True,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/acl_small_matrix_v1/gcg_acl_n8/atrialfibrillation/audit/atrialfibrillation_s1_candidate_scores.csv,gcg_acl,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/acl_small_matrix_v1/gcg_acl_n8/atrialfibrillation/audit/atrialfibrillation_s1_selected_positives.csv
atrialfibrillation,2,mba,0.26666666666666666,success,,0.21645021645021645,0.26666666666666666,0,0,0,0.0,0.0,0.0,0.0,,,,,,,,,mba,,,mba,
atrialfibrillation,2,continue_ce,0.32051282051282054,success,0.16666666666666666,0.32051282051282054,0.1574074074074074,12,12,48,0.7749373861065904,0.9678177072809575,,,1.0,0.0,False,alignment_norm,0.8768493495541543,0.7738035778004374,False,,gcg_acl_n4,True,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/acl_small_matrix_v1/gcg_acl_n4/atrialfibrillation/audit/atrialfibrillation_s2_candidate_scores.csv,gcg_acl,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/acl_small_matrix_v1/gcg_acl_n4/atrialfibrillation/audit/atrialfibrillation_s2_selected_positives.csv
atrialfibrillation,2,gcg_acl,0.1574074074074074,success,0.16666666666666666,0.32051282051282054,0.1574074074074074,12,12,48,0.7749373861065904,0.9678177072809575,0.008556198328733444,1.9472097158432007,1.0,0.0,False,alignment_norm,0.8768493495541543,0.7738035778004374,False,True,gcg_acl_n4,True,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/acl_small_matrix_v1/gcg_acl_n4/atrialfibrillation/audit/atrialfibrillation_s2_candidate_scores.csv,gcg_acl,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/acl_small_matrix_v1/gcg_acl_n4/atrialfibrillation/audit/atrialfibrillation_s2_selected_positives.csv
atrialfibrillation,2,gcg_acl_n8,0.1623931623931624,success,0.19907407407407407,0.20098039215686278,0.1623931623931624,12,12,96,0.7934508932661489,0.9678082264956162,0.009133747778832912,1.9474170207977295,1.0,0.0,False,alignment_norm,0.8954489156060054,0.6302584450993861,False,True,gcg_acl_n8,True,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/acl_small_matrix_v1/gcg_acl_n8/atrialfibrillation/audit/atrialfibrillation_s2_candidate_scores.csv,gcg_acl,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/acl_small_matrix_v1/gcg_acl_n8/atrialfibrillation/audit/atrialfibrillation_s2_selected_positives.csv
atrialfibrillation,3,mba,0.16666666666666666,success,,0.16666666666666666,0.16666666666666666,0,0,0,0.0,0.0,0.0,0.0,,,,,,,,,mba,,,mba,
atrialfibrillation,3,continue_ce,0.26495726495726496,success,0.24019607843137256,0.26495726495726496,0.044444444444444446,12,12,48,0.7847098824570936,0.9688648472897131,,,1.0,0.0,False,alignment_norm,0.8635157989248412,0.6159757039973561,False,,gcg_acl_n4,True,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/acl_small_matrix_v1/gcg_acl_n4/atrialfibrillation/audit/atrialfibrillation_s3_candidate_scores.csv,gcg_acl,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/acl_small_matrix_v1/gcg_acl_n4/atrialfibrillation/audit/atrialfibrillation_s3_selected_positives.csv
