dataset,seed,status,fail_reason,requested_k_dir,effective_k_dir,num_classes,latent_dim,train_size,aug_total_count,algo,model,base_f1,act_f1,gain,f1_gain_pct,base_stop_epoch,act_stop_epoch,base_best_val_f1,act_best_val_f1
har,1,success,,10,10,6,45,5881,5881,lraes,patchtst,0.8634778330263798,0.878140857961955,0.014663024935575142,1.6981354560136952,41,63,0.9001604694106238,0.9064549142334553
har,2,success,,10,10,6,45,5881,5881,lraes,patchtst,0.8656503844280787,0.8521131956520688,-0.013537188776009956,-1.5638169237499773,27,37,0.8973556212229049,0.9021335285008606
har,3,success,,10,10,6,45,5881,5881,lraes,patchtst,0.8675768177865303,0.8753032359168168,0.0077264181302865165,0.8905744230723786,43,83,0.9068731268339677,0.9120224380192284
