dataset,seed,status,algo,model,pipeline,base_f1,act_f1,gain,f1_gain_pct,base_stop_epoch,act_stop_epoch,base_best_val_f1,act_best_val_f1,transport_error_fro_mean,transport_error_logeuc_mean,bridge_cond_A_mean,metric_preservation_error_mean,safe_radius_ratio_mean,manifold_margin_mean,host_geom_cosine_mean,host_conflict_rate,candidate_total_count,aug_total_count,requested_k_dir,effective_k_dir,direction_bank_source
handwriting,1,success,lraes,resnet1d,act,0.2647332101658577,0.44092145464308063,0.17618824447722292,66.55310749026613,15,15,0.2494047619047619,0.29305555555555557,0.0001569799485596019,0.0003243467872404915,1.0791974209731106,0.11549288189784845,0.8510652870467545,0.24298309895174477,0.0,0.0,120,120,10,10,lraes
handwriting,2,success,lraes,resnet1d,act,0.235855843616036,0.3712043067058941,0.1353484630898581,57.38607262329584,15,15,0.22626262626262625,0.38273809523809527,0.0001567128988155602,0.0003194410324295589,1.0813112206177289,0.11866972819059485,0.8748595256426384,0.2591882417685239,0.0,0.0,120,120,10,10,lraes
handwriting,3,success,lraes,resnet1d,act,0.2518382860113333,0.39875466159704687,0.14691637558571358,58.337562399682,15,15,0.19999999999999998,0.2652777777777778,0.00015717065831224742,0.00032503553554287426,1.0829551864782023,0.11932311456088535,0.867617465837255,0.2621793509247431,0.0,0.0,120,120,10,10,lraes
