dataset	all_trials	outer_train	inner_train	outer_test	train_test_ratio	classes	channels	seq_len	train_max_class_ratio	local_5nn_purity	baseline	f1	r0	p0b	r0_minus_f1	r0_minus_baseline
natops	360	180	135	180	1.0	6	24	51	0.17037037037037037	0.7407407407407407	0.674932797328836	0.6812795674153144	0.6862334265341877	0.6581067585660453	0.0049538591188733605	0.011300629205351687
selfregulationscp1	561	268	201	293	0.9146757679180887	2	6	896	0.5024875621890548	0.6955223880597016	0.6348324609194174	0.6379621708963026	0.6323626893939394	0.6424500918192051	-0.005599481502363224	-0.002469771525478004
fingermovements	416	316	237	100	3.16	2	28	50	0.5021097046413502	0.5130801687763714	0.5087719298245614	0.4981934965877158	0.46994699469946993	0.49919871794871795	-0.028246501888245845	-0.0388249351250915
basicmotions	80	40	30	40	1.0	4	6	100	0.26666666666666666	0.3466666666666666	1.0	1.0	1.0	1.0	0.0	0.0
handmovementdirection	234	160	120	74	2.1621621621621623	4	10	400	0.25	0.275	0.27267414679756896	0.27267414679756896	0.27267414679756896	0.27267414679756896	0.0	0.0
uwavegesturelibrary	440	120	90	320	0.375	8	3	315	0.13333333333333333	0.7577777777777778	0.7193076937678575	0.7195937417139298	0.6949878675004137	0.7099922124726188	-0.02460587421351601	-0.024319826267443778
epilepsy	275	137	102	138	0.9927536231884058	4	3	206	0.27450980392156865	0.46274509803921565	0.9858452950558214	0.9787212787212787	0.9929353233830845	0.9787212787212787	0.014214044661805869	0.0070900283272631315
