dataset	baseline	f1	r0	p0b	f1_corr	r0_corr	p0b_corr
basicmotions	1.0	1.0	1.0	1.0	-0.10971168208999005	-0.10860926639903642	0.01702840171534726
epilepsy	0.9858452950558214	0.9787212787212787	0.9929353233830845	0.9787212787212787	-0.15106520328059805	-0.036326573340782944	-0.011655055643150917
fingermovements	0.5087719298245614	0.4981934965877158	0.46994699469946993	0.49919871794871795	0.05301118990362596	-0.13865969422623534	-0.07264563540015333
handmovementdirection	0.27267414679756896	0.27267414679756896	0.27267414679756896	0.27267414679756896	0.006307525662350806	-0.02357471880310805	0.11947887878931505
natops	0.674932797328836	0.6812795674153144	0.6862334265341877	0.6581067585660453	-0.06181198789561836	-0.08549978154920058	-0.07716615182267031
selfregulationscp1	0.6348324609194174	0.6379621708963026	0.6323626893939394	0.6424500918192051	0.1933175051085022	0.03161807302849896	-0.18595241720038527
uwavegesturelibrary	0.7193076937678575	0.7195937417139298	0.6949878675004137	0.7099922124726188	0.050362458330944895	0.07574352669469353	0.1572727623965955
