dataset,seed,model_type,window_len,hop_len,test_acc,test_macro_f1,val_macro_f1,best_epoch,raw_minirocket_test_macro_f1
natops,1,static_linear,28,5,0.4777777777777778,0.47974661243426375,0.5088881706528765,3,0.7170628040311606
natops,1,dynamic_gru,28,5,0.7055555555555556,0.6856807630081206,0.6815476190476191,3,0.7170628040311606
natops,1,dynamic_minirocket,28,5,0.6277777777777778,0.6268796018796019,0.6431875314228256,0,0.7170628040311606
selfregulationscp1,1,static_linear,179,90,0.46757679180887374,0.4648276508055451,0.5057008718980549,3,0.6792310680525963
selfregulationscp1,1,dynamic_gru,179,90,0.515358361774744,0.5144024276377217,0.5356583948133244,2,0.6792310680525963
selfregulationscp1,1,dynamic_minirocket,179,90,0.5665529010238908,0.5662295273066387,0.5911864406779661,0,0.6792310680525963
