dataset,static_manifold_macro_f1_mean,static_manifold_macro_f1_std,static_manifold_macro_f1,dynamic_gru_macro_f1_mean,dynamic_gru_macro_f1_std,dynamic_gru_macro_f1,dynamic_minirocket_macro_f1_mean,dynamic_minirocket_macro_f1_std,dynamic_minirocket_macro_f1,raw_minirocket_macro_f1_mean,raw_minirocket_macro_f1_std,raw_minirocket_macro_f1,best_internal_model
natops,0.47974661243426375,0.0,0.4797 +/- 0.0000,0.6856807630081206,0.0,0.6857 +/- 0.0000,0.6268796018796019,0.0,0.6269 +/- 0.0000,0.7170628040311606,0.0,0.7171 +/- 0.0000,dynamic_gru
selfregulationscp1,0.4648276508055451,0.0,0.4648 +/- 0.0000,0.5144024276377217,0.0,0.5144 +/- 0.0000,0.5662295273066387,0.0,0.5662 +/- 0.0000,0.6792310680525963,0.0,0.6792 +/- 0.0000,dynamic_minirocket
