dataset,seed,model_type,trajectory_len_mean,step_change_mean,local_curvature_proxy,classwise_dispersion,transition_separation_proxy
natops,1,static_linear,1.0,0.0,0.0,6.821255922317505,0.0
natops,1,dynamic_gru,5.0,3.2731580204433866,4.577633928369592,6.626492102940877,0.861331582069397
natops,1,dynamic_minirocket,5.0,3.2731580204433866,4.577633928369592,6.626492102940877,0.861331582069397
selfregulationscp1,1,static_linear,1.0,0.0,0.0,0.9689352810382843,0.0
selfregulationscp1,1,dynamic_gru,8.0,1.1183780129276104,1.6809517945816268,0.8313723802566528,0.08121607452630997
selfregulationscp1,1,dynamic_minirocket,8.0,1.1183780129276104,1.6809517945816268,0.8313723802566528,0.08121607452630997
