dataset,seed,algo,model,base_f1,mba_f1,gain
articularywordrecognition,1,lraes,resnet1d,0.9726048309178743,0.9800882943143813,0.007483463396506962
articularywordrecognition,2,lraes,resnet1d,0.9867723522853957,0.9867665551839464,-5.7971014493229944e-06
articularywordrecognition,3,lraes,resnet1d,0.9730938279112192,0.9836599033816426,0.01056607547042332
atrialfibrillation,1,lraes,resnet1d,0.24338624338624337,0.20098039215686278,-0.04240585122938059
atrialfibrillation,2,lraes,resnet1d,0.26406926406926406,0.26666666666666666,0.0025974025974025983
atrialfibrillation,3,lraes,resnet1d,0.20098039215686278,0.20000000000000004,-0.0009803921568627416
basicmotions,1,lraes,resnet1d,1.0,1.0,0.0
basicmotions,2,lraes,resnet1d,1.0,1.0,0.0
basicmotions,3,lraes,resnet1d,1.0,1.0,0.0
cricket,1,lraes,resnet1d,0.972027972027972,0.9581390831390831,-0.01388888888888884
cricket,2,lraes,resnet1d,0.972027972027972,0.9860139860139862,0.013986013986014179
cricket,3,lraes,resnet1d,0.972027972027972,0.9860139860139862,0.013986013986014179
epilepsy,1,lraes,resnet1d,0.9705363796040025,0.9638968084263879,-0.0066395711776146005
epilepsy,2,lraes,resnet1d,0.7607532673946336,0.9064168207074424,0.1456635533128089
epilepsy,3,lraes,resnet1d,0.9014699078415926,0.9700272119626958,0.06855730412110317
ering,1,lraes,resnet1d,0.852272177308475,0.8596870175997311,0.007414840291256053
ering,2,lraes,resnet1d,0.8206466580839861,0.7853453222048673,-0.03530133587911877
ering,3,lraes,resnet1d,0.8403764068663868,0.8479915217542082,0.007615114887821406
ethanolconcentration,1,lraes,resnet1d,0.31723936411025355,0.2574273023996861,-0.059812061710567466
ethanolconcentration,2,lraes,resnet1d,0.27026769488437946,0.2830814616904623,0.012813766806082816
ethanolconcentration,3,lraes,resnet1d,0.30429490249667024,0.2804342174118149,-0.023860685084855338
fingermovements,1,lraes,resnet1d,0.5444883085332524,0.5805626598465473,0.03607435131329495
fingermovements,2,lraes,resnet1d,0.49541756770672435,0.44950455409868884,-0.04591301360803551
fingermovements,3,lraes,resnet1d,0.468671679197995,0.5182657567242072,0.049594077526212144
handmovementdirection,1,lraes,resnet1d,0.30981696168169787,0.32078902597011666,0.010972064288418792
handmovementdirection,2,lraes,resnet1d,0.32982249984538314,0.37222222222222223,0.04239972237683909
handmovementdirection,3,lraes,resnet1d,0.33756577442232893,0.29960526315789476,-0.03796051126443417
handwriting,1,lraes,resnet1d,0.5144434697050912,0.53161791774096,0.01717444803586876
handwriting,2,lraes,resnet1d,0.4627389390793094,0.4197126592487666,-0.0430262798305428
handwriting,3,lraes,resnet1d,0.5061468706682053,0.5316294769306701,0.02548260626246479
heartbeat,1,lraes,resnet1d,0.6735668789808917,0.541981981981982,-0.13158489699890974
heartbeat,2,lraes,resnet1d,0.5448876250342987,0.6604912280701755,0.1156036030358768
heartbeat,3,lraes,resnet1d,0.6406660823838738,0.634077927376581,-0.0065881550072928174
japanesevowels,1,lraes,resnet1d,0.9652751006710045,0.989009767416761,0.023734666745756527
japanesevowels,2,lraes,resnet1d,0.9811757766104796,0.9857746263353301,0.004598849724850473
japanesevowels,3,lraes,resnet1d,0.974834610661046,0.9759317415989704,0.0010971309379244065
libras,1,lraes,resnet1d,0.9277346260824522,0.8821121204416399,-0.04562250564081227
libras,2,lraes,resnet1d,0.8661977627131893,0.9441971683710815,0.0779994056578922
libras,3,lraes,resnet1d,0.8633311021257047,0.8440580964928791,-0.019273005632825635
