dataset,seed,status,fail_reason,requested_k_dir,effective_k_dir,num_classes,latent_dim,train_size,aug_total_count,algo,model,base_f1,act_f1,gain,f1_gain_pct,base_stop_epoch,act_stop_epoch,base_best_val_f1,act_best_val_f1
articularywordrecognition,1,success,,10,10,25,45,220,220,lraes,patchtst,0.9700416742677612,0.9326087925804173,-0.03743288168734393,-3.8588937796622473,100,18,0.9573333333333331,1.0
articularywordrecognition,2,success,,10,10,25,45,220,220,lraes,patchtst,0.9522619954162289,0.956736096753488,0.004474101337259118,0.46983927626600647,100,17,0.9413333333333332,1.0
articularywordrecognition,3,success,,10,10,25,45,220,220,lraes,patchtst,0.9473209351368271,0.976631884057971,0.02931094892114383,3.0940882587823335,20,100,0.9786666666666668,0.9840000000000001
atrialfibrillation,1,success,,10,9,3,3,12,12,lraes,patchtst,0.24019607843137256,0.26406926406926406,0.02387318563789151,9.939036413400897,16,100,0.16666666666666666,0.16666666666666666
atrialfibrillation,2,success,,10,9,3,3,12,12,lraes,patchtst,0.3944444444444444,0.25925925925925924,-0.13518518518518513,-34.27229178073353,18,16,0.5555555555555555,0.5555555555555555
atrialfibrillation,3,success,,10,9,3,3,12,12,lraes,patchtst,0.2722222222222222,0.26406926406926406,-0.008152958152958134,-2.994963119263475,100,18,0.2222222222222222,0.5555555555555555
basicmotions,1,success,,10,10,4,21,32,32,lraes,patchtst,0.5522290209790209,0.514027745485546,-0.03820127549347496,-6.917649584605341,100,100,0.7499999999999999,0.45833333333333326
basicmotions,2,success,,10,10,4,21,32,32,lraes,patchtst,0.5497710622710622,0.5736336032388665,0.02386254096780427,4.340449737165179,31,26,0.5595238095238095,0.5595238095238095
basicmotions,3,success,,10,10,4,21,32,32,lraes,patchtst,0.22502937720329025,0.5039220647773279,0.2788926875740377,123.93606874982326,16,28,0.5595238095238095,0.45833333333333326
