dataset,base_f1,act_f1,gain,f1_gain_pct,host_geom_cosine_mean,host_conflict_rate,fidelity_score_mean,hard_positive_score_mean,v2_regime
articularywordrecognition,0.975371634484678,0.9746068630242543,-0.0007647714604236333,-0.07324339979744136,-0.0006228903932920668,0.5003787878787879,0.9742010902506584,0.9556724964047385,Saturated / Stable
atrialfibrillation,0.30597180597180595,0.19323392656725988,-0.11273787940454603,-36.15671562950716,-0.04090548372833933,0.548611111111111,0.970152948174289,0.8136081638286025,Objective Mismatch (Failure)
basicmotions,1.0,1.0,0.0,0.0,-0.024759364558121864,0.5416666666666666,0.9919811993632542,0.9558594324201289,Saturated / Stable
cricket,0.9813519813519814,0.9761849261849261,-0.005167055167055233,-0.5172315530301679,0.0008476920627926667,0.5135658914728682,0.9873236025792842,0.9535206588287654,Saturated / Stable
epilepsy,0.9463053562368632,0.9547159506411697,0.008410594404306533,0.9120191637706231,0.011901328128702699,0.4885321100917431,0.9961106350557696,0.9606523161082646,Saturated / Stable
ering,0.767692569053119,0.8160621557663529,0.048369586713233936,6.7367427586934765,-0.009687753753193366,0.5104166666666666,0.9986768343993407,0.9280431285410886,Boundary-Shaping (Winner)
ethanolconcentration,0.2679692845607777,0.25297139739546154,-0.0149978871653162,-5.079276930352946,-0.002606907460059833,0.4987980769230769,0.9999999943884831,0.8429689888295253,Objective Mismatch (Failure)
fingermovements,0.4435452702091789,0.530887649002704,0.08734237879352509,20.29129891361238,-6.18212954828e-05,0.49801587301587297,0.9999328873256106,0.9110720377613205,Boundary-Shaping (Winner)
handmovementdirection,0.28384242733248327,0.2719080177692817,-0.011934409563201534,-4.699162920129067,-0.0022471986441511666,0.5013020833333334,0.9999998886964226,0.8667422131970536,Objective Mismatch (Failure)
handwriting,0.3999993695313348,0.4316155731249727,0.031616203593637766,8.00417011765263,-0.0023395584575256335,0.5097222222222222,0.9996753641272257,0.7962349691262611,Boundary-Shaping (Winner)
har,0.9216745763499548,0.9351538941679657,0.0134793178180108,1.4731898678420692,0.00040335191893576665,0.5002975684407414,0.06700865354311343,0.06412592353275,Saturated / Stable
heartbeat,0.6398065835335071,0.6758968904367028,0.03609030690319573,7.267359348062608,0.0028477718273640334,0.483640081799591,0.010596785199644432,0.009634595136829167,Boundary-Shaping (Winner)
japanesevowels,0.9658673705725738,0.9765105641629188,0.010643193590345032,1.1119402279116144,0.0018464985683906666,0.4868827160493827,0.10755698788734518,0.10316371082555358,Saturated / Stable
libras,0.8204763451369096,0.8365530988338618,0.016076753696952068,1.935584113827449,0.0008072579221334331,0.5,0.8363272536290475,0.6189357763388926,Saturated / Stable
motorimagery,0.44058210008695703,0.4581554417797795,0.0175733416928224,5.773911633862009,-0.0003739312142916667,0.506006006006006,0.9998943205028762,0.8904390563740859,Boundary-Shaping (Winner)
natops,0.8991956839122234,0.914125870153779,0.014930186241555732,1.8211259799500936,0.0027019426123404667,0.4884259259259259,0.15076371437582636,0.14523437747667697,Saturated / Stable
pendigits,0.9858084291013731,0.9870175898747563,0.0012091607733832332,0.12469388468012725,0.0021959283932163334,0.4953155407283847,0.9999998540227252,0.3112335962197572,Saturated / Stable
racketsports,0.8688628776309196,0.8725534961577268,0.003690618526807035,0.43678856598023447,0.006720227847108566,0.47500000000000003,0.9998738748855693,0.9672235058140002,Saturated / Stable
selfregulationscp2,0.5037369958574549,0.4913745524071704,-0.0123624434502845,-1.8145960922346613,0.0002798102859136002,0.5020833333333333,0.9999884767612035,0.8216458546726187,Saturated / Stable
uwavegesturelibrary,0.7556686969756212,0.7428659993935537,-0.012802697582067465,-1.6676217538214961,-0.0065085545890420675,0.5147569444444444,0.9982749207489938,0.853147341987473,Saturated / Stable
