dataset,model,base_f1,act_f1,gain,transport_error_fro_mean,transport_error_logeuc_mean,manifold_margin_mean,safe_radius_ratio_mean,host_geom_cosine_mean,host_conflict_rate
articularywordrecognition,resnet1d,0.9630660720921592,0.983501800614844,0.0204357285226849,0.0002720074977236,0.0271035180870831,3.913112969615949,0.9999999999899996,0.0089126698672771,0.45
atrialfibrillation,resnet1d,0.2649572649572649,0.3333333333333333,0.0683760683760683,0.0001310845231437,0.0271741156412573,1.0436398834191232,0.9999999999899996,0.0240272655307004,0.3333333333333333
basicmotions,resnet1d,1.0,1.0,0.0,0.0002238812104032,0.0074855711756476,4.414288785911918,0.99999999999,0.0032187955919653,0.45
cricket,resnet1d,0.9434565434565436,1.0,0.0565434565434564,0.0002220657713115,0.0130763675353726,2.0181944375652288,0.9999999999899996,0.0220958014950156,0.5
epilepsy,resnet1d,0.9718253968253968,0.9716905901116428,-0.000134806713754,0.0001566787293401,0.0041046208878806,1.4579571049529363,0.9999999999899994,0.0012569557875394,0.55
ering,resnet1d,0.4227298551732708,0.350320188003379,-0.0724096671698917,0.0001813482547083,0.001321693154567,1.0850636770009447,0.99999999999,-0.0698712598532438,0.65
ethanolconcentration,resnet1d,0.2106028071385942,0.2573253566477644,0.0467225495091701,0.0001622104341807,5.423812934371495e-09,1.165743966528321,0.9999999999899996,-0.0379185250494629,0.6
fingermovements,resnet1d,0.5192307692307692,0.4294013901857039,-0.0898293790450652,0.0004772180504833,6.7118971242055e-05,6.124161271064866,0.9999999999899998,-0.0037373197497799,0.45
handmovementdirection,resnet1d,0.2973381730187537,0.3289203463622068,0.031582173343453,0.0002853801355629,1.1124753883892627e-07,0.9899009169526742,0.9999999999899996,0.0075783438747748,0.45
handwriting,resnet1d,0.468329084391123,0.4523529866406175,-0.0159760977505054,0.0001570212004303,0.00032421424993,0.2429830989535751,0.851065283842587,0.0112371518276631,0.4
har,resnet1d,0.9360152783451092,0.945049939530014,0.009034661184905,0.000270563978438,2.9534219295751805,1.2218957990441432,0.9896848140505228,-0.0047496457351371,0.65
heartbeat,resnet1d,0.6564672293942403,0.6177003410059676,-0.0387668883882726,0.0007037708009461,9.579952429481114,4.120208436999549,0.9999999999899998,-0.0065894130035303,0.65
japanesevowels,resnet1d,0.974135040281902,0.9559558688027672,-0.0181791714791348,0.0003153909203578,2.462001594018364,5.394679412581859,0.9999999999899996,0.0412017130292952,0.35
libras,resnet1d,0.8716238833630139,0.8652827623262406,-0.0063411210367733,0.0001278460663859,0.2517185830312095,0.5275506714835868,0.9733887680006114,-0.0030060043558478,0.55
motorimagery,resnet1d,0.4357638888888889,0.4120307553143374,-0.0237331335745514,0.0007203681900644,0.0001057227411704,5.862721856486682,0.9999999999899996,-0.0094733736244961,0.5
