dataset,model,base_f1,act_f1,gain,transport_error_fro_mean,transport_error_logeuc_mean,manifold_margin_mean,safe_radius_ratio_mean,host_geom_cosine_mean,host_conflict_rate
natops,resnet1d,0.9551066217732884,0.949648711943794,-0.0054579098294946,0.0004450361725114,2.911806203677614,5.820767181549378,0.99999999999,0.0028340846998617,0.4
pendigits,resnet1d,0.9838636206350556,0.9894135153803252,0.0055498947452696,0.0001273657035964,1.4673097558234297e-07,0.0441086306557393,0.1913791678261379,-0.0792810662649571,0.7
racketsports,resnet1d,0.869814782085019,0.9025176625429924,0.0327028804579733,0.0002220806508628,0.0001210358799825,2.143864856004255,0.9999999999899996,-0.0085352316498756,0.7
selfregulationscp2,resnet1d,0.480972147406445,0.502962985945208,0.021990838538763,0.0002390608402985,1.1582745138576836e-05,0.4101357522299036,0.9999999999899998,-0.0039839286124333,0.4
uwavegesturelibrary,resnet1d,0.7654252579433738,0.7975183340902064,0.0320930761468326,0.0001565807757228,0.0016604051726516,0.539991542003117,0.9238782908679216,0.0152584084775298,0.4
articularywordrecognition,patchtst,0.9563776629167932,0.9637621508925855,0.0073844879757923,0.0002719531137775,0.0271113901551666,3.913112969615949,0.9999999999899996,0.0,0.0
atrialfibrillation,patchtst,0.3632119514472456,0.2592592592592592,-0.1039526921879863,0.0001288683929271,0.0271276498495444,1.0436398834191232,0.9999999999899996,-0.006026492997383,0.6666666666666666
basicmotions,patchtst,0.5158203066172705,0.5832358674463938,0.0674155608291232,0.0002216144146837,0.007478015375301,4.414288785911918,0.99999999999,-0.0097590420395135,0.6
cricket,patchtst,0.8041347541347541,0.7669838331603037,-0.0371509209744503,0.0002221762774539,0.013061640650272,2.0181944375652288,0.9999999999899996,0.0,0.0
epilepsy,patchtst,0.8607041318711799,0.9121685606060606,0.0514644287348806,0.0001574809220602,0.0040930305634794,1.4579571049529363,0.9999999999899994,0.0,0.0
ering,patchtst,0.9519420302337652,0.9593738456353624,0.0074318154015972,0.0001814492224704,0.0013186276883155,1.0850636770009447,0.99999999999,-0.0134197497740387,0.6
ethanolconcentration,patchtst,0.142892486039443,0.124512001156738,-0.0183804848827049,0.0001628254088801,5.421467186564593e-09,1.165743966528321,0.9999999999899996,0.0,0.0
fingermovements,patchtst,0.5392628205128205,0.4895405865278751,-0.0497222339849454,0.0004767338353712,6.711635813422254e-05,6.124161271064866,0.9999999999899998,-0.0022191155236214,0.5
handmovementdirection,patchtst,0.4335389453313981,0.4962462462462462,0.0627073009148481,0.0002851290766021,1.1117827322302165e-07,0.9899009169526742,0.9999999999899996,0.0,0.0
handwriting,patchtst,0.2042697628646894,0.2087758972951809,0.0045061344304915,0.0001566259750263,0.0003232681361768,0.2429830989535751,0.851065282172307,0.0,0.0
har,patchtst,0.872279748293328,0.8575415757003042,-0.0147381725930237,0.000270400152888,2.953306249692756,1.2218957990441432,0.9896848140044056,0.0,0.0
heartbeat,patchtst,0.5156593406593406,0.5375530785562633,0.0218937378969227,0.0007034652073237,9.575898636694786,4.120208436999549,0.9999999999899998,0.0,0.0
japanesevowels,patchtst,0.8529404081339647,0.8709030538449546,0.0179626457109899,0.0003153508466551,2.461108440468484,5.394679412581859,0.9999999999899996,-0.0019798948895186,0.55
libras,patchtst,0.7142374707931658,0.7267114096175882,0.0124739388244223,0.0001291999859787,0.2555846307426149,0.5275506714835868,0.9733887678305015,0.0,0.0
natops,patchtst,0.7370564322177225,0.7392416075666114,0.0021851753488888,0.000444783574102,2.9103472591344106,5.820767181549378,0.99999999999,-0.0071919914917089,0.5
pendigits,patchtst,0.9750667990897532,0.970296176012282,-0.0047706230774711,0.0001273838082113,1.4672253135805253e-07,0.0441086306557393,0.1913791676073623,0.0,0.0
racketsports,patchtst,0.7209931372360058,0.7435900156398588,0.022596878403853,0.00022177253513,0.0001210580262976,2.143864856004255,0.9999999999899996,0.0,0.0
selfregulationscp2,patchtst,0.431578947368421,0.5304931064464041,0.098914159077983,0.0002388063413842,1.1580912032212542e-05,0.4101357522299036,0.9999999999899998,0.0,0.0
uwavegesturelibrary,patchtst,0.8123181986351585,0.8141469815041307,0.0018287828689721,0.0001564450172281,0.0016526255770176,0.539991542003117,0.923878289925305,0.0,0.0
articularywordrecognition,timesnet,0.983427424749164,0.9800882943143812,-0.0033391304347826,0.0002719014071325,0.0271020957061813,3.913112969615949,0.9999999999899996,0.0,0.0
atrialfibrillation,timesnet,0.273015873015873,0.125,-0.148015873015873,0.000126661128551,0.0269914398481011,1.0436398834191232,0.9999999999899996,0.0,0.0
basicmotions,timesnet,0.6794467787114845,0.8743069795701375,0.1948602008586529,0.000221095059593,0.0074748471650464,4.414288785911918,0.99999999999,-0.0054172348231077,0.45
cricket,timesnet,0.8876193251193251,0.931082806082806,0.0434634809634808,0.0002222487258454,0.0130914203195392,2.0181944375652288,0.9999999999899996,0.0,0.0
epilepsy,timesnet,0.446993006993007,0.6897536845077828,0.2427606775147758,0.0001568099273736,0.0041027922037952,1.4579571049529363,0.9999999999899994,0.0,0.0
ering,timesnet,0.9139765473615952,0.9282875832378872,0.0143110358762921,0.0001815096423668,0.0013190389817234,1.0850636770009447,0.99999999999,0.0439319805707782,0.35
ethanolconcentration,timesnet,0.2546507795483205,0.3460265826446647,0.0913758030963441,0.0001632443079242,5.444744402297201e-09,1.165743966528321,0.9999999999899996,0.0,0.0
fingermovements,timesnet,0.4781212364512244,0.5398159263705482,0.0616946899193238,0.0004778014184651,6.712998209238954e-05,6.124161271064866,0.9999999999899998,-0.0137251683278009,0.6
handmovementdirection,timesnet,0.4931426332288401,0.5740197675681546,0.0808771343393145,0.0002854077222149,1.1122313309765617e-07,0.9899009169526742,0.9999999999899996,0.0,0.0
handwriting,timesnet,0.2832777240825196,0.1448994392910749,-0.1383782847914446,0.0001565939187167,0.0003234520867876,0.2429830989535751,0.8510652833251628,0.0,0.0
har,timesnet,0.8575369595721586,0.8902911454714907,0.0327541858993321,0.0002704276575282,2.9534476889832124,1.2218957990441432,0.9896848139762924,0.0,0.0
heartbeat,timesnet,0.5577660594439118,0.503030303030303,-0.0547357564136087,0.0007031334189723,9.57757843889157,4.120208436999549,0.9999999999899998,0.0,0.0
japanesevowels,timesnet,,,,,,,,,
libras,timesnet,0.7309435130408459,0.7122572818384335,-0.0186862312024124,0.000128881840557,0.2538078242504996,0.5275506714835868,0.9733887674806704,0.0,0.0
motorimagery,timesnet,0.5015766453056658,0.4403970013726111,-0.0611796439330546,0.0007201425283773,0.0001057277444413,5.862721856486682,0.9999999999899996,0.0,0.0
natops,timesnet,0.8282384774027268,0.7459446587811698,-0.082293818621557,0.0004446924098581,2.9111204714710643,5.820767181549378,0.99999999999,-0.0023829457641113,0.6
pendigits,timesnet,0.9779330868949028,0.9782825220524602,0.0003494351575574,0.0001273656651686,1.4694899432914184e-07,0.0441086306557393,0.1913791677330653,0.0,0.0
racketsports,timesnet,0.8149265770983505,0.7883495785036881,-0.0265769985946623,0.0002215933375877,0.0001208970324325,2.143864856004255,0.9999999999899996,0.0,0.0
selfregulationscp2,timesnet,0.4610944782246365,0.4943039733259239,0.0332094951012873,0.0002388627355389,1.158188713226713e-05,0.4101357522299036,0.9999999999899998,0.0,0.0
uwavegesturelibrary,timesnet,0.855295567781729,0.8547487465881032,-0.0005468211936258,0.000157695714542,0.001673506504523,0.539991542003117,0.9238782910977644,0.0,0.0
