epoch,p_lraes,p_zpia,reward_lraes,reward_zpia,aug_loss_lraes,aug_loss_zpia,margin_lraes,margin_zpia
1,0.5,0.5,0.5315907895565033,0.5208867788314819,0.582394411166509,0.5764022370179495,0.18641683955987295,0.1434777776400248
2,0.5266582912877997,0.47334170871220027,0.7487519184748331,0.7602535883585612,0.3312690854072571,0.33477916320164997,1.4564611514409382,1.6038074096043904
3,0.4847010983705604,0.5152989016294396,0.8205056190490723,0.8181535005569458,0.19984027743339539,0.2133898288011551,2.369551420211792,2.2166589895884194
4,0.4982297612384584,0.5017702387615416,0.8557564616203308,0.8666265606880188,0.15213785568873087,0.14774620036284128,2.758862574895223,2.9232545693715415
5,0.4720461628643621,0.5279538371356379,0.936672588189443,0.9246048331260681,0.08386820430556934,0.10047594954570134,3.601625998814901,3.4307709534962973
6,0.5160468642329541,0.4839531357670459,0.9469292958577474,0.9012064933776855,0.06767374773820241,0.07927394409974416,3.9113150437672934,3.625739256540934
7,0.6149790032042395,0.3850209967957605,0.9497469266255697,0.9705300132433573,0.0556029329697291,0.05459517861406008,4.224917729695638,4.30284055074056
8,0.5062671636551224,0.49373283634487763,0.9568734765052795,0.9162981510162354,0.05917441720763842,0.09098417063554128,4.475090026855469,4.15781553586324
9,0.5993488015575968,0.40065119844240316,0.9694838921229044,0.9311345815658569,0.040503653387228646,0.06624297052621841,4.874764760335286,4.291427930196126
10,0.6411086959756435,0.35889130402435654,0.9585363070170084,0.9380918939908346,0.04985444558163484,0.049415538708368935,4.71054204305013,4.5483706792195635
11,0.6209649853092589,0.3790350146907411,0.887418270111084,0.9603148301442465,0.07448129790524642,0.03544080505768458,4.181177854537964,5.0107747713724775
12,0.4048744659682262,0.5951255340317739,0.9679106672604879,0.9703765908877054,0.034418838719526924,0.032746522376934685,5.1326955159505205,5.076233704884847
13,0.44627367317366473,0.5537263268263353,0.9268012444178263,0.9048776427904764,0.053148978700240455,0.04775677931805452,4.537327925364177,4.379099527994792
14,0.5270842798490234,0.4729157201509766,0.9188663760821024,0.9456138213475546,0.06373479341467221,0.04596216728289922,4.582231203715007,4.649320761362712
15,0.4482238279064752,0.5517761720935248,0.9384573101997375,0.9436819354693095,0.06143838663895925,0.04392481098572413,4.80682373046875,4.737887064615886
