anchor_index,tid,class_id,candidate_order,direction_id,sign,gamma_requested,gamma_used,direction_norm,safe_upper_bound,safe_radius_ratio,manifold_margin,algo,direction_bank_source,transport_error_fro,transport_error_logeuc,bridge_cond_A,metric_preservation_error,margin_aug,feedback_weight
2,atrialfibrillation_train_0,0,0,1,1.0,0.1,0.1,1.0,0.25115601974636104,0.99999999999,0.5023120394932244,zpia,zpia_telm2,0.0001349446002452425,0.024413027314408545,1.091769678366182,0.14382517804952444,0.39609676599502563,0.5977495060127698
0,atrialfibrillation_train_1,0,0,1,1.0,0.1,0.1,1.0,0.24648823566997005,0.99999999999,0.4929764713404331,zpia,zpia_telm2,0.00013469713119715706,0.027835344871679702,1.0829347933866502,0.13264285903883907,0.3819586932659149,0.5943454289363064
6,atrialfibrillation_train_11,2,0,9,-1.0,0.1,0.1,1.0,0.3029302949274423,0.99999999999,0.6058605898554905,zpia,zpia_telm2,0.00012439034690346648,0.013477168983917726,1.0708566858793342,0.09932426503224419,-1.0654112100601196,0.2562767241772933
4,atrialfibrillation_train_12,2,0,6,-1.0,0.1,0.1,1.0,0.5963419770576299,0.99999999999,1.1926839541164527,zpia,zpia_telm2,0.00012438769907539355,0.0021630117565986247,1.0711226546498864,0.09966271729443753,-0.7074794769287109,0.33015602266641975
9,atrialfibrillation_train_13,2,0,2,1.0,0.1,0.1,1.0,1.8324726290679858,0.99999999999,3.6649452581396367,zpia,zpia_telm2,0.00013693504131673064,0.00758033953560666,1.0411406468228899,0.10539026587574969,-0.8597047924995422,0.29740102665225693
1,atrialfibrillation_train_14,2,0,9,-1.0,0.1,0.1,1.0,0.6860882464316801,0.99999999999,1.3721764928647324,zpia,zpia_telm2,0.00012463531455006788,0.12025086940950215,1.078322728255103,0.10819886214163676,-0.49249887466430664,0.3793050735764683
3,atrialfibrillation_train_2,0,0,6,-1.0,0.1,0.1,1.0,0.5763448512249463,0.99999999999,1.1526897024510454,zpia,zpia_telm2,0.0001243786364307981,0.005315281859074286,1.0705707414261871,0.09899209801841645,0.8144974112510681,0.6930670464516389
8,atrialfibrillation_train_4,0,0,0,1.0,0.1,0.1,1.0,0.2647049908588184,0.99999999999,0.5294099817181662,zpia,zpia_telm2,0.00012583974064621042,0.017622106081686677,1.1135316750898843,0.15080385351668554,0.4695458710193634,0.615276264521267
7,atrialfibrillation_train_5,1,0,1,-1.0,0.1,0.1,1.0,0.24648823566997005,0.99999999999,0.4929764713404331,zpia,zpia_telm2,0.00012253201856633422,0.035780153434630674,1.091750289701569,0.12937678106503836,-0.00017851591110229492,0.49995537102234294
5,atrialfibrillation_train_7,1,0,3,-1.0,0.1,0.1,1.0,0.435047399206933,0.99999999999,0.8700947984147362,zpia,zpia_telm2,0.00012732772930475572,0.02798534392995944,1.074680197941839,0.10148586635937257,0.17927245795726776,0.5446984663330415
11,atrialfibrillation_train_8,1,0,4,-1.0,0.1,0.1,0.9999999403953552,0.5763448855777785,0.99999999999,1.1526897024510454,zpia,zpia_telm2,0.00012457804395987518,0.01358403892784825,1.090751866359214,0.12379925723689582,0.016590118408203125,0.50414743447692
10,atrialfibrillation_train_9,1,0,1,-1.0,0.1,0.1,1.0,0.24743156746443465,0.99999999999,0.4948631349293642,zpia,zpia_telm2,0.00012242805266121987,0.025089776947689504,1.088303858291794,0.12558904223365058,-0.16722849011421204,0.4582900350725668
