dataset,seed,window_len,sparse_hop_len,dense_hop_len,force_hop_len,z_dim,num_classes,gru_hidden_dim,dropout,epochs,batch_size,lr,weight_decay,patience,minirocket_n_kernels,minirocket_n_jobs
natops,1,28,5,1,1,300,6,128,0.3,3,32,0.001,0.0001,8,4000,1
selfregulationscp1,1,179,90,1,1,21,2,128,0.3,3,32,0.001,0.0001,8,4000,1
