dataset,mba_core_lraes_minus_baseline,mba_feedback_lraes_minus_mba_core_lraes,rc4_osf_minus_mba_feedback_lraes,mba_core_rc4_fused_concat_minus_mba_core_lraes,mba_core_rc4_fused_concat_minus_rc4_osf,mba_core_spectral_osf_concat_minus_mba_core_lraes,mba_core_spectral_osf_concat_minus_mba_core_rc4_fused_concat
atrialfibrillation,-0.06388426388426388,0.07975727975727978,0.0,0.0732804232804233,-0.006476856476856474,0.14920634920634926,0.07592592592592595
ering,-0.0019014101093942637,-0.007195424209176515,-0.0063691072446750985,0.08893868965864271,0.10250322111249432,0.08166964666700638,-0.007269042991636332
handmovementdirection,0.0854751581864846,-0.09210158766380522,0.023801423195357496,0.04922248288121883,0.11752264734966655,-0.016824636922347758,-0.06604711980356659
handwriting,0.06650666630920105,-0.0764604584242854,0.002627440811287962,-0.02178525620804117,0.05204776140495626,-0.032280320107070604,-0.010495063899029433
japanesevowels,0.020804216119394647,-0.005969714426516393,-0.0025917240798158936,-0.015370924893604032,-0.006809486387271746,-0.00993239254399092,0.005438532349613112
natops,0.04455061851608799,-0.009103088957399197,-0.00079677663818567,-0.0015828778783396613,0.008316987717245206,-0.025521613532497378,-0.023938735654157717
racketsports,0.018660381376841784,-0.014795026557062774,-0.004862180799542037,-0.02691639335416074,-0.007259185997555928,-0.023048642954811904,0.003867750399348835
