arm,mean_f1_mean_over_datasets,mean_gain_vs_baseline,win_count_vs_mba_core_lraes,win_count_vs_rc4_osf,mean_delta_vs_mba_core_lraes,mean_delta_vs_rc4_osf
baseline_ce,0.6212367036616004,0.0,2,3,-0.024315909502050276,-0.008021774468258996
mba_core_lraes,0.6455526131636508,0.024315909502050276,0,6,0.0,0.01629413503379128
mba_feedback_lraes,0.6275714673806556,0.006334763719055174,1,4,-0.0179811457829951,-0.0016870107492038228
rc4_osf,0.6292584781298594,0.008021774468258996,1,0,-0.01629413503379128,0.0
mba_core_rc4_fused_concat,0.666379205090242,0.04514250142864159,3,4,0.02082659192659132,0.0371207269603826
mba_core_spectral_osf_concat,0.6631623831368846,0.04192567947528414,2,4,0.01760976997323387,0.03390390500702515
