dataset,seed,base_f1_mba_core_lraes,base_f1_mba_feedback_lraes,base_f1_rc4_osf,baseline_span,baseline_drift_tol,baseline_drift_flag
atrialfibrillation,1,,,,0.0,0.0001,False
atrialfibrillation,2,,,,0.0,0.0001,False
atrialfibrillation,3,,,,0.0,0.0001,False
ering,1,,,,0.0,0.0001,False
ering,2,,,,0.0,0.0001,False
ering,3,,,,0.0,0.0001,False
handmovementdirection,1,,,,0.0,0.0001,False
handmovementdirection,2,,,,0.0,0.0001,False
handmovementdirection,3,,,,0.0,0.0001,False
handwriting,1,,,,,0.0001,False
handwriting,2,,,,,0.0001,False
handwriting,3,,,,0.0,0.0001,False
japanesevowels,1,,,,0.0,0.0001,False
japanesevowels,2,,,,0.0,0.0001,False
japanesevowels,3,,,,0.0,0.0001,False
natops,1,,,,0.0,0.0001,False
natops,2,,,,0.0,0.0001,False
natops,3,,,,0.0,0.0001,False
racketsports,1,,,,0.0,0.0001,False
racketsports,2,,,,0.0,0.0001,False
racketsports,3,,,,0.0,0.0001,False
