split,epoch,class_idx,committee_idx,sample_idx_in_batch,ridge_mode,solve_mode,support_mode,prototype_aggregation,input_norm_mode,mean_trace,condition_number,effective_ridge,weight_norm
train,1,0,-1,49,fixed,pinv,same_only,pooled,none,0.0078125,97008960.0,0.0,1.0154129266738892
train,1,0,-1,50,fixed,pinv,same_only,pooled,none,0.007812499068677425,97007960.0,0.0,1.0154128074645996
train,1,0,-1,51,fixed,pinv,same_only,pooled,none,0.007812499068677425,97008664.0,0.0,1.0154130458831787
train,1,0,-1,52,fixed,pinv,same_only,pooled,none,0.0078125,97008984.0,0.0,1.0154128074645996
train,1,0,-1,53,fixed,pinv,same_only,pooled,none,0.0078125,97008240.0,0.0,1.0154129266738892
train,1,0,-1,54,fixed,pinv,same_only,pooled,none,0.0078125,97008168.0,0.0,1.0154131650924683
train,1,0,-1,55,fixed,pinv,same_only,pooled,none,0.0078125,97008000.0,0.0,1.01541268825531
train,1,0,-1,56,fixed,pinv,same_only,pooled,none,0.0078125,97008560.0,0.0,1.0154128074645996
train,1,0,-1,57,fixed,pinv,same_only,pooled,none,0.0078125,97008872.0,0.0,1.0154130458831787
train,1,0,-1,58,fixed,pinv,same_only,pooled,none,0.0078125,97006504.0,0.0,1.0154131650924683
train,1,0,-1,59,fixed,pinv,same_only,pooled,none,0.0078125,97006216.0,0.0,1.01541268825531
train,1,0,-1,60,fixed,pinv,same_only,pooled,none,0.0078125,97008672.0,0.0,1.0154130458831787
train,1,0,-1,61,fixed,pinv,same_only,pooled,none,0.007812499534338713,97007744.0,0.0,1.0154128074645996
train,1,0,-1,62,fixed,pinv,same_only,pooled,none,0.007812499534338713,97008752.0,0.0,1.0154130458831787
train,1,0,-1,63,fixed,pinv,same_only,pooled,none,0.007812499534338713,97007416.0,0.0,1.0154129266738892
train,1,1,-1,0,fixed,pinv,same_only,pooled,none,0.007812500931322575,96490088.0,0.0,1.018140435218811
train,1,1,-1,1,fixed,pinv,same_only,pooled,none,0.0078125,96492640.0,0.0,1.018140196800232
train,1,1,-1,2,fixed,pinv,same_only,pooled,none,0.007812499534338713,96491800.0,0.0,1.0181403160095215
train,1,1,-1,3,fixed,pinv,same_only,pooled,none,0.0078125,96488832.0,0.0,1.0181405544281006
train,1,1,-1,4,fixed,pinv,same_only,pooled,none,0.0078125,96489176.0,0.0,1.0181403160095215
train,1,1,-1,5,fixed,pinv,same_only,pooled,none,0.0078125,96489176.0,0.0,1.0181403160095215
train,1,1,-1,6,fixed,pinv,same_only,pooled,none,0.007812500931322575,96489176.0,0.0,1.0181405544281006
train,1,1,-1,7,fixed,pinv,same_only,pooled,none,0.007812500931322575,96489800.0,0.0,1.0181403160095215
train,1,1,-1,8,fixed,pinv,same_only,pooled,none,0.0078125,96490816.0,0.0,1.018140435218811
train,1,1,-1,9,fixed,pinv,same_only,pooled,none,0.0078125,96493008.0,0.0,1.018140435218811
train,1,1,-1,10,fixed,pinv,same_only,pooled,none,0.0078125,96488592.0,0.0,1.018140435218811
train,1,1,-1,11,fixed,pinv,same_only,pooled,none,0.007812500931322575,96489152.0,0.0,1.018140435218811
train,1,1,-1,12,fixed,pinv,same_only,pooled,none,0.0078125,96489856.0,0.0,1.018140196800232
train,1,1,-1,13,fixed,pinv,same_only,pooled,none,0.007812500931322575,96489272.0,0.0,1.018140196800232
train,1,1,-1,14,fixed,pinv,same_only,pooled,none,0.007812499534338713,96488192.0,0.0,1.018140435218811
train,1,1,-1,15,fixed,pinv,same_only,pooled,none,0.0078125,96490600.0,0.0,1.018140196800232
train,1,1,-1,16,fixed,pinv,same_only,pooled,none,0.0078125,96490976.0,0.0,1.018140435218811
train,1,1,-1,17,fixed,pinv,same_only,pooled,none,0.007812500931322575,96489648.0,0.0,1.0181405544281006
train,1,1,-1,18,fixed,pinv,same_only,pooled,none,0.0078125,96490208.0,0.0,1.0181403160095215
train,1,1,-1,19,fixed,pinv,same_only,pooled,none,0.0078125,96486864.0,0.0,1.0181405544281006
train,1,1,-1,20,fixed,pinv,same_only,pooled,none,0.0078125,96490040.0,0.0,1.0181405544281006
train,1,1,-1,21,fixed,pinv,same_only,pooled,none,0.0078125,96491128.0,0.0,1.0181406736373901
train,1,1,-1,22,fixed,pinv,same_only,pooled,none,0.0078125,96489032.0,0.0,1.018140435218811
train,1,1,-1,23,fixed,pinv,same_only,pooled,none,0.0078125,96488632.0,0.0,1.0181400775909424
train,1,1,-1,24,fixed,pinv,same_only,pooled,none,0.0078125,96491336.0,0.0,1.0181407928466797
train,1,1,-1,25,fixed,pinv,same_only,pooled,none,0.0078125,96488912.0,0.0,1.0181405544281006
train,1,1,-1,26,fixed,pinv,same_only,pooled,none,0.0078125,96491752.0,0.0,1.018140435218811
train,1,1,-1,27,fixed,pinv,same_only,pooled,none,0.0078125,96489416.0,0.0,1.0181405544281006
train,1,1,-1,28,fixed,pinv,same_only,pooled,none,0.007812500931322575,96488592.0,0.0,1.0181403160095215
train,1,1,-1,29,fixed,pinv,same_only,pooled,none,0.0078125,96490472.0,0.0,1.0181405544281006
train,1,1,-1,30,fixed,pinv,same_only,pooled,none,0.0078125,96491192.0,0.0,1.0181403160095215
train,1,1,-1,31,fixed,pinv,same_only,pooled,none,0.0078125,96488968.0,0.0,1.0181403160095215
train,1,1,-1,32,fixed,pinv,same_only,pooled,none,0.0078125,96492200.0,0.0,1.0181406736373901
train,1,1,-1,33,fixed,pinv,same_only,pooled,none,0.0078125,96489672.0,0.0,1.018140435218811
train,1,1,-1,34,fixed,pinv,same_only,pooled,none,0.0078125,96488984.0,0.0,1.018140435218811
train,1,1,-1,35,fixed,pinv,same_only,pooled,none,0.0078125,96490096.0,0.0,1.0181407928466797
train,1,1,-1,36,fixed,pinv,same_only,pooled,none,0.0078125,96492136.0,0.0,1.0181406736373901
train,1,1,-1,37,fixed,pinv,same_only,pooled,none,0.0078125,96490352.0,0.0,1.0181403160095215
train,1,1,-1,38,fixed,pinv,same_only,pooled,none,0.0078125,96490696.0,0.0,1.018140196800232
train,1,1,-1,39,fixed,pinv,same_only,pooled,none,0.00781250186264515,96493664.0,0.0,1.0181406736373901
train,1,1,-1,40,fixed,pinv,same_only,pooled,none,0.0078125,96491560.0,0.0,1.0181406736373901
train,1,1,-1,41,fixed,pinv,same_only,pooled,none,0.0078125,96489192.0,0.0,1.0181405544281006
train,1,1,-1,42,fixed,pinv,same_only,pooled,none,0.007812500931322575,96489296.0,0.0,1.0181405544281006
train,1,1,-1,43,fixed,pinv,same_only,pooled,none,0.0078125,96490944.0,0.0,1.0181406736373901
train,1,1,-1,44,fixed,pinv,same_only,pooled,none,0.0078125,96490040.0,0.0,1.0181403160095215
train,1,1,-1,45,fixed,pinv,same_only,pooled,none,0.0078125,96491680.0,0.0,1.018140435218811
train,1,1,-1,46,fixed,pinv,same_only,pooled,none,0.0078125,96488432.0,0.0,1.0181409120559692
train,1,1,-1,47,fixed,pinv,same_only,pooled,none,0.0078125,96491096.0,0.0,1.0181405544281006
train,1,1,-1,48,fixed,pinv,same_only,pooled,none,0.0078125,96489528.0,0.0,1.018140435218811
train,1,1,-1,49,fixed,pinv,same_only,pooled,none,0.0078125,96490176.0,0.0,1.0181403160095215
train,1,1,-1,50,fixed,pinv,same_only,pooled,none,0.0078125,96491608.0,0.0,1.0181405544281006
train,1,1,-1,51,fixed,pinv,same_only,pooled,none,0.0078125,96490136.0,0.0,1.018140435218811
train,1,1,-1,52,fixed,pinv,same_only,pooled,none,0.007812500931322575,96493416.0,0.0,1.018140435218811
train,1,1,-1,53,fixed,pinv,same_only,pooled,none,0.007812500931322575,96490160.0,0.0,1.0181406736373901
train,1,1,-1,54,fixed,pinv,same_only,pooled,none,0.0078125,96490696.0,0.0,1.018140435218811
train,1,1,-1,55,fixed,pinv,same_only,pooled,none,0.0078125,96492176.0,0.0,1.018140435218811
train,1,1,-1,56,fixed,pinv,same_only,pooled,none,0.0078125,96492144.0,0.0,1.0181406736373901
train,1,1,-1,57,fixed,pinv,same_only,pooled,none,0.0078125,96491992.0,0.0,1.0181406736373901
train,1,1,-1,58,fixed,pinv,same_only,pooled,none,0.007812500931322575,96493328.0,0.0,1.0181403160095215
train,1,1,-1,59,fixed,pinv,same_only,pooled,none,0.0078125,96491744.0,0.0,1.0181405544281006
train,1,1,-1,60,fixed,pinv,same_only,pooled,none,0.0078125,96487832.0,0.0,1.018140435218811
train,1,1,-1,61,fixed,pinv,same_only,pooled,none,0.0078125,96493248.0,0.0,1.0181403160095215
train,1,1,-1,62,fixed,pinv,same_only,pooled,none,0.0078125,96489568.0,0.0,1.0181406736373901
train,1,1,-1,63,fixed,pinv,same_only,pooled,none,0.007812500931322575,96490704.0,0.0,1.0181407928466797
train,1,2,-1,0,fixed,pinv,same_only,pooled,none,0.0078125,96310208.0,0.0,1.0190802812576294
train,1,2,-1,1,fixed,pinv,same_only,pooled,none,0.0078125,96312336.0,0.0,1.0190802812576294
train,1,2,-1,2,fixed,pinv,same_only,pooled,none,0.0078125,96313176.0,0.0,1.0190799236297607
train,1,2,-1,3,fixed,pinv,same_only,pooled,none,0.007812499534338713,96307648.0,0.0,1.0190798044204712
train,1,2,-1,4,fixed,pinv,same_only,pooled,none,0.0078125,96311648.0,0.0,1.0190794467926025
train,1,2,-1,5,fixed,pinv,same_only,pooled,none,0.0078125,96308928.0,0.0,1.0190800428390503
train,1,2,-1,6,fixed,pinv,same_only,pooled,none,0.007812500931322575,96307072.0,0.0,1.0190801620483398
train,1,2,-1,7,fixed,pinv,same_only,pooled,none,0.0078125,96309160.0,0.0,1.0190799236297607
train,1,2,-1,8,fixed,pinv,same_only,pooled,none,0.0078125,96311304.0,0.0,1.0190802812576294
train,1,2,-1,9,fixed,pinv,same_only,pooled,none,0.0078125,96311240.0,0.0,1.0190802812576294
train,1,2,-1,10,fixed,pinv,same_only,pooled,none,0.0078125,96309456.0,0.0,1.0190800428390503
train,1,2,-1,11,fixed,pinv,same_only,pooled,none,0.0078125,96308816.0,0.0,1.0190800428390503
train,1,2,-1,12,fixed,pinv,same_only,pooled,none,0.007812500931322575,96310488.0,0.0,1.0190798044204712
train,1,2,-1,13,fixed,pinv,same_only,pooled,none,0.0078125,96311840.0,0.0,1.0190800428390503
train,1,2,-1,14,fixed,pinv,same_only,pooled,none,0.007812500931322575,96307776.0,0.0,1.0190800428390503
train,1,2,-1,15,fixed,pinv,same_only,pooled,none,0.0078125,96309392.0,0.0,1.0190798044204712
train,1,2,-1,16,fixed,pinv,same_only,pooled,none,0.0078125,96313216.0,0.0,1.0190801620483398
train,1,2,-1,17,fixed,pinv,same_only,pooled,none,0.0078125,96309728.0,0.0,1.0190802812576294
train,1,2,-1,18,fixed,pinv,same_only,pooled,none,0.0078125,96310976.0,0.0,1.0190796852111816
train,1,2,-1,19,fixed,pinv,same_only,pooled,none,0.0078125,96309648.0,0.0,1.019079566001892
train,1,2,-1,20,fixed,pinv,same_only,pooled,none,0.0078125,96312096.0,0.0,1.0190800428390503
train,1,2,-1,21,fixed,pinv,same_only,pooled,none,0.0078125,96311432.0,0.0,1.0190800428390503
train,1,2,-1,22,fixed,pinv,same_only,pooled,none,0.0078125,96313832.0,0.0,1.0190799236297607
train,1,2,-1,23,fixed,pinv,same_only,pooled,none,0.007812500931322575,96310560.0,0.0,1.0190802812576294
train,1,2,-1,24,fixed,pinv,same_only,pooled,none,0.0078125,96309976.0,0.0,1.0190801620483398
train,1,2,-1,25,fixed,pinv,same_only,pooled,none,0.007812499534338713,96309536.0,0.0,1.0190799236297607
train,1,2,-1,26,fixed,pinv,same_only,pooled,none,0.007812500931322575,96310816.0,0.0,1.0190799236297607
train,1,2,-1,27,fixed,pinv,same_only,pooled,none,0.0078125,96308568.0,0.0,1.0190801620483398
train,1,2,-1,28,fixed,pinv,same_only,pooled,none,0.0078125,96309040.0,0.0,1.0190799236297607
train,1,2,-1,29,fixed,pinv,same_only,pooled,none,0.0078125,96312888.0,0.0,1.0190798044204712
train,1,2,-1,30,fixed,pinv,same_only,pooled,none,0.0078125,96310696.0,0.0,1.0190800428390503
train,1,2,-1,31,fixed,pinv,same_only,pooled,none,0.0078125,96312800.0,0.0,1.0190802812576294
train,1,2,-1,32,fixed,pinv,same_only,pooled,none,0.0078125,96311584.0,0.0,1.0190799236297607
train,1,2,-1,33,fixed,pinv,same_only,pooled,none,0.0078125,96309176.0,0.0,1.019080400466919
train,1,2,-1,34,fixed,pinv,same_only,pooled,none,0.007812499534338713,96311560.0,0.0,1.0190798044204712
train,1,2,-1,35,fixed,pinv,same_only,pooled,none,0.007812500931322575,96309672.0,0.0,1.0190800428390503
train,1,2,-1,36,fixed,pinv,same_only,pooled,none,0.0078125,96309832.0,0.0,1.0190799236297607
