anchor_index,tid,tier_ratio,tier_label,direction_id,sign,safe_upper_bound,gamma_used,safe_radius_ratio,y,cA_transport_error_logeuc,cA_transport_error_fro
14,heartbeat_train_73,0.5,mid,4,-1.0,0.1,0.05,0.499999999995,1,9.408014842295803,0.0007027033270961805
14,heartbeat_train_73,0.9,edge,4,-1.0,0.1,0.09000000000000001,0.899999999991,1,9.410688018716318,0.0007026315739658767
15,heartbeat_train_3,0.25,small,5,-1.0,0.1,0.025,0.2499999999975,0,9.44143785926911,0.0007033637203337449
15,heartbeat_train_3,0.5,mid,5,-1.0,0.1,0.05,0.499999999995,0,9.441946394479825,0.0007039112915418306
15,heartbeat_train_3,0.9,edge,5,-1.0,0.1,0.09000000000000001,0.899999999991,0,9.442763975101586,0.000705013541920254
16,heartbeat_train_87,0.25,small,1,-1.0,0.1,0.025,0.2499999999975,1,9.812795187124966,0.0007014966702381337
16,heartbeat_train_87,0.5,mid,1,-1.0,0.1,0.05,0.499999999995,1,9.811966351433345,0.000700089936494412
16,heartbeat_train_87,0.9,edge,1,-1.0,0.1,0.09000000000000001,0.899999999991,1,9.81063994287741,0.0006978786533630403
17,heartbeat_train_104,0.25,small,2,-1.0,0.1,0.025,0.2499999999975,1,10.281873466626406,0.0007026363240483523
17,heartbeat_train_104,0.5,mid,2,-1.0,0.1,0.05,0.499999999995,1,10.28083945054387,0.0007023840874341471
17,heartbeat_train_104,0.9,edge,2,-1.0,0.1,0.09000000000000001,0.899999999991,1,10.279213890415978,0.0007020495346012171
18,heartbeat_train_194,0.25,small,1,-1.0,0.1,0.025,0.2499999999975,1,9.796862956014206,0.0007015099585226615
18,heartbeat_train_194,0.5,mid,1,-1.0,0.1,0.05,0.499999999995,1,9.795092494294058,0.0007001158814590261
18,heartbeat_train_194,0.9,edge,1,-1.0,0.1,0.09000000000000001,0.899999999991,1,9.792258714700445,0.000697922956573488
19,heartbeat_train_74,0.25,small,2,1.0,0.1,0.025,0.2499999999975,1,7.360733296612875,0.0007032438083024159
19,heartbeat_train_74,0.5,mid,2,1.0,0.1,0.05,0.499999999995,1,7.361349703466754,0.0007036195060296357
19,heartbeat_train_74,0.9,edge,2,1.0,0.1,0.09000000000000001,0.899999999991,1,7.362327751971317,0.0007043364552018701
20,heartbeat_train_117,0.25,small,5,-1.0,0.1,0.025,0.2499999999975,1,9.587679980484404,0.0007033879814025946
20,heartbeat_train_117,0.5,mid,5,-1.0,0.1,0.05,0.499999999995,1,9.58863969211835,0.0007040306459632512
20,heartbeat_train_117,0.9,edge,5,-1.0,0.1,0.09000000000000001,0.899999999991,1,9.590178196675163,0.0007054399793784258
21,heartbeat_train_110,0.25,small,4,-1.0,0.1,0.025,0.2499999999975,1,9.44677320172866,0.0007028008695878511
21,heartbeat_train_110,0.5,mid,4,-1.0,0.1,0.05,0.499999999995,1,9.44875952464414,0.0007027406407361418
21,heartbeat_train_110,0.9,edge,4,-1.0,0.1,0.09000000000000001,0.899999999991,1,9.451940427603212,0.0007027696568900067
22,heartbeat_train_96,0.25,small,1,1.0,0.1,0.025,0.2499999999975,1,10.253101295351492,0.0007043546949688397
22,heartbeat_train_96,0.5,mid,1,1.0,0.1,0.05,0.499999999995,1,10.25470087114318,0.0007058055607950961
22,heartbeat_train_96,0.9,edge,1,1.0,0.1,0.09000000000000001,0.899999999991,1,10.2572603502854,0.0007081667301202073
23,heartbeat_train_34,0.25,small,1,1.0,0.1,0.025,0.2499999999975,0,10.723821764975652,0.0007043547895597152
23,heartbeat_train_34,0.5,mid,1,1.0,0.1,0.05,0.499999999995,0,10.725010212220544,0.0007058055911156847
23,heartbeat_train_34,0.9,edge,1,1.0,0.1,0.09000000000000001,0.899999999991,0,10.726911415440231,0.0007081657064905539
24,heartbeat_train_120,0.25,small,2,1.0,0.1,0.025,0.2499999999975,1,11.077915305311024,0.0007032366492696573
24,heartbeat_train_120,0.5,mid,2,1.0,0.1,0.05,0.499999999995,1,11.080216140437587,0.0007035881478511608
24,heartbeat_train_120,0.9,edge,2,1.0,0.1,0.09000000000000001,0.899999999991,1,11.083962159427651,0.0007042294556268055
25,heartbeat_train_81,0.25,small,0,1.0,0.1,0.025,0.2499999999975,1,9.662912704472609,0.0007039371760751531
25,heartbeat_train_81,0.5,mid,0,1.0,0.1,0.05,0.499999999995,1,9.662127967328182,0.0007049710280309293
25,heartbeat_train_81,0.9,edge,0,1.0,0.1,0.09000000000000001,0.899999999991,1,9.660871443591464,0.0007066656527009767
26,heartbeat_train_38,0.25,small,4,1.0,0.1,0.025,0.2499999999975,0,8.737737401011827,0.0007031081389077944
26,heartbeat_train_38,0.5,mid,4,1.0,0.1,0.05,0.499999999995,0,8.73568082281698,0.0007033363449186482
26,heartbeat_train_38,0.9,edge,4,1.0,0.1,0.09000000000000001,0.899999999991,0,8.732390804423384,0.0007037916484469584
27,heartbeat_train_39,0.25,small,5,1.0,0.1,0.025,0.2499999999975,0,10.219176542249228,0.000702569354614224
27,heartbeat_train_39,0.5,mid,5,1.0,0.1,0.05,0.499999999995,0,10.218726319399163,0.0007022701421527417
27,heartbeat_train_39,0.9,edge,5,1.0,0.1,0.09000000000000001,0.899999999991,0,10.218014640250797,0.0007018998571688774
28,heartbeat_train_28,0.25,small,2,-1.0,0.1,0.025,0.2499999999975,0,8.596598735665452,0.0007027146321351447
28,heartbeat_train_28,0.5,mid,2,-1.0,0.1,0.05,0.499999999995,0,8.593728459772244,0.0007026540407032145
28,heartbeat_train_28,0.9,edge,2,-1.0,0.1,0.09000000000000001,0.899999999991,0,8.589149637882372,0.0007028569316887112
29,heartbeat_train_180,0.25,small,5,-1.0,0.1,0.025,0.2499999999975,1,9.02786945070779,0.0007033396722493724
29,heartbeat_train_180,0.5,mid,5,-1.0,0.1,0.05,0.499999999995,1,9.027337207584509,0.000703806452606796
29,heartbeat_train_180,0.9,edge,5,-1.0,0.1,0.09000000000000001,0.899999999991,1,9.026477112986363,0.0007046595418827375
30,heartbeat_train_93,0.25,small,0,1.0,0.1,0.025,0.2499999999975,1,10.916561173508557,0.0007039338805959787
30,heartbeat_train_93,0.5,mid,0,1.0,0.1,0.05,0.499999999995,1,10.915364758680228,0.0007049638523635395
30,heartbeat_train_93,0.9,edge,0,1.0,0.1,0.09000000000000001,0.899999999991,1,10.913451401001245,0.0007066509708992502
31,heartbeat_train_139,0.25,small,3,1.0,0.1,0.025,0.2499999999975,1,10.012266257099409,0.0007039804558246491
31,heartbeat_train_139,0.5,mid,3,1.0,0.1,0.05,0.499999999995,1,10.018157170078936,0.000705070077740113
31,heartbeat_train_139,0.9,edge,3,1.0,0.1,0.09000000000000001,0.899999999991,1,10.027601571017312,0.0007068805836191605
