anchor_index,candidate_local_index,tid,y,delta_norm_raw,delta_norm_safe,safe_radius_ratio,manifold_margin,direction_id,sign,ray_id,tier_label,tier_ratio,safe_upper_bound,gamma_used,aug_index,transport_error_fro,transport_error_logeuc,bridge_cond_A,metric_preservation_error,feedback_weight,margin_aug,aug_seen_count,alignment_cosine,is_conflict,entropy_orig,entropy_aug,entropy_shift,probe_margin_aug,probe_feedback_weight
0,0,atrialfibrillation_train_4,0,0.06617624773535145,0.06617624773535145,0.24999999999905556,0.529409981883341,4,-1.0,0,small,0.25,0.2647049977214553,0.06617624943036382,0,0.00012819405562383083,0.01788415978871873,1.0816666310922418,0.11108425979746735,0.23058849457951777,-8.681026676110923,30,0.1619851291179657,0.0,0.45090776681900024,0.47463172674179077,0.023723959922790527,-4.511993408203125,0.01085738092660904
0,1,atrialfibrillation_train_4,0,0.1323524954707029,0.1323524954707029,0.4999999999981111,0.529409981883341,4,-1.0,0,mid,0.5,0.2647049977214553,0.13235249886072764,1,0.0001312037234216543,0.01788603131172169,1.1699432727735797,0.2229621565986377,0.2291446219516429,-8.746145648260912,30,0.16735073924064636,0.0,0.45090776681900024,0.4991668462753296,0.048259079456329346,-4.455992221832275,0.011475577019155025
0,2,atrialfibrillation_train_4,0,0.23823449184726522,0.23823449184726522,0.8999999999966001,0.529409981883341,4,-1.0,0,edge,0.9,0.2647049977214553,0.23823449794930976,2,0.00014016964509547575,0.017846578787766618,1.3261462948858347,0.4064702247103895,0.22712405102820407,-8.835380468455453,30,0.17587673664093018,0.0,0.45090776681900024,0.5395308136940002,0.088623046875,-4.361514568328857,0.012598306871950626
1,0,atrialfibrillation_train_2,0,0.15054949050614164,0.15054949050614164,0.24999999999958486,1.2043959240503375,3,1.0,1,small,0.25,0.6021979709881795,0.15054949274704488,3,0.0001389226363251231,0.005414204989401652,1.1080242234697542,0.18203157300849745,0.6538124370699128,4.805948644131422,30,-0.07044941186904907,1.0,0.03148173168301582,0.030458686873316765,-0.0010230448096990585,-6.034353733062744,0.0023893213365226984
1,1,atrialfibrillation_train_2,0,0.3010989810122833,0.3010989810122833,0.4999999999991697,1.2043959240503375,3,1.0,1,mid,0.5,0.6021979709881795,0.30109898549408975,4,0.0001553684002868516,0.005394217271158701,1.2279198203772808,0.3946601444526448,0.6489067060872913,4.6440775230216484,30,-0.06924615800380707,1.0,0.03148173168301582,0.029544495046138763,-0.00193723663687706,-6.078240871429443,0.002286963164806366
1,2,atrialfibrillation_train_2,0,0.54197816582211,0.54197816582211,0.8999999999985054,1.2043959240503375,3,1.0,1,edge,0.9,0.6021979709881795,0.5419781738893615,5,0.00019308051072446423,0.005352750631357997,1.4476385879114613,0.8132877439002184,0.6417665905008714,4.35441431577007,30,-0.0674021765589714,1.0,0.03148173168301582,0.028338303789496422,-0.0031434278935194016,-6.139927864074707,0.0021504447795450687
2,0,atrialfibrillation_train_10,2,0.13333388800399157,0.13333388800399157,0.24999999999953126,1.066671104032999,0,1.0,2,small,0.25,0.5333355531189223,0.13333388827973058,6,0.00013801899182260804,0.09997129337055195,1.0731671139598622,0.14130576823121282,0.509438447947529,4.230787958204746,30,-0.04495786875486374,1.0,0.3039745092391968,0.3050668239593506,0.0010923147201538086,2.59726881980896,0.9306855797767639
2,1,atrialfibrillation_train_10,2,0.26666777600798314,0.26666777600798314,0.4999999999990625,1.066671104032999,0,1.0,2,mid,0.5,0.5333355531189223,0.26666777655946117,7,0.0001514033226306947,0.10243674865191744,1.1517840318266555,0.3026451302798716,0.510407245784639,4.2638069500525795,30,-0.04428107291460037,1.0,0.3039745092391968,0.30644652247428894,0.002472013235092163,2.5896353721618652,0.9301915764808655
2,2,atrialfibrillation_train_10,2,0.48000199681436967,0.48000199681436967,0.8999999999983126,1.066671104032999,0,1.0,2,edge,0.9,0.5333355531189223,0.4800019978070301,8,0.00017916383213565078,0.10577711003943628,1.289891544972965,0.6097537407722884,0.5122184719818658,4.317997491111358,30,-0.043197665363550186,1.0,0.3039745092391968,0.30901068449020386,0.00503617525100708,2.575854778289795,0.9292913675308228
3,0,atrialfibrillation_train_5,1,0.061622058939895835,0.061622058939895835,0.24999999999898576,0.4929764715196597,3,-1.0,3,small,0.25,0.2464882394285183,0.061622059857129576,9,0.00012373822893837943,0.03663333473990713,1.0412767078596876,0.06514667295389577,0.6715644430759552,1.6030160612116258,30,0.18276292085647583,0.0,0.705795407295227,0.6940807104110718,-0.011714696884155273,0.6052986979484558,0.6468676328659058
3,1,atrialfibrillation_train_5,1,0.12324411787979167,0.12324411787979167,0.4999999999979715,0.4929764715196597,3,-1.0,3,mid,0.5,0.2464882394285183,0.12324411971425915,10,0.00012081814741714636,0.036714990104361724,1.0842339818350157,0.12644528578079564,0.6731486270164218,1.639889672740052,30,0.18287095427513123,0.0,0.705795407295227,0.6809195280075073,-0.024875879287719727,0.6856275200843811,0.6649935245513916
3,2,atrialfibrillation_train_5,1,0.221839412183625,0.221839412183625,0.8999999999963486,0.4929764715196597,3,-1.0,3,edge,0.9,0.2464882394285183,0.22183941548566646,11,0.00011733049591653242,0.036839537224361056,1.1566028965170752,0.21717700147590846,0.6756143471045911,1.7048942727657657,30,0.18304982781410217,0.0,0.705795407295227,0.6564303636550903,-0.04936504364013672,0.821040689945221,0.6944571733474731
4,0,atrialfibrillation_train_1,0,0.06162205893989584,0.06162205893989584,0.24999999999898576,0.4929764715196597,2,-1.0,4,small,0.25,0.2464882357970921,0.06162205894927302,12,0.0001223850307627793,0.02695431487105988,1.0311199611001813,0.061730435855729134,0.20544462450184214,-10.560813409679879,30,-0.15935537219047546,1.0,0.3494343161582947,0.35209980607032776,0.002665489912033081,-5.125356674194336,0.005908973515033722
4,1,atrialfibrillation_train_1,0,0.12324411787979168,0.12324411787979168,0.4999999999979715,0.4929764715196597,2,-1.0,4,mid,0.5,0.2464882357970921,0.12324411789854604,13,0.00011795292913744233,0.026566422351395603,1.0632246459912396,0.11965772713902403,0.20359636284289104,-10.667899678802739,30,-0.16007773578166962,1.0,0.3494343161582947,0.3545328974723816,0.005098581314086914,-5.136528491973877,0.005843710619956255
4,2,atrialfibrillation_train_1,0,0.22183941218362502,0.22183941218362502,0.8999999999963487,0.4929764715196597,2,-1.0,4,edge,0.9,0.2464882357970921,0.22183941221738288,14,0.0001117424253445252,0.025894366705566968,1.1166938632631955,0.20500883827130256,0.2007881576860127,-10.828919873107225,30,-0.1612350195646286,1.0,0.3494343161582947,0.35806387662887573,0.008629560470581055,-5.154031753540039,0.005742898676544428
