dataset,seed,ray_id,anchor_index,direction_id,sign,feedback_weight_small,alignment_cosine_small,transport_error_logeuc_small,feedback_weight_mid,alignment_cosine_mid,transport_error_logeuc_mid,feedback_weight_edge,alignment_cosine_edge,transport_error_logeuc_edge
atrialfibrillation,1,0,0,0,1.0,0.3605766805253206,0.3317539095878601,0.027667369760504042,0.3623988256097912,0.33306288719177246,0.02799594451309706,0.36589054592342857,0.33515074849128723,0.028483415903044842
atrialfibrillation,1,1,1,7,1.0,0.4766801067748323,-0.09386155009269714,0.12561643650570842,0.4636393535111286,-0.10525088757276535,0.12764357623148243,0.4411081345962733,-0.12359002232551575,0.12937774161534288
atrialfibrillation,1,2,2,4,-1.0,0.41762734457533196,-0.06528274714946747,0.023783460500426956,0.4147351324357411,-0.06341326236724854,0.023523571473327155,0.4102927278466571,-0.06048932299017906,0.023078288716578688
atrialfibrillation,1,3,3,7,-1.0,0.8281330376863479,-0.16153238713741302,0.005348300950113334,0.8226926659544309,-0.16316324472427368,0.005239261299620705,0.8137258897225063,-0.16544553637504578,0.005002999091200634
atrialfibrillation,1,4,4,7,-1.0,0.6483130534489949,0.004495404660701752,0.0022020301267639737,0.6445647190014522,0.005312697030603886,0.002196604002332661,0.6394339280823866,0.006656481884419918,0.002170835162351784
atrialfibrillation,1,5,5,1,1.0,0.5812204839816938,0.11768670380115509,0.02895145650225813,0.583813923659424,0.11769351363182068,0.029382269142405545,0.5887761919293553,0.11770424246788025,0.0300069337730967
atrialfibrillation,1,6,6,7,1.0,0.29731898801279993,0.08562762290239334,0.013750151337499803,0.3066047379942878,0.08642842620611191,0.013735287468695909,0.32123663069827063,0.08764269202947617,0.013679341360209466
atrialfibrillation,1,7,7,1,1.0,0.6502717395623525,0.06990151107311249,0.03689843302651678,0.6493133737395207,0.0699521154165268,0.03723316885337958,0.6478371458748976,0.0700337216258049,0.03773929293094423
atrialfibrillation,1,8,8,7,1.0,0.39705512800959847,0.1754433810710907,0.01796681121846025,0.4009637586891737,0.17848482728004456,0.018053363736752513,0.4067601183759962,0.18324482440948486,0.018154552536361147
atrialfibrillation,1,9,9,8,1.0,0.791027577718099,-0.09070262312889099,0.007717570727795887,0.7918732414642969,-0.08842083811759949,0.007925279022424072,0.7931294331947962,-0.08442945778369904,0.008114129879565973
atrialfibrillation,1,10,10,0,1.0,0.663761658531924,0.030045047402381897,0.02579124297237711,0.6611277205248673,0.03008696436882019,0.02609301883318413,0.6564272068440914,0.030153928324580193,0.026540620180121238
atrialfibrillation,1,11,11,8,-1.0,0.658472315967083,-0.027173936367034912,0.013617682850164993,0.6488204885584613,-0.026905275881290436,0.013759963547932855,0.6282262141195436,-0.026443036273121834,0.01396004214335213
