anchor_index,tid,class_id,candidate_order,direction_id,sign,gamma_requested,gamma_used,direction_norm,safe_upper_bound,safe_radius_ratio,manifold_margin,algo,engine_id,direction_bank_source,transport_error_fro,transport_error_logeuc,bridge_cond_A,metric_preservation_error,margin_aug,feedback_weight
0,atrialfibrillation_train_0,0,0,6,-1.0,0.1,0.1,1.0,0.2829412247002486,0.99999999999,0.565882449401063,lraes,lraes,lraes,0.00012458567442215004,0.023842620321942273,1.121431220887898,0.1612868314315432,-1.0391631126403809,0.2613115041712957
3,atrialfibrillation_train_1,0,0,1,-1.0,0.1,0.1,1.0,0.24743156746443468,0.99999999999,0.49486313492936423,lraes,lraes,lraes,0.00011694557369411759,0.026850481636925216,1.021534854479844,0.09842060628116871,-1.4120094776153564,0.1959173024506786
5,atrialfibrillation_train_10,2,0,0,-1.0,0.1,0.1,1.0,0.6513144797578012,0.99999999999,1.3026289595169052,lraes,lraes,lraes,0.00011815574797009334,0.09492222161394039,1.036561644433174,0.09663089476991052,2.070298671722412,0.8879826735962792
11,atrialfibrillation_train_11,2,0,4,1.0,0.1,0.1,1.0,0.3029302949274423,0.99999999999,0.6058605898554905,lraes,lraes,lraes,0.00012868904646024017,0.013578758338500866,1.07547542698505,0.10366273577603094,-0.31843167543411255,0.42105800804323723
1,atrialfibrillation_train_12,2,0,8,-1.0,0.1,0.1,1.0,0.6530044843337336,0.99999999999,1.3060089686687733,lraes,lraes,lraes,0.00012808482329973472,0.0022051607714721876,1.098049632119252,0.13189376163948155,1.3144155740737915,0.7882511031490685
4,atrialfibrillation_train_14,2,0,1,-1.0,0.1,0.1,1.0,0.7529377347602514,0.99999999999,1.5058754695220087,lraes,lraes,lraes,0.0001170411933170369,0.12059499337243701,1.0267709899683681,0.0999350355445759,1.7145483493804932,0.8474252958348727
7,atrialfibrillation_train_3,0,0,4,-1.0,0.1,0.1,1.0,0.4088221747918195,0.99999999999,0.8176443495844566,lraes,lraes,lraes,0.0001276799492158452,0.005808105590185085,1.0745355186342889,0.10145132409625084,-1.7092084884643555,0.15326640663167196
2,atrialfibrillation_train_4,0,0,5,1.0,0.1,0.1,1.0,0.2647049908588184,0.99999999999,0.5294099817181662,lraes,lraes,lraes,0.00013068056172233484,0.01766491473221914,1.0926074146844489,0.12933667582227298,-1.2748641967773438,0.21842571898379018
10,atrialfibrillation_train_6,1,0,4,1.0,0.1,0.1,1.0,0.3977408563020718,0.99999999999,0.7954817126049392,lraes,lraes,lraes,0.00012866452449046531,0.01040619767602155,1.0744339018195719,0.10228057098975171,-0.7967410683631897,0.31072306719425574
6,atrialfibrillation_train_7,1,0,2,1.0,0.1,0.1,1.0,0.435047399206933,0.99999999999,0.8700947984147362,lraes,lraes,lraes,0.00013834842624264927,0.028876655870510057,1.075776868645838,0.14595521679278056,-1.2883282899856567,0.21613589949074027
