dataset,seed,ray_id,anchor_index,direction_id,sign,feedback_weight_small,alignment_cosine_small,transport_error_logeuc_small,feedback_weight_mid,alignment_cosine_mid,transport_error_logeuc_mid,feedback_weight_edge,alignment_cosine_edge,transport_error_logeuc_edge
atrialfibrillation,2,0,0,3,1.0,0.45162894104917845,0.2417072355747223,0.0178377767090276,0.4523174663384755,0.24214258790016174,0.017810795772650687,0.4535152624050776,0.24282759428024292,0.017761589587014615
atrialfibrillation,2,1,1,8,-1.0,0.2411519954757144,0.034663714468479156,0.0054117668503288335,0.239436475521264,0.03437280282378197,0.005393342826785746,0.23716753128295143,0.03389659523963928,0.00536169714791041
atrialfibrillation,2,2,2,5,-1.0,0.33167425137168416,0.23097124695777893,0.0964201798371573,0.3267046682769433,0.23509137332439423,0.09534916731951332,0.3202399998980885,0.24160049855709076,0.09293516315609983
atrialfibrillation,2,3,3,5,-1.0,0.4507895251115163,-0.24100571870803833,0.03640599899096411,0.45299200154840946,-0.24236798286437988,0.036229952426171885,0.4568446300923824,-0.24449880421161652,0.035877685467102155
atrialfibrillation,2,4,4,8,1.0,0.5364315589269002,0.26007935404777527,0.027349428885729492,0.533510959148407,0.2600664496421814,0.027379374955476227,0.5286202400922775,0.2600455582141876,0.027426516565257873
atrialfibrillation,2,5,5,1,-1.0,0.41707122748096787,-0.14236797392368317,0.11935473091672971,0.4161322976152102,-0.1427430808544159,0.11551013129940632,0.41576505402723946,-0.1433277130126953,0.10842423193728941
atrialfibrillation,2,6,6,6,1.0,0.46653138399124144,0.10129594057798386,0.005743019156772199,0.4641303186615308,0.10929937660694122,0.005738153192253351,0.4606664751966794,0.12215031683444977,0.005698931387871425
atrialfibrillation,2,7,7,4,1.0,0.47059223999579747,0.1972295194864273,0.02842817905338788,0.47089476163188615,0.19835075736045837,0.028250255075275066,0.4740437644223372,0.19960857927799225,0.02772082625396631
atrialfibrillation,2,8,8,8,-1.0,0.47387480015556016,0.12471625208854675,0.010537266924801317,0.4743170838803053,0.12476997822523117,0.010515729897685696,0.4748847596347332,0.12485505640506744,0.010479974751629373
atrialfibrillation,2,9,9,6,-1.0,0.5092062532901764,0.03422389179468155,0.013882476335508188,0.5117558551331362,0.03849104419350624,0.013996002542892428,0.5153485489388306,0.04538196325302124,0.014138214473815814
atrialfibrillation,2,10,10,1,1.0,0.4260594566663106,-0.06330744177103043,0.025688828615414813,0.428010689218839,-0.06326310336589813,0.025897985060679203,0.43137104411919913,-0.0631915032863617,0.02621607329264152
atrialfibrillation,2,11,11,3,-1.0,0.269803730782102,-0.09054472297430038,0.006988019900850784,0.2683674835410784,-0.08894477039575577,0.006422326799805354,0.2667405458909343,-0.08608158677816391,0.005166693312904494
