dataset,model,base_mean,base_std,mba_mean,mba_std,gain_mean,gain_std
articularywordrecognition,patchtst,0.9694855096594227,0.00028598118466624333,0.96149062900241,0.028797337478687,-0.0079948806570128,0.02879502916805791
articularywordrecognition,resnet1d,0.9800623177144917,0.0002238475640927727,0.9740409020930759,0.004231565360588196,-0.006021415621415567,0.004121713842027276
articularywordrecognition,timesnet,0.9776013628883193,0.0021369798152736327,0.9742177880090922,0.006878944671767069,-0.003383574879227122,0.009006651895498723
basicmotions,patchtst,0.8650478878420055,0.058887020866431265,0.8676349998196815,0.05695991816324565,0.002587111977676,0.0019665360654646333
basicmotions,resnet1d,1.0,0.0,1.0,0.0,0.0,0.0
basicmotions,timesnet,0.8112363298895806,0.11121923788283632,0.9916457811194653,0.014469931558637237,0.1804094512298847,0.11595588742419871
cricket,patchtst,0.9341621341621341,0.01673513626585682,0.9560624560624561,0.02595494576314399,0.021900321900322036,0.021619970219180693
cricket,resnet1d,0.9860139860139859,0.024224486819145196,0.9711991711991713,0.025660011963983403,-0.014814814814814633,0.04320720538571468
cricket,timesnet,0.8436846778952042,0.21138702749395646,0.9766899766899767,0.008074828939715157,0.1330052987947725,0.20819021959949197
epilepsy,patchtst,0.9825216259176884,0.004507514510228912,0.9752790657259038,0.01104151343425938,-0.007242560191784466,0.007001933206800582
epilepsy,resnet1d,0.9663980384572434,0.023140112589299582,0.9524986291990206,0.025859330944272525,-0.013899409258222735,0.019120688465228065
epilepsy,timesnet,0.7030127647352273,0.09720283598950247,0.8415757411845547,0.04551926368845492,0.13856297644932727,0.13120927605319885
ethanolconcentration,patchtst,0.2036932383744721,0.0070142779125610625,0.38170201259802955,0.025440835442507862,0.1780087742235574,0.030706905909504596
ethanolconcentration,resnet1d,0.26501914010848476,0.038521678316769115,0.26246436559192704,0.03061991880960737,-0.0025547745165577,0.03816510699821202
ethanolconcentration,timesnet,0.15346679655038273,0.018739663939057054,0.17437723836372346,0.03812942124180475,0.020910441813340664,0.030908521842457203
handmovementdirection,patchtst,0.326794298633379,0.033920722969302125,0.3960339787133149,0.04802199437414454,0.06923968007993583,0.014324488182247857
handmovementdirection,resnet1d,0.2516250680330695,0.08944787723309801,0.2885508575923092,0.05305902373854747,0.0369257895592396,0.037538621593293416
handmovementdirection,timesnet,0.2711994773640065,0.021705142884680704,0.2820749376168194,0.03243441745148841,0.010875460252812899,0.031055565049184154
har,resnet1d,0.9226651158504339,0.02211779262481923,0.9363794999732874,0.004939674843071026,0.013714384122853668,0.020238239650664333
racketsports,patchtst,0.698722942259848,0.04164242181045109,0.6790305957404273,0.06500355029154214,-0.019692346519420464,0.03878579569605956
racketsports,resnet1d,0.8735639339116195,0.015346053388812248,0.8703211077954491,0.00922460714209782,-0.003242826116170301,0.012901353808631551
racketsports,timesnet,0.8198101551244723,0.02810197313518546,0.8145962468347688,0.024063055661830507,-0.005213908289703466,0.05099735015879655
selfregulationscp2,patchtst,0.5092362237617659,0.024654187970467183,0.49274950660005506,0.022482864587652793,-0.016486717161710934,0.045607538115864696
selfregulationscp2,resnet1d,0.4874644824404177,0.060422239635329895,0.4911025720056448,0.0366288113674226,0.0036380895652270984,0.08765827204485412
selfregulationscp2,timesnet,0.4473648522687536,0.06897739238385008,0.4634267895686399,0.06292136713254462,0.016061937299886267,0.007865998059060438
uwavegesturelibrary,patchtst,0.811443185372919,0.0514433265509666,0.8449478110186912,0.00850966068299401,0.03350462564577203,0.05227852007851622
uwavegesturelibrary,resnet1d,0.7731693613025113,0.017634514289996586,0.7672624118246519,0.0415751842432765,-0.005906949477859333,0.02400264430770392
uwavegesturelibrary,timesnet,0.8094595006848078,,0.7210982296630075,,-0.0883612710218002,
