dataset,seed,arm,f1,status,warmup_f1,base_f1,act_f1,selected_anchor_count,selected_positive_count,candidate_total_count,hard_positive_score_mean,fidelity_score_mean,acl_last_ce_loss,acl_last_supcon_loss,selected_class_coverage_frac,selected_class_missing_frac,coverage_risk,dominant_metric,dominant_corr,dominance_gap,dominance_risk,supcon_active,source_arm_dir,source_dataset_dir,alignment_cosine,alignment_norm_mean,audit_files_present,candidate_csv,entropy_norm_mean,entropy_shift,fidelity_score,fidelity_score_mean_selected,hard_positive_score,pipeline,safe_radius_ratio,safe_radius_ratio_mean,selected_candidate_count,selected_csv,valid_candidate_count
heartbeat,5,gcg_acl,0.6438477247096833,success,0.5946373487305228,0.691510027634135,0.6438477247096833,163,163,652,0.006297782268033476,0.006764128719663264,0.22394674768050513,4.365801652272542,1.0,0.0,False,alignment_norm,0.7337492992291229,0.12711979912824778,False,True,gcg_acl_n4,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/acl_stability_confirm_v1/gcg_acl_n4/heartbeat,-0.05930029350030093,0.4962391521491174,True,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/acl_stability_confirm_v1/gcg_acl_n4/heartbeat/audit/heartbeat_s5_candidate_scores.csv,0.3520585667148302,0.002822815823408724,0.0067641287196632625,0.0067641287196632625,0.006297782268033476,gcg_acl,0.9999999999989999,0.9999999999989999,163,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/acl_stability_confirm_v1/gcg_acl_n4/heartbeat/audit/heartbeat_s5_selected_positives.csv,652
japanesevowels,1,mba,0.9691430535410848,success,,0.9754160010442736,0.9691430535410848,0,0,0,0.0,0.0,0.0,0.0,,,,,,,,,mba,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/acl_small_matrix_v1/mba/japanesevowels,,,,,,,,,,mba,,,,,
japanesevowels,1,continue_ce,0.9664671577231412,success,0.8759139483933878,0.9664671577231412,0.9841923716656732,216,216,864,0.10260805239255749,0.10700484206676994,,,1.0,0.0,False,alignment_norm,0.8579976960910416,0.15632359354962522,False,,gcg_acl_n4,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/acl_small_matrix_v1/gcg_acl_n4/japanesevowels,-0.08737646901109083,0.5070423696831063,True,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/acl_small_matrix_v1/gcg_acl_n4/japanesevowels/audit/japanesevowels_s1_candidate_scores.csv,0.3509241329823653,0.006734314081431539,0.10700484206676994,0.10700484206676994,0.10260805239255748,gcg_acl,0.9999999999989999,0.9999999999989999,216,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/acl_small_matrix_v1/gcg_acl_n4/japanesevowels/audit/japanesevowels_s1_selected_positives.csv,864
japanesevowels,1,gcg_acl,0.9841923716656732,success,0.8759139483933878,0.9664671577231412,0.9841923716656732,216,216,864,0.10260805239255749,0.10700484206676994,0.011343393009155989,2.419707030057907,1.0,0.0,False,alignment_norm,0.8579976960910416,0.15632359354962522,False,True,gcg_acl_n4,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/acl_small_matrix_v1/gcg_acl_n4/japanesevowels,-0.08737646901109083,0.5070423696831063,True,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/acl_small_matrix_v1/gcg_acl_n4/japanesevowels/audit/japanesevowels_s1_candidate_scores.csv,0.3509241329823653,0.006734314081431539,0.10700484206676994,0.10700484206676994,0.10260805239255748,gcg_acl,0.9999999999989999,0.9999999999989999,216,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/acl_small_matrix_v1/gcg_acl_n4/japanesevowels/audit/japanesevowels_s1_selected_positives.csv,864
japanesevowels,2,mba,0.9769615702396259,success,,0.9660676906578546,0.9769615702396259,0,0,0,0.0,0.0,0.0,0.0,,,,,,,,,mba,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/acl_small_matrix_v1/mba/japanesevowels,,,,,,,,,,mba,,,,,
japanesevowels,2,continue_ce,0.9555437942539794,success,0.8580423528684324,0.9555437942539794,0.9879866009392112,216,216,864,0.10458575626918637,0.10798162154905794,,,1.0,0.0,False,alignment_norm,0.8640155989837537,0.15799566059180914,False,,gcg_acl_n4,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/acl_small_matrix_v1/gcg_acl_n4/japanesevowels,-0.07897913899634862,0.5087241336617846,True,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/acl_small_matrix_v1/gcg_acl_n4/japanesevowels/audit/japanesevowels_s2_candidate_scores.csv,0.35673157710224246,0.006772938743880432,0.10798162154905794,0.10798162154905794,0.10458575626918637,gcg_acl,0.9999999999989999,0.9999999999989999,216,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/acl_small_matrix_v1/gcg_acl_n4/japanesevowels/audit/japanesevowels_s2_selected_positives.csv,864
japanesevowels,2,gcg_acl,0.9879866009392112,success,0.8580423528684324,0.9555437942539794,0.9879866009392112,216,216,864,0.10458575626918637,0.10798162154905794,0.04251709731761366,2.3911290764808655,1.0,0.0,False,alignment_norm,0.8640155989837537,0.15799566059180914,False,True,gcg_acl_n4,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/acl_small_matrix_v1/gcg_acl_n4/japanesevowels,-0.07897913899634862,0.5087241336617846,True,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/acl_small_matrix_v1/gcg_acl_n4/japanesevowels/audit/japanesevowels_s2_candidate_scores.csv,0.35673157710224246,0.006772938743880432,0.10798162154905794,0.10798162154905794,0.10458575626918637,gcg_acl,0.9999999999989999,0.9999999999989999,216,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/acl_small_matrix_v1/gcg_acl_n4/japanesevowels/audit/japanesevowels_s2_selected_positives.csv,864
japanesevowels,3,mba,0.9663198959970392,success,,0.979964801214688,0.9663198959970392,0,0,0,0.0,0.0,0.0,0.0,,,,,,,,,mba,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/acl_small_matrix_v1/mba/japanesevowels,,,,,,,,,,mba,,,,,
japanesevowels,3,continue_ce,0.9627223052831138,success,0.8151604825570471,0.9627223052831138,0.9614011455615956,216,216,864,0.10399034948518482,0.10776046907079605,,,1.0,0.0,False,alignment_norm,0.8728582346339607,0.13698747301391412,False,,gcg_acl_n4,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/acl_small_matrix_v1/gcg_acl_n4/japanesevowels,-0.09785035368986428,0.49884796332014625,True,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/acl_small_matrix_v1/gcg_acl_n4/japanesevowels/audit/japanesevowels_s3_candidate_scores.csv,0.33058793737305364,0.009010103891206975,0.10776046907079605,0.10776046907079605,0.10399034948518482,gcg_acl,0.9999999999989999,0.9999999999989999,216,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/acl_small_matrix_v1/gcg_acl_n4/japanesevowels/audit/japanesevowels_s3_selected_positives.csv,864
japanesevowels,3,gcg_acl,0.9614011455615956,success,0.8151604825570471,0.9627223052831138,0.9614011455615956,216,216,864,0.10399034948518482,0.10776046907079605,0.07571766886394471,2.571826934814453,1.0,0.0,False,alignment_norm,0.8728582346339607,0.13698747301391412,False,True,gcg_acl_n4,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/acl_small_matrix_v1/gcg_acl_n4/japanesevowels,-0.09785035368986428,0.49884796332014625,True,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/acl_small_matrix_v1/gcg_acl_n4/japanesevowels/audit/japanesevowels_s3_candidate_scores.csv,0.33058793737305364,0.009010103891206975,0.10776046907079605,0.10776046907079605,0.10399034948518482,gcg_acl,0.9999999999989999,0.9999999999989999,216,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/acl_small_matrix_v1/gcg_acl_n4/japanesevowels/audit/japanesevowels_s3_selected_positives.csv,864
