dataset,arm,n,mean_f1,std_f1,gcg_acl_vs_continue_ce_mean_delta,gcg_acl_vs_mba_mean_delta,gcg_acl_std_le_mba_std,gcg_acl_mean_ge_continue_ce_mean,stability_confirm_pass
heartbeat,mba,5,0.6407639062222238,0.02946980392648958,0.020435446097408883,0.011986316282692977,True,True,True
heartbeat,continue_ce,5,0.6323147764075079,0.0704042461933374,0.020435446097408883,0.011986316282692977,True,True,True
heartbeat,gcg_acl,5,0.6527502225049168,0.007757112741153435,0.020435446097408883,0.011986316282692977,True,True,True
japanesevowels,mba,5,0.9749320190653733,0.006928374325351653,0.004722792759244698,-0.002822164748830569,False,True,False
japanesevowels,continue_ce,5,0.967387061557298,0.009283062311942338,0.004722792759244698,-0.002822164748830569,False,True,False
japanesevowels,gcg_acl,5,0.9721098543165427,0.013511469299682931,0.004722792759244698,-0.002822164748830569,False,True,False
natops,mba,5,0.9369683845625653,0.011227100755789301,0.02929821522384235,0.004164019728145285,True,True,True
natops,continue_ce,5,0.9118341890668682,0.03691000237742852,0.02929821522384235,0.004164019728145285,True,True,True
natops,gcg_acl,5,0.9411324042907105,0.0030424874567206756,0.02929821522384235,0.004164019728145285,True,True,True
