anchor_index,candidate_local_index,tid,y,delta_norm_raw,delta_norm_safe,safe_radius_ratio,manifold_margin,basis_rank_count,transport_error_fro,transport_error_logeuc,bridge_cond_A,metric_preservation_error,alignment_cosine,is_conflict,entropy_orig,entropy_aug,entropy_shift,alignment_challenge,entropy_challenge,alignment_norm,entropy_norm,challenge_score,fidelity_score,hard_positive_score,is_valid_candidate
0,0,ethanolconcentration_train_253,3,0.07921582098724952,0.07921582098724952,0.9999999999989999,1.495089659132942,6,0.00014887494622464468,4.873301651939945e-10,1.0576021795311417,0.10505168767512156,0.0007561304373666644,0.0,1.3276745080947876,1.328101396560669,0.00042688846588134766,0.49962193478131667,0.00042688846588134766,0.9028651595217043,1.0,0.932005611665193,0.9999999995126699,0.9320056112100665,1
0,1,ethanolconcentration_train_253,3,0.07686127395015847,0.07686127395015847,0.9999999999989999,1.495089659132942,6,0.0001515658832389859,4.901862635952648e-10,1.1302950357600314,0.17479419011278327,0.0794077068567276,0.0,1.3276745080947876,1.3273403644561768,-0.00033414363861083984,0.4602961465716362,0.0,0.0,0.0,0.0,0.9999999995098138,0.0,1
0,2,ethanolconcentration_train_253,3,0.09597327140030847,0.09597327140030847,0.9999999999989999,1.495089659132942,6,0.00016368612437195112,4.981002208294019e-10,1.1006163215875935,0.1570777288031943,-0.0077056074514985085,1.0,1.3276745080947876,1.3279218673706055,0.0002473592758178711,0.5038528037257493,0.0002473592758178711,1.0,0.5794470818207205,0.8738341245462161,0.9999999995018999,0.8738341241100854,1
0,3,ethanolconcentration_train_253,3,0.09356017982059008,0.09356017982059008,0.9999999999989999,1.495089659132942,6,0.00016762976808024413,4.984524125721835e-10,1.1306049434954142,0.2049433922900353,0.07628925144672394,0.0,1.3276745080947876,1.3264482021331787,-0.0012263059616088867,0.46185537427663803,0.0,0.03579768987975684,0.0,0.025058382915829784,0.9999999995015476,0.025058382903314313,1
1,0,ethanolconcentration_train_95,1,0.08274013076760253,0.08274013076760253,0.9999999999989999,1.3159879243386616,6,0.00015239920984268422,8.198289213997935e-09,1.0757331348802586,0.10686378098620793,0.0006910968804731965,0.0,1.2813596725463867,1.2812416553497314,-0.00011801719665527344,0.4996544515597634,0.0,0.6377348719233356,0.0,0.44641441034633483,0.9999999918017108,0.4464144066860539,1
1,1,ethanolconcentration_train_95,1,0.1109590434333098,0.1109590434333098,0.9999999999989999,1.3159879243386616,6,0.0001617148697060437,8.069714502244785e-09,1.1809772138678065,0.2543434209607479,0.11605753004550934,0.0,1.2813596725463867,1.2811123132705688,-0.0002473592758178711,0.44197123497724533,0.0,0.0,0.0,0.0,0.9999999919302855,0.0,1
1,2,ethanolconcentration_train_95,1,0.0870257877239621,0.0870257877239621,0.9999999999989999,1.3159879243386616,6,0.00015169203459662392,8.043600037701444e-09,1.1189276643552524,0.16387318202212056,-0.06484277546405792,1.0,1.2813596725463867,1.2813211679458618,-3.8504600524902344e-05,0.532421387732029,0.0,1.0,0.0,0.7,0.9999999919564001,0.6999999943687799,1
1,3,ethanolconcentration_train_95,1,0.06745183890960953,0.06745183890960953,0.9999999999989999,1.3159879243386616,6,0.00014970942802030072,8.065179067335568e-09,1.0679675158995998,0.1091259175173314,0.007488550618290901,0.0,1.2813596725463867,1.2816920280456543,0.0003323554992675781,0.49625572469085455,0.0003323554992675781,0.6001591822711242,1.0,0.720111427589787,0.999999991934821,0.7201114217812392,1
2,0,ethanolconcentration_train_159,2,0.18823229091606922,0.18823229091606922,0.9999999999989999,1.042961987454727,6,0.00015570360457824428,4.015133205077181e-10,1.2971183110346902,0.3663226120038903,-0.2300141304731369,1.0,1.3492971658706665,1.3469018936157227,-0.0023952722549438477,0.6150070652365685,0.0,0.8415368351636837,0.0,0.5890757846145785,0.9999999995984867,0.5890757843774678,1
2,1,ethanolconcentration_train_159,2,0.10777106188891475,0.10777106188891475,0.9999999999989999,1.042961987454727,6,0.0001476107504332354,3.979689031334519e-10,1.0964149198055644,0.14727759170011823,-0.19034820795059204,1.0,1.3492971658706665,1.3471375703811646,-0.002159595489501953,0.595174103975296,0.0,0.7856604290673895,0.0,0.5499623003471726,0.9999999996020311,0.5499623001277547,1
2,2,ethanolconcentration_train_159,2,0.13073099776544955,0.13073099776544955,0.9999999999989999,1.042961987454727,6,0.0001546015925570157,3.9936472036934895e-10,1.2734373284223732,0.3343095827243445,-0.3425050377845764,1.0,1.3492971658706665,1.3443207740783691,-0.004976391792297363,0.6712525188922882,0.0,1.0,0.0,0.7,0.9999999996006353,0.6999999997197446,1
2,3,ethanolconcentration_train_159,2,0.13031288823265996,0.13031288823265996,0.9999999999989999,1.042961987454727,6,0.0001714433065726914,4.025389283864075e-10,1.3373588173967463,0.428336720808805,0.367381751537323,0.0,1.3492971658706665,1.351980209350586,0.0026830434799194336,0.3163091242313385,0.0026830434799194336,0.0,1.0,0.30000000000000004,0.9999999995974611,0.29999999987893833,1
3,0,ethanolconcentration_train_20,0,0.06663904797062276,0.06663904797062276,0.9999999999989999,0.7980086070441403,6,0.00015223097182155077,6.822220092919568e-10,1.0896104281006815,0.12442803581848223,-0.4025866389274597,1.0,1.2926745414733887,1.2901296615600586,-0.002544879913330078,0.7012933194637299,0.0,1.0,0.0,0.7,0.999999999317778,0.6999999995217445,1
3,1,ethanolconcentration_train_20,0,0.19393440399912248,0.19393440399912248,0.9999999999989999,0.7980086070441403,6,0.00018698830763859417,7.112695113271194e-10,1.2974992588249386,0.47445094398918003,0.2223154604434967,0.0,1.2926745414733887,1.3100882768630981,0.017413735389709473,0.38884226977825165,0.017413735389709473,0.0,1.0,0.30000000000000004,0.9999999992887305,0.29999999978631914,1
3,2,ethanolconcentration_train_20,0,0.07695407591829131,0.07695407591829131,0.9999999999989999,0.7980086070441403,6,0.00015728918633559796,6.926134958669209e-10,1.1904617508163622,0.24993735539512368,-0.13213390111923218,1.0,1.2926745414733887,1.2930127382278442,0.0003381967544555664,0.5660669505596161,0.0003381967544555664,0.5672078265051875,0.019421264127822996,0.40287185779197815,0.9999999993073866,0.4028718575125408,1
3,3,ethanolconcentration_train_20,0,0.14678971117530787,0.14678971117530787,0.9999999999989999,0.7980086070441403,6,0.00014303828590007475,6.810070204054082e-10,1.1001351329884528,0.17395042041628705,-0.21781456470489502,1.0,1.2926745414733887,1.2823436260223389,-0.010330915451049805,0.6089072823524475,0.0,0.7043183653750542,0.0,0.4930228557625379,0.9999999993189931,0.49302285542629287,1
4,0,ethanolconcentration_train_184,2,0.16309042456911832,0.16309042456911832,0.9999999999989999,1.1974147944798608,6,0.0002578157927364939,9.324607739038013e-09,2.2691771181780003,1.4198313047496693,0.2577551007270813,0.0,1.3239355087280273,1.2918295860290527,-0.03210592269897461,0.37112244963645935,0.0,0.0,0.0,0.0,0.9999999906753924,0.0,1
4,1,ethanolconcentration_train_184,2,0.30861924620747333,0.30861924620747333,0.9999999999989999,1.1974147944798608,6,0.00024127330173695705,9.11647121383052e-09,2.360232307505324,1.4424129392449831,-0.15906977653503418,1.0,1.3239355087280273,1.361412525177002,0.03747701644897461,0.5795348882675171,0.03747701644897461,1.0,1.0,1.0,0.9999999908835289,0.9999999908825288,1
4,2,ethanolconcentration_train_184,2,0.10678080655503465,0.10678080655503465,0.9999999999989999,1.1974147944798608,6,0.0001936274626017069,9.293954339835722e-09,1.6305257263699333,0.737934999211578,-0.15774443745613098,1.0,1.3239355087280273,1.3375662565231323,0.01363074779510498,0.5788722187280655,0.01363074779510498,0.9968203935244734,0.36370952350658436,0.8068871325191067,0.9999999907060457,0.8068871250191277,1
